CNAME:,INFINERA CORP
Google Trends Search Term:,infinera
Google Trends Suggestion:,telecommunications equipment company
Google Trends URL:,/m/02h5bdm
Year,Month,SVI Data
2004,Jan,23
2004,Feb,22
2004,Mar,9
2004,Apr,11
2004,May,39
2004,Jun,10
2004,Jul,28
2004,Aug,12
2004,Sep,21
2004,Oct,12
2004,Nov,22
2004,Dec,14
2005,Jan,20
2005,Feb,13
2005,Mar,11
2005,Apr,8
2005,May,29
2005,Jun,21
2005,Jul,5
2005,Aug,15
2005,Sep,20
2005,Oct,11
2005,Nov,13
2005,Dec,29
2006,Jan,13
2006,Feb,17
2006,Mar,16
2006,Apr,16
2006,May,20
2006,Jun,23
2006,Jul,21
2006,Aug,22
2006,Sep,15
2006,Oct,19
2006,Nov,28
2006,Dec,19
2007,Jan,22
2007,Feb,47
2007,Mar,42
2007,Apr,28
2007,May,32
2007,Jun,100
2007,Jul,26
2007,Aug,18
2007,Sep,22
2007,Oct,32
2007,Nov,24
2007,Dec,23
2008,Jan,31
2008,Feb,33
2008,Mar,23
2008,Apr,25
2008,May,25
2008,Jun,20
2008,Jul,23
2008,Aug,12
2008,Sep,25
2008,Oct,15
2008,Nov,19
2008,Dec,21
2009,Jan,18
2009,Feb,23
2009,Mar,22
2009,Apr,17
2009,May,12
2009,Jun,17
2009,Jul,27
2009,Aug,12
2009,Sep,19
2009,Oct,17
2009,Nov,15
2009,Dec,11
2010,Jan,10
2010,Feb,22
2010,Mar,16
2010,Apr,12
2010,May,16
2010,Jun,14
2010,Jul,14
2010,Aug,15
2010,Sep,15
2010,Oct,20
2010,Nov,12
2010,Dec,12
2011,Jan,18
2011,Feb,17
2011,Mar,13
2011,Apr,15
2011,May,13
2011,Jun,13
2011,Jul,12
2011,Aug,20
2011,Sep,12
2011,Oct,14
2011,Nov,10
2011,Dec,10
2012,Jan,10
2012,Feb,14
2012,Mar,12
2012,Apr,14
2012,May,10
2012,Jun,8
2012,Jul,9
2012,Aug,11
2012,Sep,11
2012,Oct,12
2012,Nov,8
2012,Dec,8
2013,Jan,8
2013,Feb,12
2013,Mar,10
2013,Apr,10
2013,May,9
2013,Jun,10
2013,Jul,7
2013,Aug,6
2013,Sep,9
2013,Oct,13
2013,Nov,10
2013,Dec,10
2014,Jan,14
2014,Feb,15
2014,Mar,13
2014,Apr,14
2014,May,9
2014,Jun,7
2014,Jul,12
2014,Aug,11
2014,Sep,11
2014,Oct,11
2014,Nov,7
2014,Dec,8
2015,Jan,13
2015,Feb,13
2015,Mar,12
2015,Apr,12
2015,May,11
2015,Jun,13
2015,Jul,12
2015,Aug,11
2015,Sep,15
2015,Oct,11
2015,Nov,9
2015,Dec,12
2016,Jan,12
2016,Feb,11
2016,Mar,13
2016,Apr,12
2016,May,13
2016,Jun,12
2016,Jul,12
2016,Aug,12
2016,Sep,10
2016,Oct,14
2016,Nov,11
2016,Dec,8
2017,Jan,10
2017,Feb,14
2017,Mar,11
2017,Apr,10
2017,May,11
2017,Jun,9
2017,Jul,11
2017,Aug,12
2017,Sep,12
2017,Oct,11
2017,Nov,9
2017,Dec,9
2018,Jan,13
2018,Feb,13
2018,Mar,11
2018,Apr,11
2018,May,12
2018,Jun,11
2018,Jul,14
2018,Aug,12
2018,Sep,9
2018,Oct,15
2018,Nov,12
2018,Dec,9
2019,Jan,13
2019,Feb,13
2019,Mar,11
2019,Apr,12
2019,May,13
2019,Jun,12
2019,Jul,12
2019,Aug,16
2019,Sep,13
2019,Oct,11
2019,Nov,13
2019,Dec,10
2020,Jan,12
2020,Feb,12
2020,Mar,14
2020,Apr,10
2020,May,10
2020,Jun,13
2020,Jul,10
2020,Aug,10
2020,Sep,9
2020,Oct,8
2020,Nov,9
2020,Dec,10
2021,Jan,9
2021,Feb,10
2021,Mar,9
2021,Apr,9
2021,May,8
2021,Jun,10
2021,Jul,8
2021,Aug,8
2021,Sep,7
2021,Oct,5
2021,Nov,8
2021,Dec,5
2022,Jan,8
2022,Feb,8
2022,Mar,8
