CNAME:,AKAMAI TECHNOLOGIES INC
Google Trends Search Term:,akamai technologies
Google Trends Suggestion:,internet company
Google Trends URL:,/m/02fqbt
Year,Month,SVI Data
2004,Jan,43
2004,Feb,56
2004,Mar,45
2004,Apr,43
2004,May,43
2004,Jun,100
2004,Jul,63
2004,Aug,50
2004,Sep,42
2004,Oct,38
2004,Nov,31
2004,Dec,38
2005,Jan,35
2005,Feb,54
2005,Mar,62
2005,Apr,31
2005,May,37
2005,Jun,36
2005,Jul,39
2005,Aug,41
2005,Sep,35
2005,Oct,39
2005,Nov,39
2005,Dec,32
2006,Jan,44
2006,Feb,41
2006,Mar,40
2006,Apr,46
2006,May,41
2006,Jun,67
2006,Jul,33
2006,Aug,46
2006,Sep,53
2006,Oct,47
2006,Nov,40
2006,Dec,38
2007,Jan,41
2007,Feb,46
2007,Mar,45
2007,Apr,46
2007,May,43
2007,Jun,49
2007,Jul,51
2007,Aug,47
2007,Sep,44
2007,Oct,44
2007,Nov,49
2007,Dec,38
2008,Jan,42
2008,Feb,45
2008,Mar,38
2008,Apr,42
2008,May,44
2008,Jun,37
2008,Jul,35
2008,Aug,39
2008,Sep,38
2008,Oct,39
2008,Nov,38
2008,Dec,38
2009,Jan,37
2009,Feb,44
2009,Mar,43
2009,Apr,37
2009,May,40
2009,Jun,30
2009,Jul,33
2009,Aug,38
2009,Sep,40
2009,Oct,40
2009,Nov,38
2009,Dec,32
2010,Jan,41
2010,Feb,38
2010,Mar,41
2010,Apr,50
2010,May,45
2010,Jun,55
2010,Jul,42
2010,Aug,46
2010,Sep,45
2010,Oct,50
2010,Nov,42
2010,Dec,48
2011,Jan,46
2011,Feb,48
2011,Mar,50
2011,Apr,51
2011,May,48
2011,Jun,45
2011,Jul,43
2011,Aug,46
2011,Sep,42
2011,Oct,47
2011,Nov,96
2011,Dec,59
2012,Jan,54
2012,Feb,47
2012,Mar,46
2012,Apr,47
2012,May,43
2012,Jun,43
2012,Jul,41
2012,Aug,44
2012,Sep,43
2012,Oct,52
2012,Nov,41
2012,Dec,39
2013,Jan,44
2013,Feb,46
2013,Mar,46
2013,Apr,45
2013,May,38
2013,Jun,39
2013,Jul,39
2013,Aug,39
2013,Sep,47
2013,Oct,42
2013,Nov,38
2013,Dec,35
2014,Jan,42
2014,Feb,47
2014,Mar,42
2014,Apr,48
2014,May,43
2014,Jun,40
2014,Jul,42
2014,Aug,36
2014,Sep,41
2014,Oct,44
2014,Nov,39
2014,Dec,35
2015,Jan,38
2015,Feb,39
2015,Mar,39
2015,Apr,39
2015,May,37
2015,Jun,40
2015,Jul,40
2015,Aug,41
2015,Sep,38
2015,Oct,39
2015,Nov,34
2015,Dec,30
2016,Jan,26
2016,Feb,29
2016,Mar,28
2016,Apr,25
2016,May,28
2016,Jun,29
2016,Jul,25
2016,Aug,26
2016,Sep,27
2016,Oct,30
2016,Nov,25
2016,Dec,22
2017,Jan,25
2017,Feb,28
2017,Mar,28
2017,Apr,28
2017,May,29
2017,Jun,27
2017,Jul,26
2017,Aug,26
2017,Sep,26
2017,Oct,31
2017,Nov,26
2017,Dec,23
2018,Jan,26
2018,Feb,25
2018,Mar,26
2018,Apr,27
2018,May,27
2018,Jun,25
2018,Jul,23
2018,Aug,26
2018,Sep,22
2018,Oct,26
2018,Nov,20
2018,Dec,18
2019,Jan,21
2019,Feb,24
2019,Mar,20
2019,Apr,23
2019,May,21
2019,Jun,23
2019,Jul,22
2019,Aug,22
2019,Sep,21
2019,Oct,23
2019,Nov,19
2019,Dec,17
2020,Jan,19
2020,Feb,21
2020,Mar,18
2020,Apr,22
2020,May,19
2020,Jun,21
2020,Jul,21
2020,Aug,19
2020,Sep,17
2020,Oct,17
2020,Nov,13
2020,Dec,13
2021,Jan,12
2021,Feb,17
2021,Mar,14
2021,Apr,13
2021,May,12
2021,Jun,16
2021,Jul,31
2021,Aug,13
2021,Sep,14
2021,Oct,14
2021,Nov,13
2021,Dec,11
2022,Jan,14
2022,Feb,17
2022,Mar,16
