CNAME:,CAFEPRESS INC
Google Trends Search Term:,cafepress
Google Trends Suggestion:,online retail
Google Trends URL:,/m/058z1b
Year,Month,SVI Data
2004,Jan,20
2004,Feb,22
2004,Mar,21
2004,Apr,21
2004,May,22
2004,Jun,22
2004,Jul,31
2004,Aug,24
2004,Sep,29
2004,Oct,28
2004,Nov,32
2004,Dec,34
2005,Jan,29
2005,Feb,29
2005,Mar,27
2005,Apr,30
2005,May,32
2005,Jun,33
2005,Jul,37
2005,Aug,44
2005,Sep,41
2005,Oct,35
2005,Nov,39
2005,Dec,49
2006,Jan,36
2006,Feb,43
2006,Mar,46
2006,Apr,41
2006,May,43
2006,Jun,51
2006,Jul,50
2006,Aug,57
2006,Sep,55
2006,Oct,53
2006,Nov,59
2006,Dec,90
2007,Jan,56
2007,Feb,54
2007,Mar,57
2007,Apr,62
2007,May,64
2007,Jun,69
2007,Jul,61
2007,Aug,74
2007,Sep,68
2007,Oct,70
2007,Nov,82
2007,Dec,89
2008,Jan,57
2008,Feb,65
2008,Mar,65
2008,Apr,65
2008,May,69
2008,Jun,73
2008,Jul,70
2008,Aug,76
2008,Sep,88
2008,Oct,79
2008,Nov,93
2008,Dec,100
2009,Jan,65
2009,Feb,59
2009,Mar,60
2009,Apr,61
2009,May,57
2009,Jun,58
2009,Jul,55
2009,Aug,58
2009,Sep,53
2009,Oct,51
2009,Nov,62
2009,Dec,88
2010,Jan,50
2010,Feb,50
2010,Mar,48
2010,Apr,49
2010,May,51
2010,Jun,53
2010,Jul,46
2010,Aug,46
2010,Sep,42
2010,Oct,46
2010,Nov,57
2010,Dec,72
2011,Jan,50
2011,Feb,52
2011,Mar,59
2011,Apr,54
2011,May,59
2011,Jun,60
2011,Jul,58
2011,Aug,58
2011,Sep,58
2011,Oct,56
2011,Nov,71
2011,Dec,90
2012,Jan,56
2012,Feb,59
2012,Mar,62
2012,Apr,53
2012,May,51
2012,Jun,51
2012,Jul,52
2012,Aug,53
2012,Sep,52
2012,Oct,50
2012,Nov,68
2012,Dec,82
2013,Jan,47
2013,Feb,44
2013,Mar,47
2013,Apr,45
2013,May,46
2013,Jun,45
2013,Jul,44
2013,Aug,46
2013,Sep,45
2013,Oct,45
2013,Nov,60
2013,Dec,79
2014,Jan,41
2014,Feb,39
2014,Mar,38
2014,Apr,37
2014,May,37
2014,Jun,38
2014,Jul,35
2014,Aug,37
2014,Sep,34
2014,Oct,31
2014,Nov,44
2014,Dec,61
2015,Jan,29
2015,Feb,29
2015,Mar,28
2015,Apr,26
2015,May,27
2015,Jun,26
2015,Jul,24
2015,Aug,25
2015,Sep,23
2015,Oct,21
2015,Nov,31
2015,Dec,42
2016,Jan,17
2016,Feb,19
2016,Mar,19
2016,Apr,17
2016,May,18
2016,Jun,18
2016,Jul,17
2016,Aug,19
2016,Sep,19
2016,Oct,17
2016,Nov,27
2016,Dec,35
2017,Jan,17
2017,Feb,15
2017,Mar,15
2017,Apr,14
2017,May,15
2017,Jun,15
2017,Jul,15
2017,Aug,15
2017,Sep,13
2017,Oct,13
2017,Nov,21
2017,Dec,26
2018,Jan,12
2018,Feb,13
2018,Mar,12
2018,Apr,11
2018,May,11
2018,Jun,11
2018,Jul,11
2018,Aug,10
2018,Sep,11
2018,Oct,11
2018,Nov,16
2018,Dec,18
2019,Jan,8
2019,Feb,8
2019,Mar,8
2019,Apr,9
2019,May,9
2019,Jun,9
2019,Jul,8
2019,Aug,12
2019,Sep,17
2019,Oct,13
2019,Nov,12
2019,Dec,13
2020,Jan,6
2020,Feb,7
2020,Mar,5
2020,Apr,6
2020,May,8
2020,Jun,8
2020,Jul,7
2020,Aug,7
2020,Sep,6
2020,Oct,6
2020,Nov,7
2020,Dec,9
2021,Jan,5
2021,Feb,4
2021,Mar,4
2021,Apr,4
2021,May,5
2021,Jun,4
2021,Jul,4
2021,Aug,5
2021,Sep,4
2021,Oct,4
2021,Nov,6
2021,Dec,7
2022,Jan,4
2022,Feb,4
2022,Mar,3
