CNAME:,STEAK N SHAKE CO
Google Trends Search Term:,steak 'n shake
Google Trends Suggestion:,restaurant company
Google Trends URL:,/m/043_24
Year,Month,SVI Data
2004,Jan,13
2004,Feb,11
2004,Mar,13
2004,Apr,12
2004,May,12
2004,Jun,16
2004,Jul,13
2004,Aug,13
2004,Sep,8
2004,Oct,13
2004,Nov,13
2004,Dec,11
2005,Jan,15
2005,Feb,15
2005,Mar,13
2005,Apr,15
2005,May,14
2005,Jun,17
2005,Jul,17
2005,Aug,17
2005,Sep,16
2005,Oct,14
2005,Nov,15
2005,Dec,18
2006,Jan,17
2006,Feb,16
2006,Mar,17
2006,Apr,15
2006,May,16
2006,Jun,21
2006,Jul,18
2006,Aug,19
2006,Sep,16
2006,Oct,16
2006,Nov,18
2006,Dec,16
2007,Jan,20
2007,Feb,18
2007,Mar,20
2007,Apr,17
2007,May,16
2007,Jun,24
2007,Jul,19
2007,Aug,21
2007,Sep,15
2007,Oct,17
2007,Nov,16
2007,Dec,16
2008,Jan,20
2008,Feb,18
2008,Mar,22
2008,Apr,17
2008,May,17
2008,Jun,20
2008,Jul,19
2008,Aug,18
2008,Sep,14
2008,Oct,15
2008,Nov,19
2008,Dec,18
2009,Jan,19
2009,Feb,23
2009,Mar,22
2009,Apr,18
2009,May,18
2009,Jun,21
2009,Jul,24
2009,Aug,24
2009,Sep,20
2009,Oct,20
2009,Nov,21
2009,Dec,21
2010,Jan,23
2010,Feb,22
2010,Mar,22
2010,Apr,23
2010,May,21
2010,Jun,22
2010,Jul,27
2010,Aug,24
2010,Sep,25
2010,Oct,25
2010,Nov,25
2010,Dec,29
2011,Jan,35
2011,Feb,37
2011,Mar,37
2011,Apr,35
2011,May,37
2011,Jun,41
2011,Jul,46
2011,Aug,39
2011,Sep,37
2011,Oct,36
2011,Nov,40
2011,Dec,43
2012,Jan,46
2012,Feb,42
2012,Mar,41
2012,Apr,43
2012,May,43
2012,Jun,47
2012,Jul,48
2012,Aug,45
2012,Sep,42
2012,Oct,39
2012,Nov,40
2012,Dec,42
2013,Jan,41
2013,Feb,41
2013,Mar,45
2013,Apr,43
2013,May,49
2013,Jun,52
2013,Jul,55
2013,Aug,50
2013,Sep,42
2013,Oct,42
2013,Nov,43
2013,Dec,47
2014,Jan,47
2014,Feb,45
2014,Mar,57
2014,Apr,47
2014,May,51
2014,Jun,52
2014,Jul,58
2014,Aug,54
2014,Sep,47
2014,Oct,46
2014,Nov,49
2014,Dec,58
2015,Jan,53
2015,Feb,48
2015,Mar,53
2015,Apr,53
2015,May,60
2015,Jun,71
2015,Jul,73
2015,Aug,64
2015,Sep,53
2015,Oct,51
2015,Nov,52
2015,Dec,64
2016,Jan,66
2016,Feb,68
2016,Mar,76
2016,Apr,74
2016,May,81
2016,Jun,83
2016,Jul,94
2016,Aug,79
2016,Sep,74
2016,Oct,76
2016,Nov,72
2016,Dec,83
2017,Jan,78
2017,Feb,74
2017,Mar,80
2017,Apr,83
2017,May,80
2017,Jun,93
2017,Jul,100
2017,Aug,89
2017,Sep,78
2017,Oct,78
2017,Nov,77
2017,Dec,86
2018,Jan,75
2018,Feb,79
2018,Mar,82
2018,Apr,80
2018,May,74
2018,Jun,86
2018,Jul,97
2018,Aug,84
2018,Sep,78
2018,Oct,73
2018,Nov,79
2018,Dec,95
2019,Jan,79
2019,Feb,80
2019,Mar,88
2019,Apr,82
2019,May,88
2019,Jun,85
2019,Jul,97
2019,Aug,76
2019,Sep,66
2019,Oct,65
2019,Nov,62
2019,Dec,70
2020,Jan,64
2020,Feb,61
2020,Mar,52
2020,Apr,51
2020,May,77
2020,Jun,67
2020,Jul,65
2020,Aug,59
2020,Sep,51
2020,Oct,55
2020,Nov,52
2020,Dec,56
2021,Jan,56
2021,Feb,46
2021,Mar,62
2021,Apr,61
2021,May,61
2021,Jun,64
2021,Jul,65
2021,Aug,58
2021,Sep,49
2021,Oct,50
2021,Nov,44
2021,Dec,51
2022,Jan,43
2022,Feb,41
2022,Mar,47
