CNAME:,FISKER INC
Google Trends Search Term:,fisker inc
Google Trends Suggestion:,automaker company
Google Trends URL:,/g/11c264bqnk
Year,Month,SVI Data
2004,Jan,3
2004,Feb,0
2004,Mar,4
2004,Apr,2
2004,May,1
2004,Jun,0
2004,Jul,0
2004,Aug,4
2004,Sep,2
2004,Oct,1
2004,Nov,3
2004,Dec,2
2005,Jan,4
2005,Feb,3
2005,Mar,3
2005,Apr,0
2005,May,4
2005,Jun,2
2005,Jul,6
2005,Aug,6
2005,Sep,10
2005,Oct,7
2005,Nov,4
2005,Dec,6
2006,Jan,6
2006,Feb,2
2006,Mar,5
2006,Apr,5
2006,May,3
2006,Jun,6
2006,Jul,5
2006,Aug,6
2006,Sep,3
2006,Oct,4
2006,Nov,3
2006,Dec,5
2007,Jan,3
2007,Feb,2
2007,Mar,4
2007,Apr,2
2007,May,2
2007,Jun,3
2007,Jul,1
2007,Aug,4
2007,Sep,3
2007,Oct,5
2007,Nov,7
2007,Dec,4
2008,Jan,20
2008,Feb,8
2008,Mar,8
2008,Apr,14
2008,May,11
2008,Jun,13
2008,Jul,8
2008,Aug,8
2008,Sep,7
2008,Oct,10
2008,Nov,15
2008,Dec,13
2009,Jan,24
2009,Feb,13
2009,Mar,13
2009,Apr,17
2009,May,14
2009,Jun,12
2009,Jul,7
2009,Aug,15
2009,Sep,21
2009,Oct,29
2009,Nov,15
2009,Dec,14
2010,Jan,16
2010,Feb,14
2010,Mar,9
2010,Apr,10
2010,May,12
2010,Jun,14
2010,Jul,14
2010,Aug,11
2010,Sep,10
2010,Oct,11
2010,Nov,10
2010,Dec,12
2011,Jan,13
2011,Feb,15
2011,Mar,19
2011,Apr,24
2011,May,18
2011,Jun,23
2011,Jul,23
2011,Aug,27
2011,Sep,30
2011,Oct,41
2011,Nov,29
2011,Dec,27
2012,Jan,33
2012,Feb,50
2012,Mar,61
2012,Apr,49
2012,May,41
2012,Jun,38
2012,Jul,100
2012,Aug,41
2012,Sep,36
2012,Oct,41
2012,Nov,40
2012,Dec,34
2013,Jan,30
2013,Feb,36
2013,Mar,41
2013,Apr,64
2013,May,40
2013,Jun,32
2013,Jul,28
2013,Aug,29
2013,Sep,24
2013,Oct,24
2013,Nov,24
2013,Dec,26
2014,Jan,24
2014,Feb,22
2014,Mar,23
2014,Apr,25
2014,May,23
2014,Jun,22
2014,Jul,21
2014,Aug,19
2014,Sep,17
2014,Oct,17
2014,Nov,21
2014,Dec,15
2015,Jan,15
2015,Feb,16
2015,Mar,20
2015,Apr,17
2015,May,20
2015,Jun,20
2015,Jul,19
2015,Aug,21
2015,Sep,20
2015,Oct,17
2015,Nov,12
2015,Dec,12
2016,Jan,16
2016,Feb,13
2016,Mar,13
2016,Apr,15
2016,May,14
2016,Jun,11
2016,Jul,11
2016,Aug,10
2016,Sep,12
2016,Oct,14
2016,Nov,13
2016,Dec,10
2017,Jan,9
2017,Feb,9
2017,Mar,9
2017,Apr,10
2017,May,9
2017,Jun,14
2017,Jul,12
2017,Aug,15
2017,Sep,10
2017,Oct,9
2017,Nov,18
2017,Dec,11
2018,Jan,15
2018,Feb,9
2018,Mar,9
2018,Apr,9
2018,May,12
2018,Jun,9
2018,Jul,10
2018,Aug,9
2018,Sep,9
2018,Oct,8
2018,Nov,7
2018,Dec,7
2019,Jan,6
2019,Feb,7
2019,Mar,13
2019,Apr,7
2019,May,14
2019,Jun,7
2019,Jul,8
2019,Aug,7
2019,Sep,5
2019,Oct,6
2019,Nov,8
2019,Dec,8
2020,Jan,17
2020,Feb,9
2020,Mar,7
2020,Apr,8
2020,May,5
2020,Jun,7
2020,Jul,55
2020,Aug,25
2020,Sep,21
2020,Oct,38
2020,Nov,95
2020,Dec,51
2021,Jan,45
2021,Feb,99
2021,Mar,85
2021,Apr,60
2021,May,57
2021,Jun,55
2021,Jul,33
2021,Aug,43
2021,Sep,29
2021,Oct,30
2021,Nov,68
2021,Dec,39
2022,Jan,49
2022,Feb,60
2022,Mar,46
