CNAME:,LYONDELLBASELL INDUSTRIES N V
Google Trends Search Term:,lyondellbasell
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/05x0y5
Year,Month,SVI Data
2004,Jan,16
2004,Feb,33
2004,Mar,40
2004,Apr,18
2004,May,26
2004,Jun,31
2004,Jul,24
2004,Aug,28
2004,Sep,34
2004,Oct,26
2004,Nov,22
2004,Dec,26
2005,Jan,24
2005,Feb,35
2005,Mar,32
2005,Apr,38
2005,May,38
2005,Jun,23
2005,Jul,22
2005,Aug,37
2005,Sep,41
2005,Oct,30
2005,Nov,24
2005,Dec,24
2006,Jan,25
2006,Feb,26
2006,Mar,22
2006,Apr,26
2006,May,33
2006,Jun,33
2006,Jul,27
2006,Aug,36
2006,Sep,35
2006,Oct,35
2006,Nov,27
2006,Dec,19
2007,Jan,21
2007,Feb,32
2007,Mar,25
2007,Apr,26
2007,May,28
2007,Jun,41
2007,Jul,59
2007,Aug,31
2007,Sep,24
2007,Oct,32
2007,Nov,27
2007,Dec,27
2008,Jan,36
2008,Feb,25
2008,Mar,27
2008,Apr,31
2008,May,28
2008,Jun,26
2008,Jul,39
2008,Aug,30
2008,Sep,25
2008,Oct,23
2008,Nov,25
2008,Dec,32
2009,Jan,100
2009,Feb,49
2009,Mar,32
2009,Apr,30
2009,May,31
2009,Jun,27
2009,Jul,24
2009,Aug,23
2009,Sep,29
2009,Oct,23
2009,Nov,35
2009,Dec,24
2010,Jan,28
2010,Feb,26
2010,Mar,27
2010,Apr,27
2010,May,39
2010,Jun,22
2010,Jul,24
2010,Aug,23
2010,Sep,21
2010,Oct,25
2010,Nov,25
2010,Dec,21
2011,Jan,23
2011,Feb,24
2011,Mar,21
2011,Apr,20
2011,May,27
2011,Jun,25
2011,Jul,22
2011,Aug,22
2011,Sep,23
2011,Oct,21
2011,Nov,18
2011,Dec,15
2012,Jan,18
2012,Feb,19
2012,Mar,19
2012,Apr,17
2012,May,19
2012,Jun,16
2012,Jul,16
2012,Aug,17
2012,Sep,18
2012,Oct,18
2012,Nov,17
2012,Dec,13
2013,Jan,20
2013,Feb,20
2013,Mar,19
2013,Apr,19
2013,May,17
2013,Jun,15
2013,Jul,16
2013,Aug,16
2013,Sep,18
2013,Oct,16
2013,Nov,15
2013,Dec,12
2014,Jan,16
2014,Feb,16
2014,Mar,16
2014,Apr,19
2014,May,16
2014,Jun,17
2014,Jul,19
2014,Aug,16
2014,Sep,19
2014,Oct,20
2014,Nov,18
2014,Dec,15
2015,Jan,18
2015,Feb,22
2015,Mar,16
2015,Apr,21
2015,May,18
2015,Jun,17
2015,Jul,19
2015,Aug,18
2015,Sep,20
2015,Oct,22
2015,Nov,17
2015,Dec,15
2016,Jan,17
2016,Feb,18
2016,Mar,15
2016,Apr,28
2016,May,16
2016,Jun,17
2016,Jul,17
2016,Aug,18
2016,Sep,22
2016,Oct,19
2016,Nov,15
2016,Dec,15
2017,Jan,16
2017,Feb,18
2017,Mar,18
2017,Apr,15
2017,May,16
2017,Jun,16
2017,Jul,17
2017,Aug,17
2017,Sep,17
2017,Oct,17
2017,Nov,14
2017,Dec,12
2018,Jan,17
2018,Feb,20
2018,Mar,16
2018,Apr,16
2018,May,16
2018,Jun,15
2018,Jul,18
2018,Aug,20
2018,Sep,18
2018,Oct,16
2018,Nov,15
2018,Dec,14
2019,Jan,15
2019,Feb,18
2019,Mar,19
2019,Apr,17
2019,May,18
2019,Jun,17
2019,Jul,18
2019,Aug,19
2019,Sep,18
2019,Oct,17
2019,Nov,14
2019,Dec,12
2020,Jan,14
2020,Feb,18
2020,Mar,16
2020,Apr,14
2020,May,12
2020,Jun,13
2020,Jul,12
2020,Aug,12
2020,Sep,13
2020,Oct,13
2020,Nov,11
2020,Dec,11
2021,Jan,13
2021,Feb,13
2021,Mar,14
2021,Apr,13
2021,May,13
2021,Jun,15
2021,Jul,35
2021,Aug,19
2021,Sep,15
2021,Oct,13
2021,Nov,14
2021,Dec,12
2022,Jan,15
2022,Feb,15
2022,Mar,16
