CNAME:,BLACKBAUD INC
Google Trends Search Term:,blackbaud
Google Trends Suggestion:,computer software company
Google Trends URL:,/m/04d9v1
Year,Month,SVI Data
2004,Jan,54
2004,Feb,96
2004,Mar,63
2004,Apr,78
2004,May,49
2004,Jun,63
2004,Jul,72
2004,Aug,77
2004,Sep,44
2004,Oct,55
2004,Nov,47
2004,Dec,42
2005,Jan,44
2005,Feb,59
2005,Mar,57
2005,Apr,45
2005,May,37
2005,Jun,74
2005,Jul,42
2005,Aug,45
2005,Sep,53
2005,Oct,66
2005,Nov,47
2005,Dec,48
2006,Jan,60
2006,Feb,49
2006,Mar,51
2006,Apr,62
2006,May,53
2006,Jun,48
2006,Jul,57
2006,Aug,56
2006,Sep,55
2006,Oct,56
2006,Nov,37
2006,Dec,48
2007,Jan,48
2007,Feb,62
2007,Mar,56
2007,Apr,65
2007,May,65
2007,Jun,54
2007,Jul,53
2007,Aug,64
2007,Sep,57
2007,Oct,57
2007,Nov,45
2007,Dec,37
2008,Jan,57
2008,Feb,48
2008,Mar,55
2008,Apr,45
2008,May,52
2008,Jun,54
2008,Jul,57
2008,Aug,55
2008,Sep,46
2008,Oct,47
2008,Nov,34
2008,Dec,40
2009,Jan,46
2009,Feb,54
2009,Mar,52
2009,Apr,36
2009,May,53
2009,Jun,44
2009,Jul,44
2009,Aug,52
2009,Sep,38
2009,Oct,40
2009,Nov,40
2009,Dec,34
2010,Jan,46
2010,Feb,48
2010,Mar,47
2010,Apr,39
2010,May,48
2010,Jun,48
2010,Jul,53
2010,Aug,47
2010,Sep,45
2010,Oct,52
2010,Nov,46
2010,Dec,34
2011,Jan,47
2011,Feb,50
2011,Mar,52
2011,Apr,51
2011,May,54
2011,Jun,55
2011,Jul,54
2011,Aug,65
2011,Sep,62
2011,Oct,60
2011,Nov,53
2011,Dec,40
2012,Jan,67
2012,Feb,58
2012,Mar,50
2012,Apr,52
2012,May,52
2012,Jun,52
2012,Jul,48
2012,Aug,54
2012,Sep,58
2012,Oct,52
2012,Nov,47
2012,Dec,37
2013,Jan,58
2013,Feb,55
2013,Mar,48
2013,Apr,47
2013,May,53
2013,Jun,47
2013,Jul,46
2013,Aug,62
2013,Sep,57
2013,Oct,57
2013,Nov,51
2013,Dec,44
2014,Jan,55
2014,Feb,57
2014,Mar,51
2014,Apr,54
2014,May,57
2014,Jun,59
2014,Jul,56
2014,Aug,47
2014,Sep,62
2014,Oct,62
2014,Nov,56
2014,Dec,45
2015,Jan,55
2015,Feb,55
2015,Mar,57
2015,Apr,47
2015,May,56
2015,Jun,57
2015,Jul,55
2015,Aug,53
2015,Sep,58
2015,Oct,64
2015,Nov,49
2015,Dec,45
2016,Jan,47
2016,Feb,54
2016,Mar,51
2016,Apr,48
2016,May,64
2016,Jun,56
2016,Jul,49
2016,Aug,55
2016,Sep,54
2016,Oct,48
2016,Nov,45
2016,Dec,45
2017,Jan,43
2017,Feb,55
2017,Mar,54
2017,Apr,52
2017,May,52
2017,Jun,54
2017,Jul,48
2017,Aug,56
2017,Sep,52
2017,Oct,54
2017,Nov,51
2017,Dec,43
2018,Jan,57
2018,Feb,56
2018,Mar,57
2018,Apr,58
2018,May,56
2018,Jun,58
2018,Jul,55
2018,Aug,65
2018,Sep,57
2018,Oct,63
2018,Nov,55
2018,Dec,43
2019,Jan,60
2019,Feb,56
2019,Mar,49
2019,Apr,55
2019,May,57
2019,Jun,64
2019,Jul,63
2019,Aug,75
2019,Sep,65
2019,Oct,69
2019,Nov,58
2019,Dec,52
2020,Jan,66
2020,Feb,67
2020,Mar,68
2020,Apr,60
2020,May,52
2020,Jun,60
2020,Jul,98
2020,Aug,99
2020,Sep,100
2020,Oct,64
2020,Nov,46
2020,Dec,45
2021,Jan,49
2021,Feb,52
2021,Mar,49
2021,Apr,48
2021,May,48
2021,Jun,54
2021,Jul,52
2021,Aug,63
2021,Sep,66
2021,Oct,56
2021,Nov,58
2021,Dec,58
2022,Jan,66
2022,Feb,74
2022,Mar,71
