CNAME:,VIANT TECHNOLOGY INC
Google Trends Search Term:,viant technology
Google Trends Suggestion:,company
Google Trends URL:,/g/11g7033zdl
Year,Month,SVI Data
2004,Jan,65
2004,Feb,13
2004,Mar,16
2004,Apr,25
2004,May,11
2004,Jun,12
2004,Jul,24
2004,Aug,0
2004,Sep,20
2004,Oct,31
2004,Nov,21
2004,Dec,19
2005,Jan,8
2005,Feb,0
2005,Mar,7
2005,Apr,0
2005,May,8
2005,Jun,16
2005,Jul,8
2005,Aug,0
2005,Sep,14
2005,Oct,0
2005,Nov,7
2005,Dec,12
2006,Jan,6
2006,Feb,0
2006,Mar,5
2006,Apr,5
2006,May,0
2006,Jun,0
2006,Jul,10
2006,Aug,9
2006,Sep,5
2006,Oct,30
2006,Nov,4
2006,Dec,0
2007,Jan,0
2007,Feb,12
2007,Mar,4
2007,Apr,0
2007,May,24
2007,Jun,14
2007,Jul,13
2007,Aug,16
2007,Sep,26
2007,Oct,46
2007,Nov,26
2007,Dec,33
2008,Jan,29
2008,Feb,27
2008,Mar,27
2008,Apr,26
2008,May,24
2008,Jun,34
2008,Jul,24
2008,Aug,29
2008,Sep,15
2008,Oct,32
2008,Nov,10
2008,Dec,20
2009,Jan,16
2009,Feb,22
2009,Mar,22
2009,Apr,22
2009,May,32
2009,Jun,18
2009,Jul,25
2009,Aug,33
2009,Sep,28
2009,Oct,16
2009,Nov,17
2009,Dec,16
2010,Jan,23
2010,Feb,14
2010,Mar,16
2010,Apr,22
2010,May,12
2010,Jun,18
2010,Jul,12
2010,Aug,13
2010,Sep,14
2010,Oct,14
2010,Nov,14
2010,Dec,5
2011,Jan,10
2011,Feb,8
2011,Mar,19
2011,Apr,7
2011,May,11
2011,Jun,10
2011,Jul,8
2011,Aug,12
2011,Sep,11
2011,Oct,7
2011,Nov,7
2011,Dec,6
2012,Jan,9
2012,Feb,4
2012,Mar,8
2012,Apr,3
2012,May,6
2012,Jun,7
2012,Jul,9
2012,Aug,5
2012,Sep,5
2012,Oct,6
2012,Nov,5
2012,Dec,3
2013,Jan,7
2013,Feb,2
2013,Mar,2
2013,Apr,4
2013,May,6
2013,Jun,2
2013,Jul,4
2013,Aug,2
2013,Sep,2
2013,Oct,1
2013,Nov,1
2013,Dec,4
2014,Jan,1
2014,Feb,4
2014,Mar,4
2014,Apr,1
2014,May,2
2014,Jun,5
2014,Jul,3
2014,Aug,2
2014,Sep,2
2014,Oct,4
2014,Nov,2
2014,Dec,3
2015,Jan,15
2015,Feb,14
2015,Mar,11
2015,Apr,19
2015,May,12
2015,Jun,25
2015,Jul,12
2015,Aug,20
2015,Sep,8
2015,Oct,14
2015,Nov,17
2015,Dec,8
2016,Jan,6
2016,Feb,31
2016,Mar,14
2016,Apr,20
2016,May,20
2016,Jun,10
2016,Jul,16
2016,Aug,17
2016,Sep,19
2016,Oct,23
2016,Nov,20
2016,Dec,12
2017,Jan,24
2017,Feb,14
2017,Mar,17
2017,Apr,15
2017,May,16
2017,Jun,19
2017,Jul,18
2017,Aug,21
2017,Sep,13
2017,Oct,16
2017,Nov,17
2017,Dec,8
2018,Jan,17
2018,Feb,10
2018,Mar,12
2018,Apr,14
2018,May,10
2018,Jun,19
2018,Jul,22
2018,Aug,17
2018,Sep,16
2018,Oct,16
2018,Nov,14
2018,Dec,12
2019,Jan,21
2019,Feb,13
2019,Mar,18
2019,Apr,18
2019,May,17
2019,Jun,16
2019,Jul,19
2019,Aug,19
2019,Sep,14
2019,Oct,14
2019,Nov,13
2019,Dec,14
2020,Jan,19
2020,Feb,13
2020,Mar,8
2020,Apr,15
2020,May,8
2020,Jun,9
2020,Jul,10
2020,Aug,11
2020,Sep,9
2020,Oct,5
2020,Nov,12
2020,Dec,9
2021,Jan,14
2021,Feb,100
2021,Mar,27
2021,Apr,22
2021,May,22
2021,Jun,18
2021,Jul,21
2021,Aug,18
2021,Sep,22
2021,Oct,16
2021,Nov,17
2021,Dec,17
2022,Jan,19
2022,Feb,19
2022,Mar,19
