CNAME:,PPG INDUSTRIES INC
Google Trends Search Term:,ppg industries
Google Trends Suggestion:,company
Google Trends URL:,/m/03nnxj
Year,Month,SVI Data
2004,Jan,67
2004,Feb,65
2004,Mar,100
2004,Apr,76
2004,May,71
2004,Jun,96
2004,Jul,88
2004,Aug,86
2004,Sep,77
2004,Oct,83
2004,Nov,63
2004,Dec,71
2005,Jan,68
2005,Feb,79
2005,Mar,75
2005,Apr,76
2005,May,75
2005,Jun,82
2005,Jul,81
2005,Aug,69
2005,Sep,72
2005,Oct,66
2005,Nov,69
2005,Dec,63
2006,Jan,69
2006,Feb,78
2006,Mar,76
2006,Apr,72
2006,May,76
2006,Jun,78
2006,Jul,74
2006,Aug,73
2006,Sep,77
2006,Oct,73
2006,Nov,66
2006,Dec,56
2007,Jan,65
2007,Feb,70
2007,Mar,64
2007,Apr,72
2007,May,71
2007,Jun,71
2007,Jul,75
2007,Aug,68
2007,Sep,71
2007,Oct,71
2007,Nov,67
2007,Dec,65
2008,Jan,65
2008,Feb,69
2008,Mar,73
2008,Apr,70
2008,May,68
2008,Jun,66
2008,Jul,70
2008,Aug,64
2008,Sep,65
2008,Oct,60
2008,Nov,58
2008,Dec,58
2009,Jan,62
2009,Feb,58
2009,Mar,65
2009,Apr,59
2009,May,64
2009,Jun,63
2009,Jul,65
2009,Aug,62
2009,Sep,59
2009,Oct,57
2009,Nov,51
2009,Dec,52
2010,Jan,56
2010,Feb,55
2010,Mar,59
2010,Apr,54
2010,May,56
2010,Jun,59
2010,Jul,53
2010,Aug,53
2010,Sep,50
2010,Oct,48
2010,Nov,49
2010,Dec,41
2011,Jan,52
2011,Feb,56
2011,Mar,54
2011,Apr,57
2011,May,51
2011,Jun,55
2011,Jul,57
2011,Aug,57
2011,Sep,49
2011,Oct,48
2011,Nov,47
2011,Dec,48
2012,Jan,52
2012,Feb,52
2012,Mar,47
2012,Apr,50
2012,May,51
2012,Jun,54
2012,Jul,54
2012,Aug,51
2012,Sep,49
2012,Oct,51
2012,Nov,45
2012,Dec,44
2013,Jan,53
2013,Feb,50
2013,Mar,48
2013,Apr,52
2013,May,51
2013,Jun,51
2013,Jul,50
2013,Aug,52
2013,Sep,46
2013,Oct,56
2013,Nov,46
2013,Dec,45
2014,Jan,47
2014,Feb,50
2014,Mar,45
2014,Apr,53
2014,May,52
2014,Jun,55
2014,Jul,53
2014,Aug,48
2014,Sep,48
2014,Oct,47
2014,Nov,44
2014,Dec,46
2015,Jan,45
2015,Feb,44
2015,Mar,46
2015,Apr,49
2015,May,49
2015,Jun,56
2015,Jul,56
2015,Aug,54
2015,Sep,52
2015,Oct,49
2015,Nov,44
2015,Dec,45
2016,Jan,47
2016,Feb,52
2016,Mar,53
2016,Apr,56
2016,May,55
2016,Jun,59
2016,Jul,58
2016,Aug,54
2016,Sep,51
2016,Oct,56
2016,Nov,49
2016,Dec,50
2017,Jan,52
2017,Feb,54
2017,Mar,62
2017,Apr,60
2017,May,65
2017,Jun,68
2017,Jul,58
2017,Aug,62
2017,Sep,55
2017,Oct,60
2017,Nov,54
2017,Dec,52
2018,Jan,56
2018,Feb,55
2018,Mar,63
2018,Apr,68
2018,May,68
2018,Jun,67
2018,Jul,71
2018,Aug,62
2018,Sep,60
2018,Oct,66
2018,Nov,54
2018,Dec,53
2019,Jan,57
2019,Feb,59
2019,Mar,62
2019,Apr,64
2019,May,66
2019,Jun,70
2019,Jul,65
2019,Aug,66
2019,Sep,60
2019,Oct,59
2019,Nov,54
2019,Dec,51
2020,Jan,51
2020,Feb,57
2020,Mar,54
2020,Apr,62
2020,May,62
2020,Jun,59
2020,Jul,57
2020,Aug,55
2020,Sep,51
2020,Oct,51
2020,Nov,45
2020,Dec,47
2021,Jan,50
2021,Feb,49
2021,Mar,53
2021,Apr,52
2021,May,56
2021,Jun,52
2021,Jul,52
2021,Aug,51
2021,Sep,51
2021,Oct,53
2021,Nov,47
2021,Dec,48
2022,Jan,49
2022,Feb,55
2022,Mar,56
