CNAME:,HUMANA INC
Google Trends Search Term:,humana
Google Trends Suggestion:,company
Google Trends URL:,/m/033th4
Year,Month,SVI Data
2004,Jan,36
2004,Feb,36
2004,Mar,32
2004,Apr,29
2004,May,32
2004,Jun,31
2004,Jul,33
2004,Aug,32
2004,Sep,34
2004,Oct,37
2004,Nov,34
2004,Dec,30
2005,Jan,35
2005,Feb,39
2005,Mar,36
2005,Apr,33
2005,May,35
2005,Jun,36
2005,Jul,44
2005,Aug,42
2005,Sep,40
2005,Oct,46
2005,Nov,72
2005,Dec,91
2006,Jan,92
2006,Feb,72
2006,Mar,65
2006,Apr,70
2006,May,78
2006,Jun,57
2006,Jul,48
2006,Aug,51
2006,Sep,47
2006,Oct,54
2006,Nov,57
2006,Dec,49
2007,Jan,57
2007,Feb,49
2007,Mar,50
2007,Apr,44
2007,May,44
2007,Jun,48
2007,Jul,44
2007,Aug,47
2007,Sep,47
2007,Oct,57
2007,Nov,55
2007,Dec,57
2008,Jan,63
2008,Feb,51
2008,Mar,50
2008,Apr,51
2008,May,46
2008,Jun,50
2008,Jul,54
2008,Aug,51
2008,Sep,49
2008,Oct,57
2008,Nov,61
2008,Dec,62
2009,Jan,60
2009,Feb,60
2009,Mar,56
2009,Apr,49
2009,May,57
2009,Jun,58
2009,Jul,55
2009,Aug,53
2009,Sep,57
2009,Oct,63
2009,Nov,64
2009,Dec,56
2010,Jan,59
2010,Feb,59
2010,Mar,57
2010,Apr,46
2010,May,48
2010,Jun,49
2010,Jul,45
2010,Aug,48
2010,Sep,50
2010,Oct,61
2010,Nov,66
2010,Dec,64
2011,Jan,57
2011,Feb,50
2011,Mar,47
2011,Apr,48
2011,May,47
2011,Jun,51
2011,Jul,49
2011,Aug,53
2011,Sep,51
2011,Oct,59
2011,Nov,64
2011,Dec,51
2012,Jan,60
2012,Feb,50
2012,Mar,48
2012,Apr,45
2012,May,45
2012,Jun,47
2012,Jul,47
2012,Aug,47
2012,Sep,48
2012,Oct,64
2012,Nov,64
2012,Dec,44
2013,Jan,67
2013,Feb,48
2013,Mar,46
2013,Apr,49
2013,May,44
2013,Jun,46
2013,Jul,49
2013,Aug,52
2013,Sep,59
2013,Oct,94
2013,Nov,91
2013,Dec,79
2014,Jan,93
2014,Feb,78
2014,Mar,86
2014,Apr,79
2014,May,74
2014,Jun,72
2014,Jul,76
2014,Aug,71
2014,Sep,76
2014,Oct,97
2014,Nov,98
2014,Dec,92
2015,Jan,98
2015,Feb,83
2015,Mar,86
2015,Apr,82
2015,May,78
2015,Jun,97
2015,Jul,98
2015,Aug,80
2015,Sep,81
2015,Oct,97
2015,Nov,100
2015,Dec,90
2016,Jan,85
2016,Feb,77
2016,Mar,69
2016,Apr,64
2016,May,64
2016,Jun,68
2016,Jul,68
2016,Aug,69
2016,Sep,65
2016,Oct,85
2016,Nov,86
2016,Dec,72
2017,Jan,78
2017,Feb,68
2017,Mar,63
2017,Apr,56
2017,May,56
2017,Jun,59
2017,Jul,54
2017,Aug,60
2017,Sep,55
2017,Oct,80
2017,Nov,79
2017,Dec,63
2018,Jan,69
2018,Feb,63
2018,Mar,63
2018,Apr,62
2018,May,54
2018,Jun,54
2018,Jul,58
2018,Aug,60
2018,Sep,57
2018,Oct,83
2018,Nov,77
2018,Dec,63
2019,Jan,78
2019,Feb,71
2019,Mar,65
2019,Apr,64
2019,May,61
2019,Jun,60
2019,Jul,64
2019,Aug,61
2019,Sep,66
2019,Oct,93
2019,Nov,82
2019,Dec,70
2020,Jan,80
2020,Feb,68
2020,Mar,61
2020,Apr,49
2020,May,47
2020,Jun,63
2020,Jul,67
2020,Aug,66
2020,Sep,71
2020,Oct,90
2020,Nov,81
2020,Dec,83
2021,Jan,82
2021,Feb,74
2021,Mar,71
2021,Apr,70
2021,May,64
2021,Jun,72
2021,Jul,70
2021,Aug,71
2021,Sep,76
2021,Oct,88
2021,Nov,87
2021,Dec,79
2022,Jan,89
2022,Feb,78
2022,Mar,79
