CNAME:,DISCOVER FINANCIAL SERVICES
Google Trends Search Term:,discover financial services
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/02wydsr
Year,Month,SVI Data
2004,Jan,47
2004,Feb,41
2004,Mar,43
2004,Apr,40
2004,May,41
2004,Jun,42
2004,Jul,45
2004,Aug,47
2004,Sep,45
2004,Oct,43
2004,Nov,41
2004,Dec,46
2005,Jan,45
2005,Feb,44
2005,Mar,43
2005,Apr,41
2005,May,44
2005,Jun,43
2005,Jul,44
2005,Aug,52
2005,Sep,44
2005,Oct,42
2005,Nov,45
2005,Dec,49
2006,Jan,46
2006,Feb,45
2006,Mar,46
2006,Apr,46
2006,May,44
2006,Jun,50
2006,Jul,51
2006,Aug,51
2006,Sep,49
2006,Oct,46
2006,Nov,49
2006,Dec,54
2007,Jan,51
2007,Feb,48
2007,Mar,48
2007,Apr,47
2007,May,44
2007,Jun,46
2007,Jul,50
2007,Aug,48
2007,Sep,46
2007,Oct,44
2007,Nov,43
2007,Dec,47
2008,Jan,46
2008,Feb,43
2008,Mar,44
2008,Apr,45
2008,May,49
2008,Jun,47
2008,Jul,54
2008,Aug,54
2008,Sep,53
2008,Oct,53
2008,Nov,51
2008,Dec,61
2009,Jan,57
2009,Feb,53
2009,Mar,60
2009,Apr,56
2009,May,60
2009,Jun,67
2009,Jul,68
2009,Aug,67
2009,Sep,64
2009,Oct,63
2009,Nov,67
2009,Dec,71
2010,Jan,66
2010,Feb,64
2010,Mar,66
2010,Apr,64
2010,May,62
2010,Jun,66
2010,Jul,63
2010,Aug,61
2010,Sep,62
2010,Oct,63
2010,Nov,64
2010,Dec,67
2011,Jan,75
2011,Feb,77
2011,Mar,74
2011,Apr,73
2011,May,73
2011,Jun,78
2011,Jul,80
2011,Aug,82
2011,Sep,78
2011,Oct,76
2011,Nov,81
2011,Dec,83
2012,Jan,81
2012,Feb,73
2012,Mar,72
2012,Apr,71
2012,May,81
2012,Jun,75
2012,Jul,73
2012,Aug,79
2012,Sep,78
2012,Oct,79
2012,Nov,88
2012,Dec,85
2013,Jan,81
2013,Feb,78
2013,Mar,84
2013,Apr,80
2013,May,78
2013,Jun,81
2013,Jul,88
2013,Aug,89
2013,Sep,79
2013,Oct,76
2013,Nov,88
2013,Dec,100
2014,Jan,96
2014,Feb,85
2014,Mar,88
2014,Apr,88
2014,May,92
2014,Jun,96
2014,Jul,96
2014,Aug,93
2014,Sep,91
2014,Oct,88
2014,Nov,88
2014,Dec,90
2015,Jan,85
2015,Feb,84
2015,Mar,81
2015,Apr,83
2015,May,87
2015,Jun,92
2015,Jul,94
2015,Aug,89
2015,Sep,84
2015,Oct,84
2015,Nov,84
2015,Dec,87
2016,Jan,72
2016,Feb,68
2016,Mar,68
2016,Apr,65
2016,May,68
2016,Jun,70
2016,Jul,79
2016,Aug,81
2016,Sep,71
2016,Oct,67
2016,Nov,69
2016,Dec,76
2017,Jan,72
2017,Feb,69
2017,Mar,69
2017,Apr,69
2017,May,77
2017,Jun,79
2017,Jul,79
2017,Aug,81
2017,Sep,77
2017,Oct,81
2017,Nov,78
2017,Dec,78
2018,Jan,78
2018,Feb,75
2018,Mar,78
2018,Apr,76
2018,May,76
2018,Jun,79
2018,Jul,83
2018,Aug,82
2018,Sep,76
2018,Oct,74
2018,Nov,74
2018,Dec,72
2019,Jan,80
2019,Feb,79
2019,Mar,76
2019,Apr,75
2019,May,79
2019,Jun,82
2019,Jul,86
2019,Aug,87
2019,Sep,79
2019,Oct,77
2019,Nov,75
2019,Dec,77
2020,Jan,80
2020,Feb,82
2020,Mar,73
2020,Apr,70
2020,May,72
2020,Jun,75
2020,Jul,77
2020,Aug,72
2020,Sep,69
2020,Oct,71
2020,Nov,67
2020,Dec,71
2021,Jan,70
2021,Feb,72
2021,Mar,71
2021,Apr,67
2021,May,66
2021,Jun,73
2021,Jul,72
2021,Aug,69
2021,Sep,68
2021,Oct,66
2021,Nov,68
2021,Dec,69
2022,Jan,72
2022,Feb,72
2022,Mar,72
