CNAME:,CHESAPEAKE ENERGY CORP
Google Trends Search Term:,chesapeake energy
Google Trends Suggestion:,company
Google Trends URL:,/m/067vmm
Year,Month,SVI Data
2004,Jan,8
2004,Feb,8
2004,Mar,6
2004,Apr,8
2004,May,10
2004,Jun,16
2004,Jul,11
2004,Aug,6
2004,Sep,11
2004,Oct,12
2004,Nov,8
2004,Dec,5
2005,Jan,7
2005,Feb,12
2005,Mar,9
2005,Apr,10
2005,May,12
2005,Jun,12
2005,Jul,9
2005,Aug,24
2005,Sep,18
2005,Oct,28
2005,Nov,17
2005,Dec,13
2006,Jan,18
2006,Feb,24
2006,Mar,18
2006,Apr,17
2006,May,11
2006,Jun,17
2006,Jul,17
2006,Aug,18
2006,Sep,18
2006,Oct,13
2006,Nov,13
2006,Dec,16
2007,Jan,13
2007,Feb,17
2007,Mar,15
2007,Apr,14
2007,May,14
2007,Jun,16
2007,Jul,16
2007,Aug,21
2007,Sep,18
2007,Oct,19
2007,Nov,16
2007,Dec,14
2008,Jan,25
2008,Feb,24
2008,Mar,29
2008,Apr,38
2008,May,39
2008,Jun,43
2008,Jul,49
2008,Aug,45
2008,Sep,47
2008,Oct,82
2008,Nov,42
2008,Dec,38
2009,Jan,39
2009,Feb,31
2009,Mar,23
2009,Apr,25
2009,May,25
2009,Jun,33
2009,Jul,23
2009,Aug,26
2009,Sep,28
2009,Oct,28
2009,Nov,26
2009,Dec,30
2010,Jan,31
2010,Feb,33
2010,Mar,42
2010,Apr,32
2010,May,27
2010,Jun,31
2010,Jul,26
2010,Aug,33
2010,Sep,29
2010,Oct,33
2010,Nov,36
2010,Dec,32
2011,Jan,38
2011,Feb,43
2011,Mar,39
2011,Apr,42
2011,May,36
2011,Jun,41
2011,Jul,48
2011,Aug,51
2011,Sep,43
2011,Oct,52
2011,Nov,58
2011,Dec,59
2012,Jan,72
2012,Feb,77
2012,Mar,59
2012,Apr,74
2012,May,96
2012,Jun,86
2012,Jul,49
2012,Aug,40
2012,Sep,47
2012,Oct,47
2012,Nov,46
2012,Dec,45
2013,Jan,54
2013,Feb,53
2013,Mar,48
2013,Apr,40
2013,May,50
2013,Jun,30
2013,Jul,34
2013,Aug,39
2013,Sep,41
2013,Oct,43
2013,Nov,38
2013,Dec,33
2014,Jan,38
2014,Feb,37
2014,Mar,32
2014,Apr,32
2014,May,35
2014,Jun,26
2014,Jul,27
2014,Aug,25
2014,Sep,21
2014,Oct,31
2014,Nov,26
2014,Dec,32
2015,Jan,39
2015,Feb,35
2015,Mar,41
2015,Apr,32
2015,May,23
2015,Jun,25
2015,Jul,31
2015,Aug,41
2015,Sep,43
2015,Oct,27
2015,Nov,29
2015,Dec,42
2016,Jan,47
2016,Feb,86
2016,Mar,100
2016,Apr,59
2016,May,62
2016,Jun,34
2016,Jul,27
2016,Aug,34
2016,Sep,37
2016,Oct,28
2016,Nov,34
2016,Dec,39
2017,Jan,34
2017,Feb,46
2017,Mar,37
2017,Apr,31
2017,May,26
2017,Jun,35
2017,Jul,32
2017,Aug,27
2017,Sep,25
2017,Oct,26
2017,Nov,27
2017,Dec,31
2018,Jan,39
2018,Feb,44
2018,Mar,30
2018,Apr,25
2018,May,34
2018,Jun,25
2018,Jul,30
2018,Aug,23
2018,Sep,20
2018,Oct,28
2018,Nov,30
2018,Dec,27
2019,Jan,34
2019,Feb,35
2019,Mar,32
2019,Apr,24
2019,May,24
2019,Jun,25
2019,Jul,26
2019,Aug,25
2019,Sep,29
2019,Oct,26
2019,Nov,59
2019,Dec,41
2020,Jan,39
2020,Feb,47
2020,Mar,60
2020,Apr,69
2020,May,36
2020,Jun,89
2020,Jul,25
2020,Aug,11
2020,Sep,12
2020,Oct,9
2020,Nov,6
2020,Dec,8
2021,Jan,12
2021,Feb,17
2021,Mar,7
2021,Apr,9
2021,May,7
2021,Jun,8
2021,Jul,7
2021,Aug,6
2021,Sep,5
2021,Oct,7
2021,Nov,5
2021,Dec,5
2022,Jan,7
2022,Feb,7
2022,Mar,9
