CNAME:,WESTERN REFINING INC
Google Trends Search Term:,western refining
Google Trends Suggestion:,petroleum refineries company
Google Trends URL:,/m/03p3h_n
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,38
2004,Apr,0
2004,May,9
2004,Jun,27
2004,Jul,9
2004,Aug,17
2004,Sep,24
2004,Oct,8
2004,Nov,34
2004,Dec,0
2005,Jan,0
2005,Feb,7
2005,Mar,0
2005,Apr,14
2005,May,12
2005,Jun,12
2005,Jul,12
2005,Aug,12
2005,Sep,11
2005,Oct,30
2005,Nov,15
2005,Dec,24
2006,Jan,100
2006,Feb,18
2006,Mar,24
2006,Apr,34
2006,May,24
2006,Jun,8
2006,Jul,8
2006,Aug,41
2006,Sep,30
2006,Oct,27
2006,Nov,14
2006,Dec,10
2007,Jan,15
2007,Feb,22
2007,Mar,17
2007,Apr,20
2007,May,53
2007,Jun,20
2007,Jul,27
2007,Aug,33
2007,Sep,25
2007,Oct,27
2007,Nov,43
2007,Dec,24
2008,Jan,40
2008,Feb,24
2008,Mar,42
2008,Apr,37
2008,May,60
2008,Jun,66
2008,Jul,49
2008,Aug,42
2008,Sep,36
2008,Oct,37
2008,Nov,31
2008,Dec,33
2009,Jan,45
2009,Feb,53
2009,Mar,43
2009,Apr,40
2009,May,43
2009,Jun,43
2009,Jul,39
2009,Aug,42
2009,Sep,25
2009,Oct,46
2009,Nov,48
2009,Dec,31
2010,Jan,21
2010,Feb,36
2010,Mar,26
2010,Apr,27
2010,May,29
2010,Jun,31
2010,Jul,40
2010,Aug,43
2010,Sep,34
2010,Oct,22
2010,Nov,37
2010,Dec,22
2011,Jan,32
2011,Feb,43
2011,Mar,36
2011,Apr,25
2011,May,28
2011,Jun,38
2011,Jul,26
2011,Aug,37
2011,Sep,25
2011,Oct,24
2011,Nov,33
2011,Dec,31
2012,Jan,33
2012,Feb,26
2012,Mar,34
2012,Apr,27
2012,May,20
2012,Jun,21
2012,Jul,25
2012,Aug,25
2012,Sep,27
2012,Oct,26
2012,Nov,35
2012,Dec,24
2013,Jan,27
2013,Feb,27
2013,Mar,27
2013,Apr,31
2013,May,22
2013,Jun,29
2013,Jul,30
2013,Aug,33
2013,Sep,26
2013,Oct,39
2013,Nov,35
2013,Dec,25
2014,Jan,31
2014,Feb,28
2014,Mar,18
2014,Apr,28
2014,May,33
2014,Jun,34
2014,Jul,28
2014,Aug,30
2014,Sep,32
2014,Oct,31
2014,Nov,34
2014,Dec,26
2015,Jan,35
2015,Feb,32
2015,Mar,22
2015,Apr,28
2015,May,32
2015,Jun,34
2015,Jul,22
2015,Aug,36
2015,Sep,41
2015,Oct,30
2015,Nov,31
2015,Dec,19
2016,Jan,27
2016,Feb,26
2016,Mar,24
2016,Apr,24
2016,May,34
2016,Jun,41
2016,Jul,34
2016,Aug,31
2016,Sep,31
2016,Oct,35
2016,Nov,67
2016,Dec,31
2017,Jan,41
2017,Feb,30
2017,Mar,34
2017,Apr,30
2017,May,34
2017,Jun,41
2017,Jul,23
2017,Aug,28
2017,Sep,27
2017,Oct,19
2017,Nov,19
2017,Dec,20
2018,Jan,22
2018,Feb,21
2018,Mar,15
2018,Apr,17
2018,May,25
2018,Jun,20
2018,Jul,18
2018,Aug,17
2018,Sep,16
2018,Oct,14
2018,Nov,14
2018,Dec,11
2019,Jan,10
2019,Feb,14
2019,Mar,7
2019,Apr,12
2019,May,13
2019,Jun,10
2019,Jul,16
2019,Aug,9
2019,Sep,9
2019,Oct,6
2019,Nov,7
2019,Dec,9
2020,Jan,6
2020,Feb,10
2020,Mar,6
2020,Apr,6
2020,May,5
2020,Jun,4
2020,Jul,9
2020,Aug,4
2020,Sep,5
2020,Oct,2
2020,Nov,4
2020,Dec,6
2021,Jan,3
2021,Feb,6
2021,Mar,3
2021,Apr,4
2021,May,3
2021,Jun,5
2021,Jul,2
2021,Aug,2
2021,Sep,3
2021,Oct,3
2021,Nov,4
2021,Dec,1
2022,Jan,3
2022,Feb,3
2022,Mar,4
