CNAME:,ENERGY TRANSFER PARTNERS L P
Google Trends Search Term:,energy transfer operating
Google Trends Suggestion:,company
Google Trends URL:,/m/0cmtrq
Year,Month,SVI Data
2004,Jan,0
2004,Feb,12
2004,Mar,11
2004,Apr,25
2004,May,23
2004,Jun,8
2004,Jul,11
2004,Aug,15
2004,Sep,7
2004,Oct,5
2004,Nov,12
2004,Dec,9
2005,Jan,25
2005,Feb,22
2005,Mar,21
2005,Apr,16
2005,May,14
2005,Jun,14
2005,Jul,7
2005,Aug,13
2005,Sep,17
2005,Oct,15
2005,Nov,12
2005,Dec,1
2006,Jan,27
2006,Feb,21
2006,Mar,16
2006,Apr,21
2006,May,15
2006,Jun,18
2006,Jul,9
2006,Aug,16
2006,Sep,14
2006,Oct,20
2006,Nov,18
2006,Dec,14
2007,Jan,22
2007,Feb,19
2007,Mar,27
2007,Apr,13
2007,May,8
2007,Jun,16
2007,Jul,19
2007,Aug,19
2007,Sep,17
2007,Oct,19
2007,Nov,10
2007,Dec,17
2008,Jan,14
2008,Feb,18
2008,Mar,20
2008,Apr,20
2008,May,15
2008,Jun,14
2008,Jul,17
2008,Aug,15
2008,Sep,19
2008,Oct,26
2008,Nov,15
2008,Dec,27
2009,Jan,24
2009,Feb,23
2009,Mar,27
2009,Apr,15
2009,May,14
2009,Jun,9
2009,Jul,17
2009,Aug,18
2009,Sep,16
2009,Oct,16
2009,Nov,13
2009,Dec,11
2010,Jan,17
2010,Feb,25
2010,Mar,26
2010,Apr,13
2010,May,22
2010,Jun,16
2010,Jul,12
2010,Aug,15
2010,Sep,12
2010,Oct,17
2010,Nov,14
2010,Dec,13
2011,Jan,19
2011,Feb,19
2011,Mar,30
2011,Apr,23
2011,May,20
2011,Jun,33
2011,Jul,28
2011,Aug,24
2011,Sep,22
2011,Oct,27
2011,Nov,25
2011,Dec,17
2012,Jan,26
2012,Feb,28
2012,Mar,32
2012,Apr,41
2012,May,31
2012,Jun,29
2012,Jul,24
2012,Aug,24
2012,Sep,32
2012,Oct,36
2012,Nov,27
2012,Dec,22
2013,Jan,25
2013,Feb,29
2013,Mar,48
2013,Apr,31
2013,May,27
2013,Jun,14
2013,Jul,18
2013,Aug,19
2013,Sep,17
2013,Oct,27
2013,Nov,29
2013,Dec,21
2014,Jan,25
2014,Feb,33
2014,Mar,46
2014,Apr,32
2014,May,28
2014,Jun,26
2014,Jul,29
2014,Aug,27
2014,Sep,26
2014,Oct,28
2014,Nov,25
2014,Dec,26
2015,Jan,31
2015,Feb,31
2015,Mar,52
2015,Apr,37
2015,May,35
2015,Jun,45
2015,Jul,43
2015,Aug,42
2015,Sep,61
2015,Oct,50
2015,Nov,44
2015,Dec,53
2016,Jan,59
2016,Feb,78
2016,Mar,77
2016,Apr,54
2016,May,51
2016,Jun,53
2016,Jul,34
2016,Aug,41
2016,Sep,57
2016,Oct,54
2016,Nov,100
2016,Dec,89
2017,Jan,73
2017,Feb,75
2017,Mar,78
2017,Apr,51
2017,May,71
2017,Jun,57
2017,Jul,51
2017,Aug,62
2017,Sep,51
2017,Oct,61
2017,Nov,60
2017,Dec,57
2018,Jan,75
2018,Feb,65
2018,Mar,79
2018,Apr,60
2018,May,64
2018,Jun,60
2018,Jul,60
2018,Aug,78
2018,Sep,57
2018,Oct,62
2018,Nov,55
2018,Dec,37
2019,Jan,41
2019,Feb,44
2019,Mar,63
2019,Apr,51
2019,May,38
2019,Jun,34
2019,Jul,30
2019,Aug,34
2019,Sep,44
2019,Oct,37
2019,Nov,44
2019,Dec,31
2020,Jan,43
2020,Feb,48
2020,Mar,81
2020,Apr,66
2020,May,45
2020,Jun,35
2020,Jul,54
2020,Aug,38
2020,Sep,37
2020,Oct,43
2020,Nov,36
2020,Dec,29
2021,Jan,48
2021,Feb,63
2021,Mar,54
2021,Apr,41
2021,May,41
2021,Jun,42
2021,Jul,30
2021,Aug,33
2021,Sep,30
2021,Oct,34
2021,Nov,30
2021,Dec,35
2022,Jan,37
2022,Feb,37
2022,Mar,62
