CNAME:,AMERICAN WELL CORP
Google Trends Search Term:,amwell
Google Trends Suggestion:,healthcare company
Google Trends URL:,/m/010fk1dv
Year,Month,SVI Data
2004,Jan,6
2004,Feb,0
2004,Mar,0
2004,Apr,3
2004,May,5
2004,Jun,2
2004,Jul,3
2004,Aug,2
2004,Sep,7
2004,Oct,2
2004,Nov,2
2004,Dec,4
2005,Jan,2
2005,Feb,4
2005,Mar,0
2005,Apr,2
2005,May,2
2005,Jun,2
2005,Jul,8
2005,Aug,8
2005,Sep,0
2005,Oct,8
2005,Nov,4
2005,Dec,3
2006,Jan,1
2006,Feb,2
2006,Mar,2
2006,Apr,6
2006,May,1
2006,Jun,5
2006,Jul,4
2006,Aug,3
2006,Sep,2
2006,Oct,3
2006,Nov,5
2006,Dec,2
2007,Jan,4
2007,Feb,4
2007,Mar,4
2007,Apr,6
2007,May,6
2007,Jun,3
2007,Jul,5
2007,Aug,6
2007,Sep,3
2007,Oct,3
2007,Nov,5
2007,Dec,3
2008,Jan,2
2008,Feb,6
2008,Mar,10
2008,Apr,8
2008,May,6
2008,Jun,7
2008,Jul,11
2008,Aug,6
2008,Sep,6
2008,Oct,6
2008,Nov,5
2008,Dec,6
2009,Jan,10
2009,Feb,8
2009,Mar,7
2009,Apr,6
2009,May,6
2009,Jun,11
2009,Jul,7
2009,Aug,7
2009,Sep,4
2009,Oct,8
2009,Nov,7
2009,Dec,4
2010,Jan,5
2010,Feb,5
2010,Mar,5
2010,Apr,7
2010,May,8
2010,Jun,7
2010,Jul,7
2010,Aug,5
2010,Sep,9
2010,Oct,7
2010,Nov,3
2010,Dec,7
2011,Jan,3
2011,Feb,6
2011,Mar,6
2011,Apr,5
2011,May,4
2011,Jun,6
2011,Jul,7
2011,Aug,5
2011,Sep,7
2011,Oct,5
2011,Nov,5
2011,Dec,5
2012,Jan,4
2012,Feb,4
2012,Mar,4
2012,Apr,6
2012,May,5
2012,Jun,6
2012,Jul,8
2012,Aug,6
2012,Sep,6
2012,Oct,5
2012,Nov,4
2012,Dec,2
2013,Jan,4
2013,Feb,4
2013,Mar,5
2013,Apr,6
2013,May,5
2013,Jun,3
2013,Jul,5
2013,Aug,4
2013,Sep,5
2013,Oct,7
2013,Nov,6
2013,Dec,6
2014,Jan,7
2014,Feb,9
2014,Mar,8
2014,Apr,11
2014,May,10
2014,Jun,8
2014,Jul,7
2014,Aug,7
2014,Sep,7
2014,Oct,12
2014,Nov,9
2014,Dec,6
2015,Jan,8
2015,Feb,11
2015,Mar,9
2015,Apr,12
2015,May,10
2015,Jun,12
2015,Jul,11
2015,Aug,13
2015,Sep,12
2015,Oct,13
2015,Nov,11
2015,Dec,10
2016,Jan,15
2016,Feb,13
2016,Mar,14
2016,Apr,14
2016,May,15
2016,Jun,15
2016,Jul,16
2016,Aug,12
2016,Sep,14
2016,Oct,13
2016,Nov,15
2016,Dec,16
2017,Jan,19
2017,Feb,16
2017,Mar,17
2017,Apr,18
2017,May,17
2017,Jun,18
2017,Jul,17
2017,Aug,18
2017,Sep,16
2017,Oct,19
2017,Nov,20
2017,Dec,16
2018,Jan,20
2018,Feb,20
2018,Mar,19
2018,Apr,18
2018,May,18
2018,Jun,14
2018,Jul,20
2018,Aug,16
2018,Sep,17
2018,Oct,19
2018,Nov,22
2018,Dec,17
2019,Jan,20
2019,Feb,20
2019,Mar,20
2019,Apr,18
2019,May,18
2019,Jun,17
2019,Jul,18
2019,Aug,15
2019,Sep,18
2019,Oct,22
2019,Nov,17
2019,Dec,16
2020,Jan,19
2020,Feb,19
2020,Mar,47
2020,Apr,51
2020,May,35
2020,Jun,37
2020,Jul,33
2020,Aug,45
2020,Sep,100
2020,Oct,51
2020,Nov,47
2020,Dec,39
2021,Jan,41
2021,Feb,35
2021,Mar,33
2021,Apr,33
2021,May,29
2021,Jun,24
2021,Jul,26
2021,Aug,26
2021,Sep,20
2021,Oct,22
2021,Nov,21
2021,Dec,25
2022,Jan,25
2022,Feb,25
2022,Mar,24
