CNAME:,GOLDMAN SACHS GROUP INC
Google Trends Search Term:,goldman sachs
Google Trends Suggestion:,investment banking company
Google Trends URL:,/m/01xdn1
Year,Month,SVI Data
2004,Jan,28
2004,Feb,26
2004,Mar,27
2004,Apr,26
2004,May,22
2004,Jun,26
2004,Jul,26
2004,Aug,22
2004,Sep,25
2004,Oct,26
2004,Nov,23
2004,Dec,22
2005,Jan,25
2005,Feb,23
2005,Mar,23
2005,Apr,25
2005,May,25
2005,Jun,25
2005,Jul,24
2005,Aug,24
2005,Sep,25
2005,Oct,25
2005,Nov,27
2005,Dec,22
2006,Jan,23
2006,Feb,23
2006,Mar,22
2006,Apr,24
2006,May,24
2006,Jun,25
2006,Jul,20
2006,Aug,22
2006,Sep,27
2006,Oct,28
2006,Nov,25
2006,Dec,42
2007,Jan,35
2007,Feb,32
2007,Mar,27
2007,Apr,25
2007,May,26
2007,Jun,27
2007,Jul,28
2007,Aug,29
2007,Sep,29
2007,Oct,28
2007,Nov,32
2007,Dec,34
2008,Jan,32
2008,Feb,29
2008,Mar,30
2008,Apr,25
2008,May,24
2008,Jun,27
2008,Jul,24
2008,Aug,20
2008,Sep,50
2008,Oct,38
2008,Nov,32
2008,Dec,24
2009,Jan,22
2009,Feb,23
2009,Mar,22
2009,Apr,25
2009,May,20
2009,Jun,24
2009,Jul,44
2009,Aug,25
2009,Sep,26
2009,Oct,34
2009,Nov,34
2009,Dec,30
2010,Jan,32
2010,Feb,30
2010,Mar,26
2010,Apr,100
2010,May,35
2010,Jun,26
2010,Jul,25
2010,Aug,21
2010,Sep,22
2010,Oct,24
2010,Nov,24
2010,Dec,21
2011,Jan,27
2011,Feb,22
2011,Mar,21
2011,Apr,22
2011,May,21
2011,Jun,22
2011,Jul,20
2011,Aug,20
2011,Sep,22
2011,Oct,22
2011,Nov,20
2011,Dec,18
2012,Jan,20
2012,Feb,19
2012,Mar,40
2012,Apr,18
2012,May,17
2012,Jun,16
2012,Jul,17
2012,Aug,15
2012,Sep,16
2012,Oct,19
2012,Nov,18
2012,Dec,14
2013,Jan,18
2013,Feb,17
2013,Mar,14
2013,Apr,15
2013,May,14
2013,Jun,14
2013,Jul,16
2013,Aug,17
2013,Sep,16
2013,Oct,18
2013,Nov,17
2013,Dec,15
2014,Jan,17
2014,Feb,16
2014,Mar,14
2014,Apr,15
2014,May,14
2014,Jun,16
2014,Jul,16
2014,Aug,14
2014,Sep,16
2014,Oct,17
2014,Nov,17
2014,Dec,14
2015,Jan,15
2015,Feb,15
2015,Mar,15
2015,Apr,16
2015,May,14
2015,Jun,17
2015,Jul,17
2015,Aug,16
2015,Sep,17
2015,Oct,18
2015,Nov,16
2015,Dec,14
2016,Jan,19
2016,Feb,20
2016,Mar,16
2016,Apr,21
2016,May,16
2016,Jun,17
2016,Jul,15
2016,Aug,14
2016,Sep,15
2016,Oct,19
2016,Nov,18
2016,Dec,19
2017,Jan,19
2017,Feb,17
2017,Mar,17
2017,Apr,17
2017,May,16
2017,Jun,19
2017,Jul,19
2017,Aug,17
2017,Sep,17
2017,Oct,19
2017,Nov,17
2017,Dec,15
2018,Jan,20
2018,Feb,18
2018,Mar,19
2018,Apr,19
2018,May,17
2018,Jun,18
2018,Jul,20
2018,Aug,19
2018,Sep,20
2018,Oct,20
2018,Nov,20
2018,Dec,16
2019,Jan,20
2019,Feb,19
2019,Mar,21
2019,Apr,20
2019,May,19
2019,Jun,20
2019,Jul,21
2019,Aug,21
2019,Sep,23
2019,Oct,22
2019,Nov,20
2019,Dec,16
2020,Jan,22
2020,Feb,24
2020,Mar,26
2020,Apr,23
2020,May,21
2020,Jun,20
2020,Jul,23
2020,Aug,18
2020,Sep,16
2020,Oct,19
2020,Nov,13
2020,Dec,14
2021,Jan,16
2021,Feb,15
2021,Mar,21
2021,Apr,15
2021,May,15
2021,Jun,15
2021,Jul,16
2021,Aug,15
2021,Sep,15
2021,Oct,15
2021,Nov,16
2021,Dec,15
2022,Jan,18
2022,Feb,17
2022,Mar,22
