CNAME:,DASEKE INC
Google Trends Search Term:,daseke inc
Google Trends Suggestion:,transport company
Google Trends URL:,/g/11clgbwlqn
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,36
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,31
2005,Mar,54
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,18
2006,Jun,19
2006,Jul,18
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,13
2007,May,0
2007,Jun,13
2007,Jul,0
2007,Aug,11
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,10
2008,Mar,10
2008,Apr,0
2008,May,9
2008,Jun,0
2008,Jul,10
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,24
2009,May,0
2009,Jun,8
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,7
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,7
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,6
2011,Jan,9
2011,Feb,14
2011,Mar,0
2011,Apr,0
2011,May,13
2011,Jun,4
2011,Jul,4
2011,Aug,4
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,3
2012,Feb,0
2012,Mar,0
2012,Apr,0
2012,May,0
2012,Jun,4
2012,Jul,0
2012,Aug,3
2012,Sep,0
2012,Oct,6
2012,Nov,6
2012,Dec,0
2013,Jan,0
2013,Feb,3
2013,Mar,6
2013,Apr,3
2013,May,3
2013,Jun,12
2013,Jul,0
2013,Aug,20
2013,Sep,6
2013,Oct,5
2013,Nov,14
2013,Dec,11
2014,Jan,8
2014,Feb,3
2014,Mar,18
2014,Apr,21
2014,May,6
2014,Jun,3
2014,Jul,3
2014,Aug,12
2014,Sep,9
2014,Oct,20
2014,Nov,12
2014,Dec,0
2015,Jan,17
2015,Feb,21
2015,Mar,3
2015,Apr,3
2015,May,18
2015,Jun,22
2015,Jul,37
2015,Aug,9
2015,Sep,20
2015,Oct,25
2015,Nov,9
2015,Dec,25
2016,Jan,7
2016,Feb,14
2016,Mar,16
2016,Apr,21
2016,May,14
2016,Jun,7
2016,Jul,17
2016,Aug,7
2016,Sep,5
2016,Oct,14
2016,Nov,2
2016,Dec,41
2017,Jan,42
2017,Feb,29
2017,Mar,52
2017,Apr,34
2017,May,54
2017,Jun,46
2017,Jul,48
2017,Aug,54
2017,Sep,40
2017,Oct,23
2017,Nov,38
2017,Dec,82
2018,Jan,62
2018,Feb,48
2018,Mar,48
2018,Apr,35
2018,May,51
2018,Jun,45
2018,Jul,49
2018,Aug,40
2018,Sep,34
2018,Oct,55
2018,Nov,70
2018,Dec,62
2019,Jan,91
2019,Feb,66
2019,Mar,50
2019,Apr,60
2019,May,43
2019,Jun,38
2019,Jul,56
2019,Aug,100
2019,Sep,76
2019,Oct,42
2019,Nov,55
2019,Dec,30
2020,Jan,30
2020,Feb,43
2020,Mar,64
2020,Apr,35
2020,May,50
2020,Jun,43
2020,Jul,56
2020,Aug,89
2020,Sep,27
2020,Oct,33
2020,Nov,57
2020,Dec,37
2021,Jan,43
2021,Feb,55
2021,Mar,41
2021,Apr,30
2021,May,30
2021,Jun,35
2021,Jul,18
2021,Aug,32
2021,Sep,30
2021,Oct,21
2021,Nov,34
2021,Dec,19
2022,Jan,33
2022,Feb,40
2022,Mar,37
