CNAME:,AMERICAN EXPRESS CO
Google Trends Search Term:,american express
Google Trends Suggestion:,credit card service company
Google Trends URL:,/m/01w6dw
Year,Month,SVI Data
2004,Jan,50
2004,Feb,50
2004,Mar,50
2004,Apr,50
2004,May,52
2004,Jun,58
2004,Jul,55
2004,Aug,56
2004,Sep,51
2004,Oct,52
2004,Nov,62
2004,Dec,72
2005,Jan,54
2005,Feb,50
2005,Mar,52
2005,Apr,52
2005,May,56
2005,Jun,63
2005,Jul,65
2005,Aug,68
2005,Sep,61
2005,Oct,69
2005,Nov,70
2005,Dec,92
2006,Jan,69
2006,Feb,65
2006,Mar,69
2006,Apr,70
2006,May,68
2006,Jun,78
2006,Jul,77
2006,Aug,79
2006,Sep,74
2006,Oct,74
2006,Nov,77
2006,Dec,94
2007,Jan,81
2007,Feb,78
2007,Mar,80
2007,Apr,77
2007,May,80
2007,Jun,90
2007,Jul,87
2007,Aug,86
2007,Sep,78
2007,Oct,83
2007,Nov,87
2007,Dec,100
2008,Jan,87
2008,Feb,81
2008,Mar,80
2008,Apr,81
2008,May,84
2008,Jun,86
2008,Jul,89
2008,Aug,83
2008,Sep,79
2008,Oct,81
2008,Nov,79
2008,Dec,95
2009,Jan,83
2009,Feb,76
2009,Mar,76
2009,Apr,71
2009,May,73
2009,Jun,78
2009,Jul,81
2009,Aug,80
2009,Sep,77
2009,Oct,76
2009,Nov,78
2009,Dec,91
2010,Jan,79
2010,Feb,75
2010,Mar,77
2010,Apr,74
2010,May,73
2010,Jun,76
2010,Jul,69
2010,Aug,72
2010,Sep,69
2010,Oct,69
2010,Nov,74
2010,Dec,78
2011,Jan,80
2011,Feb,76
2011,Mar,80
2011,Apr,76
2011,May,75
2011,Jun,83
2011,Jul,83
2011,Aug,84
2011,Sep,78
2011,Oct,77
2011,Nov,81
2011,Dec,84
2012,Jan,80
2012,Feb,73
2012,Mar,76
2012,Apr,74
2012,May,76
2012,Jun,78
2012,Jul,79
2012,Aug,80
2012,Sep,77
2012,Oct,77
2012,Nov,83
2012,Dec,82
2013,Jan,80
2013,Feb,78
2013,Mar,79
2013,Apr,82
2013,May,85
2013,Jun,84
2013,Jul,88
2013,Aug,87
2013,Sep,80
2013,Oct,81
2013,Nov,85
2013,Dec,94
2014,Jan,87
2014,Feb,81
2014,Mar,81
2014,Apr,81
2014,May,85
2014,Jun,85
2014,Jul,90
2014,Aug,84
2014,Sep,85
2014,Oct,82
2014,Nov,84
2014,Dec,87
2015,Jan,83
2015,Feb,82
2015,Mar,79
2015,Apr,80
2015,May,80
2015,Jun,84
2015,Jul,89
2015,Aug,85
2015,Sep,79
2015,Oct,79
2015,Nov,80
2015,Dec,84
2016,Jan,70
2016,Feb,69
2016,Mar,67
2016,Apr,64
2016,May,66
2016,Jun,70
2016,Jul,61
2016,Aug,60
2016,Sep,54
2016,Oct,54
2016,Nov,59
2016,Dec,61
2017,Jan,58
2017,Feb,57
2017,Mar,60
2017,Apr,61
2017,May,61
2017,Jun,61
2017,Jul,61
2017,Aug,62
2017,Sep,57
2017,Oct,59
2017,Nov,59
2017,Dec,62
2018,Jan,64
2018,Feb,65
2018,Mar,61
2018,Apr,61
2018,May,59
2018,Jun,64
2018,Jul,65
2018,Aug,64
2018,Sep,60
2018,Oct,62
2018,Nov,60
2018,Dec,61
2019,Jan,63
2019,Feb,61
2019,Mar,59
2019,Apr,58
2019,May,60
2019,Jun,63
2019,Jul,63
2019,Aug,62
2019,Sep,59
2019,Oct,58
2019,Nov,58
2019,Dec,59
2020,Jan,63
2020,Feb,60
2020,Mar,51
2020,Apr,51
2020,May,47
2020,Jun,49
2020,Jul,48
2020,Aug,47
2020,Sep,45
2020,Oct,43
2020,Nov,41
2020,Dec,47
2021,Jan,45
2021,Feb,45
2021,Mar,49
2021,Apr,46
2021,May,47
2021,Jun,51
2021,Jul,50
2021,Aug,48
2021,Sep,48
2021,Oct,48
2021,Nov,51
2021,Dec,55
2022,Jan,53
2022,Feb,54
2022,Mar,56
