CNAME:,ENERSYS
Google Trends Search Term:,enersys
Google Trends Suggestion:,energy storage company
Google Trends URL:,/m/010pf0ph
Year,Month,SVI Data
2004,Jan,38
2004,Feb,75
2004,Mar,36
2004,Apr,73
2004,May,33
2004,Jun,68
2004,Jul,88
2004,Aug,63
2004,Sep,53
2004,Oct,78
2004,Nov,64
2004,Dec,64
2005,Jan,31
2005,Feb,78
2005,Mar,95
2005,Apr,83
2005,May,40
2005,Jun,76
2005,Jul,46
2005,Aug,65
2005,Sep,40
2005,Oct,61
2005,Nov,53
2005,Dec,60
2006,Jan,29
2006,Feb,42
2006,Mar,64
2006,Apr,67
2006,May,56
2006,Jun,82
2006,Jul,77
2006,Aug,88
2006,Sep,67
2006,Oct,87
2006,Nov,67
2006,Dec,48
2007,Jan,56
2007,Feb,48
2007,Mar,51
2007,Apr,62
2007,May,85
2007,Jun,61
2007,Jul,77
2007,Aug,60
2007,Sep,53
2007,Oct,51
2007,Nov,60
2007,Dec,69
2008,Jan,86
2008,Feb,65
2008,Mar,59
2008,Apr,64
2008,May,100
2008,Jun,75
2008,Jul,74
2008,Aug,73
2008,Sep,76
2008,Oct,89
2008,Nov,55
2008,Dec,62
2009,Jan,68
2009,Feb,74
2009,Mar,88
2009,Apr,67
2009,May,69
2009,Jun,73
2009,Jul,50
2009,Aug,59
2009,Sep,70
2009,Oct,59
2009,Nov,65
2009,Dec,44
2010,Jan,43
2010,Feb,44
2010,Mar,65
2010,Apr,52
2010,May,44
2010,Jun,60
2010,Jul,49
2010,Aug,49
2010,Sep,53
2010,Oct,53
2010,Nov,60
2010,Dec,31
2011,Jan,53
2011,Feb,60
2011,Mar,64
2011,Apr,58
2011,May,55
2011,Jun,65
2011,Jul,40
2011,Aug,58
2011,Sep,55
2011,Oct,53
2011,Nov,51
2011,Dec,46
2012,Jan,60
2012,Feb,45
2012,Mar,45
2012,Apr,50
2012,May,53
2012,Jun,56
2012,Jul,55
2012,Aug,41
2012,Sep,36
2012,Oct,44
2012,Nov,41
2012,Dec,35
2013,Jan,47
2013,Feb,45
2013,Mar,41
2013,Apr,40
2013,May,37
2013,Jun,47
2013,Jul,52
2013,Aug,53
2013,Sep,43
2013,Oct,55
2013,Nov,40
2013,Dec,42
2014,Jan,54
2014,Feb,56
2014,Mar,45
2014,Apr,46
2014,May,50
2014,Jun,58
2014,Jul,54
2014,Aug,53
2014,Sep,51
2014,Oct,47
2014,Nov,49
2014,Dec,42
2015,Jan,50
2015,Feb,56
2015,Mar,52
2015,Apr,51
2015,May,59
2015,Jun,56
2015,Jul,46
2015,Aug,54
2015,Sep,48
2015,Oct,58
2015,Nov,39
2015,Dec,35
2016,Jan,44
2016,Feb,37
2016,Mar,46
2016,Apr,44
2016,May,51
2016,Jun,45
2016,Jul,45
2016,Aug,41
2016,Sep,42
2016,Oct,44
2016,Nov,32
2016,Dec,40
2017,Jan,48
2017,Feb,49
2017,Mar,46
2017,Apr,49
2017,May,48
2017,Jun,54
2017,Jul,53
2017,Aug,46
2017,Sep,45
2017,Oct,46
2017,Nov,43
2017,Dec,41
2018,Jan,44
2018,Feb,45
2018,Mar,48
2018,Apr,43
2018,May,47
2018,Jun,37
2018,Jul,46
2018,Aug,45
2018,Sep,53
2018,Oct,58
2018,Nov,47
2018,Dec,41
2019,Jan,46
2019,Feb,63
2019,Mar,51
2019,Apr,44
2019,May,54
2019,Jun,55
2019,Jul,57
2019,Aug,53
2019,Sep,63
2019,Oct,55
2019,Nov,48
2019,Dec,51
2020,Jan,52
2020,Feb,60
2020,Mar,52
2020,Apr,44
2020,May,42
2020,Jun,42
2020,Jul,46
2020,Aug,40
2020,Sep,40
2020,Oct,40
2020,Nov,40
2020,Dec,34
2021,Jan,51
2021,Feb,48
2021,Mar,49
2021,Apr,42
2021,May,35
2021,Jun,45
2021,Jul,52
2021,Aug,38
2021,Sep,48
2021,Oct,36
2021,Nov,42
2021,Dec,39
2022,Jan,50
2022,Feb,52
2022,Mar,48
