CNAME:,VENTAS INC
Google Trends Search Term:,ventas
Google Trends Suggestion:,real estate investment trust company
Google Trends URL:,/m/03p3g1n
Year,Month,SVI Data
2004,Jan,26
2004,Feb,100
2004,Mar,0
2004,Apr,24
2004,May,44
2004,Jun,23
2004,Jul,23
2004,Aug,42
2004,Sep,60
2004,Oct,31
2004,Nov,32
2004,Dec,47
2005,Jan,25
2005,Feb,26
2005,Mar,52
2005,Apr,51
2005,May,38
2005,Jun,39
2005,Jul,23
2005,Aug,58
2005,Sep,53
2005,Oct,63
2005,Nov,13
2005,Dec,18
2006,Jan,43
2006,Feb,67
2006,Mar,30
2006,Apr,42
2006,May,25
2006,Jun,31
2006,Jul,15
2006,Aug,74
2006,Sep,42
2006,Oct,39
2006,Nov,13
2006,Dec,13
2007,Jan,52
2007,Feb,55
2007,Mar,50
2007,Apr,40
2007,May,30
2007,Jun,39
2007,Jul,27
2007,Aug,38
2007,Sep,57
2007,Oct,20
2007,Nov,37
2007,Dec,27
2008,Jan,57
2008,Feb,38
2008,Mar,50
2008,Apr,46
2008,May,68
2008,Jun,39
2008,Jul,37
2008,Aug,76
2008,Sep,62
2008,Oct,73
2008,Nov,34
2008,Dec,46
2009,Jan,41
2009,Feb,81
2009,Mar,65
2009,Apr,76
2009,May,64
2009,Jun,74
2009,Jul,60
2009,Aug,45
2009,Sep,67
2009,Oct,46
2009,Nov,60
2009,Dec,46
2010,Jan,50
2010,Feb,81
2010,Mar,49
2010,Apr,62
2010,May,76
2010,Jun,82
2010,Jul,81
2010,Aug,59
2010,Sep,63
2010,Oct,91
2010,Nov,91
2010,Dec,53
2011,Jan,37
2011,Feb,97
2011,Mar,69
2011,Apr,44
2011,May,58
2011,Jun,53
2011,Jul,61
2011,Aug,46
2011,Sep,48
2011,Oct,26
2011,Nov,43
2011,Dec,42
2012,Jan,53
2012,Feb,53
2012,Mar,61
2012,Apr,47
2012,May,55
2012,Jun,52
2012,Jul,46
2012,Aug,47
2012,Sep,38
2012,Oct,45
2012,Nov,36
2012,Dec,18
2013,Jan,36
2013,Feb,31
2013,Mar,48
2013,Apr,35
2013,May,40
2013,Jun,38
2013,Jul,37
2013,Aug,47
2013,Sep,36
2013,Oct,36
2013,Nov,55
2013,Dec,43
2014,Jan,43
2014,Feb,34
2014,Mar,36
2014,Apr,37
2014,May,41
2014,Jun,65
2014,Jul,62
2014,Aug,54
2014,Sep,54
2014,Oct,48
2014,Nov,35
2014,Dec,48
2015,Jan,59
2015,Feb,65
2015,Mar,41
2015,Apr,65
2015,May,46
2015,Jun,47
2015,Jul,60
2015,Aug,71
2015,Sep,45
2015,Oct,52
2015,Nov,40
2015,Dec,27
2016,Jan,40
2016,Feb,49
2016,Mar,51
2016,Apr,46
2016,May,47
2016,Jun,49
2016,Jul,54
2016,Aug,43
2016,Sep,45
2016,Oct,34
2016,Nov,44
2016,Dec,38
2017,Jan,31
2017,Feb,56
2017,Mar,41
2017,Apr,30
2017,May,38
2017,Jun,39
2017,Jul,25
2017,Aug,39
2017,Sep,32
2017,Oct,32
2017,Nov,28
2017,Dec,26
2018,Jan,40
2018,Feb,54
2018,Mar,38
2018,Apr,46
2018,May,49
2018,Jun,42
2018,Jul,39
2018,Aug,37
2018,Sep,39
2018,Oct,41
2018,Nov,46
2018,Dec,32
2019,Jan,41
2019,Feb,50
2019,Mar,42
2019,Apr,41
2019,May,32
2019,Jun,42
2019,Jul,39
2019,Aug,47
2019,Sep,33
2019,Oct,47
2019,Nov,40
2019,Dec,49
2020,Jan,42
2020,Feb,50
2020,Mar,95
2020,Apr,75
2020,May,57
2020,Jun,53
2020,Jul,48
2020,Aug,37
2020,Sep,26
2020,Oct,28
2020,Nov,28
2020,Dec,25
2021,Jan,20
2021,Feb,29
2021,Mar,20
2021,Apr,32
2021,May,28
2021,Jun,28
2021,Jul,24
2021,Aug,40
2021,Sep,29
2021,Oct,30
2021,Nov,26
2021,Dec,22
2022,Jan,25
2022,Feb,30
2022,Mar,35
