CNAME:,ZIONS BANCORPORATION
Google Trends Search Term:,zions bancorporation
Google Trends Suggestion:,bank
Google Trends URL:,/m/02qhhfq
Year,Month,SVI Data
2004,Jan,73
2004,Feb,18
2004,Mar,46
2004,Apr,52
2004,May,48
2004,Jun,33
2004,Jul,17
2004,Aug,0
2004,Sep,43
2004,Oct,0
2004,Nov,30
2004,Dec,27
2005,Jan,12
2005,Feb,37
2005,Mar,11
2005,Apr,24
2005,May,22
2005,Jun,34
2005,Jul,99
2005,Aug,62
2005,Sep,38
2005,Oct,18
2005,Nov,37
2005,Dec,18
2006,Jan,23
2006,Feb,16
2006,Mar,43
2006,Apr,8
2006,May,43
2006,Jun,67
2006,Jul,22
2006,Aug,40
2006,Sep,34
2006,Oct,25
2006,Nov,18
2006,Dec,31
2007,Jan,54
2007,Feb,23
2007,Mar,46
2007,Apr,36
2007,May,19
2007,Jun,25
2007,Jul,24
2007,Aug,59
2007,Sep,32
2007,Oct,45
2007,Nov,45
2007,Dec,17
2008,Jan,37
2008,Feb,39
2008,Mar,42
2008,Apr,30
2008,May,52
2008,Jun,48
2008,Jul,65
2008,Aug,68
2008,Sep,100
2008,Oct,99
2008,Nov,32
2008,Dec,45
2009,Jan,69
2009,Feb,48
2009,Mar,53
2009,Apr,69
2009,May,61
2009,Jun,45
2009,Jul,86
2009,Aug,62
2009,Sep,69
2009,Oct,37
2009,Nov,59
2009,Dec,38
2010,Jan,49
2010,Feb,51
2010,Mar,33
2010,Apr,67
2010,May,45
2010,Jun,40
2010,Jul,51
2010,Aug,40
2010,Sep,32
2010,Oct,40
2010,Nov,26
2010,Dec,22
2011,Jan,42
2011,Feb,38
2011,Mar,35
2011,Apr,48
2011,May,42
2011,Jun,33
2011,Jul,32
2011,Aug,41
2011,Sep,25
2011,Oct,34
2011,Nov,25
2011,Dec,16
2012,Jan,35
2012,Feb,26
2012,Mar,34
2012,Apr,32
2012,May,26
2012,Jun,15
2012,Jul,18
2012,Aug,19
2012,Sep,18
2012,Oct,17
2012,Nov,18
2012,Dec,13
2013,Jan,32
2013,Feb,17
2013,Mar,27
2013,Apr,18
2013,May,22
2013,Jun,24
2013,Jul,26
2013,Aug,25
2013,Sep,21
2013,Oct,29
2013,Nov,31
2013,Dec,32
2014,Jan,32
2014,Feb,24
2014,Mar,46
2014,Apr,28
2014,May,21
2014,Jun,16
2014,Jul,29
2014,Aug,17
2014,Sep,39
2014,Oct,17
2014,Nov,18
2014,Dec,17
2015,Jan,23
2015,Feb,27
2015,Mar,27
2015,Apr,21
2015,May,20
2015,Jun,33
2015,Jul,27
2015,Aug,26
2015,Sep,24
2015,Oct,29
2015,Nov,30
2015,Dec,17
2016,Jan,22
2016,Feb,35
2016,Mar,31
2016,Apr,30
2016,May,29
2016,Jun,26
2016,Jul,22
2016,Aug,23
2016,Sep,29
2016,Oct,27
2016,Nov,38
2016,Dec,26
2017,Jan,31
2017,Feb,26
2017,Mar,25
2017,Apr,27
2017,May,24
2017,Jun,28
2017,Jul,23
2017,Aug,36
2017,Sep,17
2017,Oct,27
2017,Nov,28
2017,Dec,24
2018,Jan,39
2018,Feb,27
2018,Mar,27
2018,Apr,27
2018,May,32
2018,Jun,24
2018,Jul,27
2018,Aug,29
2018,Sep,29
2018,Oct,30
2018,Nov,26
2018,Dec,26
2019,Jan,27
2019,Feb,31
2019,Mar,25
2019,Apr,39
2019,May,33
2019,Jun,30
2019,Jul,29
2019,Aug,32
2019,Sep,25
2019,Oct,40
2019,Nov,28
2019,Dec,25
2020,Jan,26
2020,Feb,34
2020,Mar,36
2020,Apr,41
2020,May,29
2020,Jun,33
2020,Jul,29
2020,Aug,27
2020,Sep,37
2020,Oct,30
2020,Nov,28
2020,Dec,32
2021,Jan,36
2021,Feb,36
2021,Mar,20
2021,Apr,33
2021,May,21
2021,Jun,25
2021,Jul,31
2021,Aug,20
2021,Sep,28
2021,Oct,32
2021,Nov,22
2021,Dec,28
2022,Jan,27
2022,Feb,17
2022,Mar,31
