CNAME:,AMGEN INC
Google Trends Search Term:,amgen
Google Trends Suggestion:,biotechnology company
Google Trends URL:,/m/03r820
Year,Month,SVI Data
2004,Jan,61
2004,Feb,61
2004,Mar,71
2004,Apr,61
2004,May,68
2004,Jun,59
2004,Jul,64
2004,Aug,67
2004,Sep,57
2004,Oct,68
2004,Nov,53
2004,Dec,46
2005,Jan,66
2005,Feb,49
2005,Mar,56
2005,Apr,55
2005,May,52
2005,Jun,55
2005,Jul,65
2005,Aug,62
2005,Sep,59
2005,Oct,66
2005,Nov,64
2005,Dec,63
2006,Jan,81
2006,Feb,100
2006,Mar,66
2006,Apr,73
2006,May,60
2006,Jun,67
2006,Jul,68
2006,Aug,67
2006,Sep,66
2006,Oct,67
2006,Nov,64
2006,Dec,57
2007,Jan,67
2007,Feb,95
2007,Mar,69
2007,Apr,67
2007,May,63
2007,Jun,49
2007,Jul,47
2007,Aug,72
2007,Sep,52
2007,Oct,62
2007,Nov,38
2007,Dec,38
2008,Jan,50
2008,Feb,63
2008,Mar,49
2008,Apr,41
2008,May,36
2008,Jun,33
2008,Jul,46
2008,Aug,40
2008,Sep,39
2008,Oct,42
2008,Nov,35
2008,Dec,35
2009,Jan,52
2009,Feb,99
2009,Mar,45
2009,Apr,43
2009,May,39
2009,Jun,43
2009,Jul,43
2009,Aug,39
2009,Sep,34
2009,Oct,40
2009,Nov,35
2009,Dec,31
2010,Jan,42
2010,Feb,37
2010,Mar,36
2010,Apr,34
2010,May,58
2010,Jun,38
2010,Jul,29
2010,Aug,28
2010,Sep,30
2010,Oct,35
2010,Nov,30
2010,Dec,25
2011,Jan,35
2011,Feb,34
2011,Mar,32
2011,Apr,31
2011,May,62
2011,Jun,32
2011,Jul,25
2011,Aug,26
2011,Sep,26
2011,Oct,30
2011,Nov,27
2011,Dec,24
2012,Jan,30
2012,Feb,29
2012,Mar,30
2012,Apr,27
2012,May,47
2012,Jun,27
2012,Jul,27
2012,Aug,26
2012,Sep,25
2012,Oct,26
2012,Nov,23
2012,Dec,22
2013,Jan,33
2013,Feb,32
2013,Mar,28
2013,Apr,32
2013,May,42
2013,Jun,24
2013,Jul,28
2013,Aug,31
2013,Sep,27
2013,Oct,28
2013,Nov,24
2013,Dec,20
2014,Jan,34
2014,Feb,30
2014,Mar,29
2014,Apr,29
2014,May,45
2014,Jun,25
2014,Jul,35
2014,Aug,32
2014,Sep,29
2014,Oct,33
2014,Nov,26
2014,Dec,23
2015,Jan,27
2015,Feb,25
2015,Mar,32
2015,Apr,33
2015,May,39
2015,Jun,30
2015,Jul,33
2015,Aug,31
2015,Sep,27
2015,Oct,29
2015,Nov,25
2015,Dec,23
2016,Jan,30
2016,Feb,28
2016,Mar,27
2016,Apr,26
2016,May,38
2016,Jun,27
2016,Jul,24
2016,Aug,25
2016,Sep,24
2016,Oct,25
2016,Nov,25
2016,Dec,21
2017,Jan,29
2017,Feb,32
2017,Mar,33
2017,Apr,26
2017,May,35
2017,Jun,28
2017,Jul,26
2017,Aug,25
2017,Sep,27
2017,Oct,27
2017,Nov,25
2017,Dec,20
2018,Jan,28
2018,Feb,31
2018,Mar,26
2018,Apr,23
2018,May,37
2018,Jun,23
2018,Jul,24
2018,Aug,26
2018,Sep,24
2018,Oct,26
2018,Nov,24
2018,Dec,18
2019,Jan,27
2019,Feb,24
2019,Mar,24
2019,Apr,25
2019,May,32
2019,Jun,25
2019,Jul,24
2019,Aug,31
2019,Sep,23
2019,Oct,28
2019,Nov,24
2019,Dec,20
2020,Jan,25
2020,Feb,27
2020,Mar,26
2020,Apr,25
2020,May,22
2020,Jun,21
2020,Jul,22
2020,Aug,24
2020,Sep,21
2020,Oct,22
2020,Nov,18
2020,Dec,19
2021,Jan,20
2021,Feb,22
2021,Mar,20
2021,Apr,21
2021,May,21
2021,Jun,24
2021,Jul,17
2021,Aug,21
2021,Sep,21
2021,Oct,20
2021,Nov,18
2021,Dec,20
2022,Jan,21
2022,Feb,24
2022,Mar,23
