CNAME:,SYNTEL INC
Google Trends Search Term:,atos syntel
Google Trends Suggestion:,software company
Google Trends URL:,/m/03qj2l
Year,Month,SVI Data
2004,Jan,46
2004,Feb,45
2004,Mar,26
2004,Apr,54
2004,May,18
2004,Jun,37
2004,Jul,47
2004,Aug,38
2004,Sep,53
2004,Oct,33
2004,Nov,30
2004,Dec,23
2005,Jan,23
2005,Feb,39
2005,Mar,39
2005,Apr,45
2005,May,43
2005,Jun,31
2005,Jul,28
2005,Aug,29
2005,Sep,46
2005,Oct,48
2005,Nov,29
2005,Dec,22
2006,Jan,24
2006,Feb,32
2006,Mar,38
2006,Apr,19
2006,May,30
2006,Jun,29
2006,Jul,23
2006,Aug,30
2006,Sep,23
2006,Oct,31
2006,Nov,29
2006,Dec,29
2007,Jan,17
2007,Feb,22
2007,Mar,35
2007,Apr,26
2007,May,29
2007,Jun,30
2007,Jul,40
2007,Aug,24
2007,Sep,31
2007,Oct,30
2007,Nov,16
2007,Dec,25
2008,Jan,34
2008,Feb,18
2008,Mar,23
2008,Apr,37
2008,May,100
2008,Jun,32
2008,Jul,29
2008,Aug,34
2008,Sep,26
2008,Oct,22
2008,Nov,25
2008,Dec,28
2009,Jan,26
2009,Feb,26
2009,Mar,37
2009,Apr,33
2009,May,22
2009,Jun,21
2009,Jul,28
2009,Aug,31
2009,Sep,24
2009,Oct,30
2009,Nov,28
2009,Dec,36
2010,Jan,37
2010,Feb,39
2010,Mar,48
2010,Apr,41
2010,May,35
2010,Jun,37
2010,Jul,42
2010,Aug,40
2010,Sep,33
2010,Oct,34
2010,Nov,32
2010,Dec,42
2011,Jan,33
2011,Feb,37
2011,Mar,24
2011,Apr,31
2011,May,35
2011,Jun,31
2011,Jul,28
2011,Aug,31
2011,Sep,24
2011,Oct,35
2011,Nov,30
2011,Dec,23
2012,Jan,26
2012,Feb,25
2012,Mar,25
2012,Apr,30
2012,May,30
2012,Jun,27
2012,Jul,32
2012,Aug,32
2012,Sep,33
2012,Oct,30
2012,Nov,31
2012,Dec,29
2013,Jan,27
2013,Feb,24
2013,Mar,26
2013,Apr,32
2013,May,27
2013,Jun,26
2013,Jul,26
2013,Aug,31
2013,Sep,26
2013,Oct,27
2013,Nov,24
2013,Dec,29
2014,Jan,30
2014,Feb,34
2014,Mar,35
2014,Apr,35
2014,May,32
2014,Jun,48
2014,Jul,43
2014,Aug,35
2014,Sep,39
2014,Oct,35
2014,Nov,29
2014,Dec,40
2015,Jan,42
2015,Feb,37
2015,Mar,43
2015,Apr,64
2015,May,48
2015,Jun,67
2015,Jul,51
2015,Aug,43
2015,Sep,37
2015,Oct,41
2015,Nov,37
2015,Dec,38
2016,Jan,24
2016,Feb,30
2016,Mar,28
2016,Apr,27
2016,May,29
2016,Jun,30
2016,Jul,30
2016,Aug,23
2016,Sep,19
2016,Oct,30
2016,Nov,26
2016,Dec,25
2017,Jan,23
2017,Feb,26
2017,Mar,27
2017,Apr,27
2017,May,27
2017,Jun,21
2017,Jul,25
2017,Aug,23
2017,Sep,23
2017,Oct,28
2017,Nov,23
2017,Dec,19
2018,Jan,25
2018,Feb,29
2018,Mar,24
2018,Apr,32
2018,May,23
2018,Jun,23
2018,Jul,65
2018,Aug,31
2018,Sep,28
2018,Oct,25
2018,Nov,22
2018,Dec,23
2019,Jan,28
2019,Feb,31
2019,Mar,23
2019,Apr,28
2019,May,18
2019,Jun,24
2019,Jul,24
2019,Aug,18
2019,Sep,19
2019,Oct,23
2019,Nov,17
2019,Dec,22
2020,Jan,19
2020,Feb,20
2020,Mar,18
2020,Apr,13
2020,May,12
2020,Jun,11
2020,Jul,17
2020,Aug,10
2020,Sep,11
2020,Oct,11
2020,Nov,10
2020,Dec,11
2021,Jan,9
2021,Feb,11
2021,Mar,13
2021,Apr,10
2021,May,11
2021,Jun,8
2021,Jul,10
2021,Aug,10
2021,Sep,7
2021,Oct,9
2021,Nov,6
2021,Dec,11
2022,Jan,6
2022,Feb,8
2022,Mar,7
