CNAME:,KRAFT HEINZ CO
Google Trends Search Term:,the kraft heinz company
Google Trends Suggestion:,company
Google Trends URL:,/m/01311njn
Year,Month,SVI Data
2004,Jan,40
2004,Feb,49
2004,Mar,50
2004,Apr,57
2004,May,44
2004,Jun,46
2004,Jul,100
2004,Aug,82
2004,Sep,68
2004,Oct,95
2004,Nov,53
2004,Dec,32
2005,Jan,28
2005,Feb,25
2005,Mar,27
2005,Apr,30
2005,May,24
2005,Jun,27
2005,Jul,28
2005,Aug,23
2005,Sep,34
2005,Oct,27
2005,Nov,27
2005,Dec,26
2006,Jan,27
2006,Feb,30
2006,Mar,30
2006,Apr,26
2006,May,27
2006,Jun,23
2006,Jul,26
2006,Aug,32
2006,Sep,27
2006,Oct,27
2006,Nov,25
2006,Dec,21
2007,Jan,24
2007,Feb,23
2007,Mar,26
2007,Apr,26
2007,May,30
2007,Jun,29
2007,Jul,32
2007,Aug,34
2007,Sep,24
2007,Oct,23
2007,Nov,23
2007,Dec,23
2008,Jan,22
2008,Feb,24
2008,Mar,24
2008,Apr,25
2008,May,23
2008,Jun,25
2008,Jul,22
2008,Aug,21
2008,Sep,22
2008,Oct,25
2008,Nov,22
2008,Dec,19
2009,Jan,25
2009,Feb,24
2009,Mar,25
2009,Apr,23
2009,May,22
2009,Jun,20
2009,Jul,24
2009,Aug,23
2009,Sep,22
2009,Oct,23
2009,Nov,23
2009,Dec,19
2010,Jan,21
2010,Feb,31
2010,Mar,21
2010,Apr,25
2010,May,24
2010,Jun,20
2010,Jul,17
2010,Aug,19
2010,Sep,19
2010,Oct,23
2010,Nov,21
2010,Dec,18
2011,Jan,23
2011,Feb,23
2011,Mar,23
2011,Apr,23
2011,May,29
2011,Jun,21
2011,Jul,20
2011,Aug,21
2011,Sep,25
2011,Oct,23
2011,Nov,26
2011,Dec,20
2012,Jan,19
2012,Feb,19
2012,Mar,22
2012,Apr,19
2012,May,18
2012,Jun,18
2012,Jul,18
2012,Aug,19
2012,Sep,17
2012,Oct,20
2012,Nov,17
2012,Dec,15
2013,Jan,18
2013,Feb,46
2013,Mar,22
2013,Apr,22
2013,May,18
2013,Jun,19
2013,Jul,20
2013,Aug,19
2013,Sep,18
2013,Oct,24
2013,Nov,21
2013,Dec,15
2014,Jan,18
2014,Feb,20
2014,Mar,18
2014,Apr,19
2014,May,18
2014,Jun,19
2014,Jul,16
2014,Aug,16
2014,Sep,16
2014,Oct,18
2014,Nov,15
2014,Dec,14
2015,Jan,15
2015,Feb,16
2015,Mar,32
2015,Apr,24
2015,May,21
2015,Jun,23
2015,Jul,30
2015,Aug,28
2015,Sep,21
2015,Oct,21
2015,Nov,24
2015,Dec,17
2016,Jan,18
2016,Feb,46
2016,Mar,21
2016,Apr,23
2016,May,22
2016,Jun,20
2016,Jul,20
2016,Aug,19
2016,Sep,21
2016,Oct,21
2016,Nov,20
2016,Dec,17
2017,Jan,24
2017,Feb,32
2017,Mar,21
2017,Apr,20
2017,May,21
2017,Jun,19
2017,Jul,19
2017,Aug,20
2017,Sep,22
2017,Oct,21
2017,Nov,20
2017,Dec,17
2018,Jan,20
2018,Feb,21
2018,Mar,19
2018,Apr,26
2018,May,22
2018,Jun,23
2018,Jul,21
2018,Aug,23
2018,Sep,22
2018,Oct,21
2018,Nov,21
2018,Dec,19
2019,Jan,23
2019,Feb,58
2019,Mar,33
2019,Apr,27
2019,May,30
2019,Jun,26
2019,Jul,24
2019,Aug,34
2019,Sep,27
2019,Oct,23
2019,Nov,24
2019,Dec,20
2020,Jan,21
2020,Feb,29
2020,Mar,22
2020,Apr,25
2020,May,26
2020,Jun,21
2020,Jul,23
2020,Aug,19
2020,Sep,19
2020,Oct,19
2020,Nov,17
2020,Dec,17
2021,Jan,18
2021,Feb,23
2021,Mar,20
2021,Apr,23
2021,May,20
2021,Jun,26
2021,Jul,19
2021,Aug,19
2021,Sep,22
2021,Oct,20
2021,Nov,22
2021,Dec,19
2022,Jan,20
2022,Feb,20
2022,Mar,20
