CNAME:,T-MOBILE US, INC.
Google Trends Search Term:,t-mobile us
Google Trends Suggestion:,company
Google Trends URL:,/m/02vs4_z
Year,Month,SVI Data
2004,Jan,51
2004,Feb,50
2004,Mar,47
2004,Apr,50
2004,May,50
2004,Jun,55
2004,Jul,59
2004,Aug,59
2004,Sep,57
2004,Oct,52
2004,Nov,52
2004,Dec,58
2005,Jan,53
2005,Feb,55
2005,Mar,51
2005,Apr,52
2005,May,54
2005,Jun,59
2005,Jul,64
2005,Aug,67
2005,Sep,59
2005,Oct,57
2005,Nov,67
2005,Dec,77
2006,Jan,73
2006,Feb,69
2006,Mar,75
2006,Apr,67
2006,May,70
2006,Jun,79
2006,Jul,88
2006,Aug,86
2006,Sep,82
2006,Oct,77
2006,Nov,78
2006,Dec,87
2007,Jan,78
2007,Feb,73
2007,Mar,74
2007,Apr,74
2007,May,80
2007,Jun,88
2007,Jul,90
2007,Aug,89
2007,Sep,89
2007,Oct,80
2007,Nov,85
2007,Dec,94
2008,Jan,77
2008,Feb,73
2008,Mar,76
2008,Apr,73
2008,May,78
2008,Jun,88
2008,Jul,95
2008,Aug,91
2008,Sep,92
2008,Oct,96
2008,Nov,98
2008,Dec,95
2009,Jan,85
2009,Feb,89
2009,Mar,85
2009,Apr,78
2009,May,83
2009,Jun,88
2009,Jul,93
2009,Aug,95
2009,Sep,89
2009,Oct,90
2009,Nov,100
2009,Dec,91
2010,Jan,86
2010,Feb,78
2010,Mar,77
2010,Apr,75
2010,May,76
2010,Jun,85
2010,Jul,90
2010,Aug,90
2010,Sep,85
2010,Oct,84
2010,Nov,87
2010,Dec,86
2011,Jan,89
2011,Feb,93
2011,Mar,95
2011,Apr,84
2011,May,85
2011,Jun,90
2011,Jul,96
2011,Aug,96
2011,Sep,92
2011,Oct,88
2011,Nov,86
2011,Dec,88
2012,Jan,79
2012,Feb,79
2012,Mar,71
2012,Apr,70
2012,May,71
2012,Jun,77
2012,Jul,74
2012,Aug,84
2012,Sep,81
2012,Oct,73
2012,Nov,85
2012,Dec,77
2013,Jan,62
2013,Feb,64
2013,Mar,68
2013,Apr,88
2013,May,82
2013,Jun,78
2013,Jul,76
2013,Aug,80
2013,Sep,80
2013,Oct,76
2013,Nov,78
2013,Dec,82
2014,Jan,83
2014,Feb,79
2014,Mar,73
2014,Apr,72
2014,May,73
2014,Jun,73
2014,Jul,72
2014,Aug,78
2014,Sep,100
2014,Oct,81
2014,Nov,80
2014,Dec,81
2015,Jan,68
2015,Feb,65
2015,Mar,65
2015,Apr,68
2015,May,68
2015,Jun,70
2015,Jul,72
2015,Aug,74
2015,Sep,79
2015,Oct,72
2015,Nov,71
2015,Dec,69
2016,Jan,59
2016,Feb,63
2016,Mar,62
2016,Apr,59
2016,May,58
2016,Jun,64
2016,Jul,65
2016,Aug,62
2016,Sep,81
2016,Oct,69
2016,Nov,71
2016,Dec,62
2017,Jan,54
2017,Feb,56
2017,Mar,60
2017,Apr,57
2017,May,54
2017,Jun,57
2017,Jul,56
2017,Aug,56
2017,Sep,66
2017,Oct,57
2017,Nov,63
2017,Dec,57
2018,Jan,47
2018,Feb,47
2018,Mar,50
2018,Apr,51
2018,May,50
2018,Jun,51
2018,Jul,55
2018,Aug,55
2018,Sep,61
2018,Oct,53
2018,Nov,64
2018,Dec,58
2019,Jan,49
2019,Feb,54
2019,Mar,56
2019,Apr,52
2019,May,55
2019,Jun,53
2019,Jul,57
2019,Aug,55
2019,Sep,62
2019,Oct,52
2019,Nov,57
2019,Dec,61
2020,Jan,45
2020,Feb,53
2020,Mar,47
2020,Apr,46
2020,May,46
2020,Jun,75
2020,Jul,46
2020,Aug,47
2020,Sep,43
2020,Oct,51
2020,Nov,55
2020,Dec,54
2021,Jan,47
2021,Feb,44
2021,Mar,48
2021,Apr,45
2021,May,42
2021,Jun,47
2021,Jul,45
2021,Aug,54
2021,Sep,60
2021,Oct,59
2021,Nov,64
2021,Dec,68
2022,Jan,57
2022,Feb,59
2022,Mar,56
