CNAME:,AMERICAN CAMPUS COMMUNITIES IN
Google Trends Search Term:,american campus communities
Google Trends Suggestion:,company
Google Trends URL:,/m/03p1gcd
Year,Month,SVI Data
2004,Jan,73
2004,Feb,24
2004,Mar,0
2004,Apr,23
2004,May,21
2004,Jun,32
2004,Jul,22
2004,Aug,100
2004,Sep,38
2004,Oct,39
2004,Nov,30
2004,Dec,18
2005,Jan,0
2005,Feb,33
2005,Mar,42
2005,Apr,24
2005,May,29
2005,Jun,52
2005,Jul,15
2005,Aug,48
2005,Sep,44
2005,Oct,30
2005,Nov,37
2005,Dec,29
2006,Jan,31
2006,Feb,27
2006,Mar,24
2006,Apr,40
2006,May,5
2006,Jun,30
2006,Jul,34
2006,Aug,40
2006,Sep,36
2006,Oct,73
2006,Nov,28
2006,Dec,28
2007,Jan,39
2007,Feb,45
2007,Mar,27
2007,Apr,41
2007,May,28
2007,Jun,54
2007,Jul,35
2007,Aug,27
2007,Sep,36
2007,Oct,27
2007,Nov,43
2007,Dec,20
2008,Jan,35
2008,Feb,38
2008,Mar,35
2008,Apr,61
2008,May,25
2008,Jun,63
2008,Jul,48
2008,Aug,40
2008,Sep,39
2008,Oct,61
2008,Nov,56
2008,Dec,46
2009,Jan,39
2009,Feb,48
2009,Mar,45
2009,Apr,48
2009,May,44
2009,Jun,28
2009,Jul,53
2009,Aug,51
2009,Sep,40
2009,Oct,49
2009,Nov,33
2009,Dec,31
2010,Jan,34
2010,Feb,32
2010,Mar,38
2010,Apr,48
2010,May,30
2010,Jun,57
2010,Jul,39
2010,Aug,35
2010,Sep,45
2010,Oct,40
2010,Nov,28
2010,Dec,25
2011,Jan,33
2011,Feb,45
2011,Mar,40
2011,Apr,32
2011,May,51
2011,Jun,45
2011,Jul,49
2011,Aug,54
2011,Sep,49
2011,Oct,45
2011,Nov,38
2011,Dec,36
2012,Jan,44
2012,Feb,46
2012,Mar,42
2012,Apr,38
2012,May,51
2012,Jun,49
2012,Jul,57
2012,Aug,56
2012,Sep,58
2012,Oct,58
2012,Nov,56
2012,Dec,66
2013,Jan,75
2013,Feb,52
2013,Mar,57
2013,Apr,74
2013,May,67
2013,Jun,49
2013,Jul,59
2013,Aug,72
2013,Sep,60
2013,Oct,33
2013,Nov,42
2013,Dec,39
2014,Jan,44
2014,Feb,45
2014,Mar,65
2014,Apr,62
2014,May,42
2014,Jun,51
2014,Jul,67
2014,Aug,56
2014,Sep,43
2014,Oct,48
2014,Nov,39
2014,Dec,35
2015,Jan,39
2015,Feb,50
2015,Mar,38
2015,Apr,51
2015,May,36
2015,Jun,44
2015,Jul,52
2015,Aug,43
2015,Sep,46
2015,Oct,56
2015,Nov,54
2015,Dec,41
2016,Jan,39
2016,Feb,44
2016,Mar,44
2016,Apr,42
2016,May,44
2016,Jun,36
2016,Jul,42
2016,Aug,53
2016,Sep,50
2016,Oct,47
2016,Nov,40
2016,Dec,37
2017,Jan,38
2017,Feb,39
2017,Mar,45
2017,Apr,50
2017,May,42
2017,Jun,47
2017,Jul,63
2017,Aug,68
2017,Sep,57
2017,Oct,66
2017,Nov,52
2017,Dec,41
2018,Jan,59
2018,Feb,52
2018,Mar,61
2018,Apr,50
2018,May,52
2018,Jun,59
2018,Jul,60
2018,Aug,67
2018,Sep,64
2018,Oct,54
2018,Nov,61
2018,Dec,33
2019,Jan,52
2019,Feb,49
2019,Mar,51
2019,Apr,53
2019,May,54
2019,Jun,50
2019,Jul,71
2019,Aug,65
2019,Sep,61
2019,Oct,62
2019,Nov,53
2019,Dec,40
2020,Jan,50
2020,Feb,49
2020,Mar,56
2020,Apr,57
2020,May,52
2020,Jun,54
2020,Jul,82
2020,Aug,68
2020,Sep,44
2020,Oct,40
2020,Nov,33
2020,Dec,37
2021,Jan,41
2021,Feb,49
2021,Mar,44
2021,Apr,45
2021,May,43
2021,Jun,49
2021,Jul,77
2021,Aug,100
2021,Sep,67
2021,Oct,73
2021,Nov,60
2021,Dec,70
2022,Jan,79
2022,Feb,84
2022,Mar,69
