CNAME:,TC PIPELINES LP
Google Trends Search Term:,tc pipelines
Google Trends Suggestion:,natural gas transmission company
Google Trends URL:,/m/099zsp
Year,Month,SVI Data
2004,Jan,55
2004,Feb,53
2004,Mar,0
2004,Apr,52
2004,May,0
2004,Jun,49
2004,Jul,100
2004,Aug,90
2004,Sep,0
2004,Oct,88
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,37
2005,Mar,63
2005,Apr,73
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,80
2005,Nov,0
2005,Dec,52
2006,Jan,0
2006,Feb,24
2006,Mar,21
2006,Apr,22
2006,May,0
2006,Jun,22
2006,Jul,22
2006,Aug,0
2006,Sep,0
2006,Oct,18
2006,Nov,72
2006,Dec,55
2007,Jan,16
2007,Feb,0
2007,Mar,46
2007,Apr,46
2007,May,0
2007,Jun,15
2007,Jul,14
2007,Aug,41
2007,Sep,14
2007,Oct,12
2007,Nov,0
2007,Dec,13
2008,Jan,33
2008,Feb,23
2008,Mar,22
2008,Apr,33
2008,May,33
2008,Jun,0
2008,Jul,11
2008,Aug,11
2008,Sep,21
2008,Oct,38
2008,Nov,11
2008,Dec,10
2009,Jan,19
2009,Feb,51
2009,Mar,28
2009,Apr,19
2009,May,10
2009,Jun,19
2009,Jul,0
2009,Aug,9
2009,Sep,9
2009,Oct,26
2009,Nov,35
2009,Dec,34
2010,Jan,33
2010,Feb,0
2010,Mar,42
2010,Apr,22
2010,May,23
2010,Jun,16
2010,Jul,20
2010,Aug,26
2010,Sep,6
2010,Oct,31
2010,Nov,12
2010,Dec,6
2011,Jan,14
2011,Feb,5
2011,Mar,14
2011,Apr,33
2011,May,23
2011,Jun,19
2011,Jul,9
2011,Aug,17
2011,Sep,4
2011,Oct,8
2011,Nov,16
2011,Dec,4
2012,Jan,11
2012,Feb,22
2012,Mar,32
2012,Apr,15
2012,May,11
2012,Jun,23
2012,Jul,11
2012,Aug,14
2012,Sep,0
2012,Oct,13
2012,Nov,0
2012,Dec,7
2013,Jan,9
2013,Feb,3
2013,Mar,30
2013,Apr,24
2013,May,18
2013,Jun,6
2013,Jul,3
2013,Aug,6
2013,Sep,3
2013,Oct,12
2013,Nov,12
2013,Dec,12
2014,Jan,3
2014,Feb,34
2014,Mar,22
2014,Apr,11
2014,May,0
2014,Jun,20
2014,Jul,7
2014,Aug,23
2014,Sep,22
2014,Oct,30
2014,Nov,16
2014,Dec,3
2015,Jan,9
2015,Feb,13
2015,Mar,9
2015,Apr,16
2015,May,13
2015,Jun,3
2015,Jul,13
2015,Aug,16
2015,Sep,9
2015,Oct,9
2015,Nov,6
2015,Dec,9
2016,Jan,10
2016,Feb,18
2016,Mar,17
2016,Apr,7
2016,May,17
2016,Jun,5
2016,Jul,5
2016,Aug,10
2016,Sep,10
2016,Oct,7
2016,Nov,12
2016,Dec,0
2017,Jan,7
2017,Feb,7
2017,Mar,17
2017,Apr,9
2017,May,14
2017,Jun,15
2017,Jul,17
2017,Aug,21
2017,Sep,14
2017,Oct,2
2017,Nov,7
2017,Dec,2
2018,Jan,6
2018,Feb,21
2018,Mar,34
2018,Apr,20
2018,May,37
2018,Jun,11
2018,Jul,18
2018,Aug,22
2018,Sep,5
2018,Oct,15
2018,Nov,7
2018,Dec,16
2019,Jan,6
2019,Feb,9
2019,Mar,6
2019,Apr,13
2019,May,20
2019,Jun,5
2019,Jul,4
2019,Aug,11
2019,Sep,15
2019,Oct,10
2019,Nov,10
2019,Dec,8
2020,Jan,6
2020,Feb,16
2020,Mar,5
2020,Apr,17
2020,May,12
2020,Jun,9
2020,Jul,6
2020,Aug,4
2020,Sep,16
2020,Oct,19
2020,Nov,8
2020,Dec,14
2021,Jan,26
2021,Feb,23
2021,Mar,28
2021,Apr,8
2021,May,11
2021,Jun,4
2021,Jul,0
2021,Aug,0
2021,Sep,2
2021,Oct,7
2021,Nov,2
2021,Dec,2
2022,Jan,4
2022,Feb,5
2022,Mar,11
