CNAME:,NCR CORP
Google Trends Search Term:,ncr corporation
Google Trends Suggestion:,software company
Google Trends URL:,/m/0lb7z
Year,Month,SVI Data
2004,Jan,61
2004,Feb,74
2004,Mar,57
2004,Apr,64
2004,May,55
2004,Jun,54
2004,Jul,64
2004,Aug,67
2004,Sep,65
2004,Oct,67
2004,Nov,54
2004,Dec,55
2005,Jan,76
2005,Feb,55
2005,Mar,96
2005,Apr,77
2005,May,55
2005,Jun,51
2005,Jul,69
2005,Aug,76
2005,Sep,51
2005,Oct,53
2005,Nov,54
2005,Dec,53
2006,Jan,58
2006,Feb,58
2006,Mar,58
2006,Apr,62
2006,May,48
2006,Jun,73
2006,Jul,46
2006,Aug,50
2006,Sep,51
2006,Oct,56
2006,Nov,54
2006,Dec,49
2007,Jan,63
2007,Feb,57
2007,Mar,51
2007,Apr,54
2007,May,54
2007,Jun,53
2007,Jul,37
2007,Aug,49
2007,Sep,49
2007,Oct,54
2007,Nov,48
2007,Dec,41
2008,Jan,51
2008,Feb,51
2008,Mar,45
2008,Apr,49
2008,May,44
2008,Jun,41
2008,Jul,48
2008,Aug,38
2008,Sep,39
2008,Oct,50
2008,Nov,40
2008,Dec,34
2009,Jan,47
2009,Feb,42
2009,Mar,50
2009,Apr,46
2009,May,45
2009,Jun,100
2009,Jul,47
2009,Aug,53
2009,Sep,55
2009,Oct,53
2009,Nov,48
2009,Dec,49
2010,Jan,48
2010,Feb,44
2010,Mar,52
2010,Apr,63
2010,May,50
2010,Jun,57
2010,Jul,48
2010,Aug,43
2010,Sep,42
2010,Oct,52
2010,Nov,55
2010,Dec,48
2011,Jan,52
2011,Feb,51
2011,Mar,48
2011,Apr,47
2011,May,42
2011,Jun,46
2011,Jul,52
2011,Aug,51
2011,Sep,48
2011,Oct,40
2011,Nov,40
2011,Dec,31
2012,Jan,46
2012,Feb,45
2012,Mar,44
2012,Apr,44
2012,May,44
2012,Jun,48
2012,Jul,51
2012,Aug,51
2012,Sep,47
2012,Oct,41
2012,Nov,41
2012,Dec,38
2013,Jan,42
2013,Feb,43
2013,Mar,46
2013,Apr,46
2013,May,42
2013,Jun,39
2013,Jul,42
2013,Aug,41
2013,Sep,42
2013,Oct,43
2013,Nov,37
2013,Dec,38
2014,Jan,43
2014,Feb,44
2014,Mar,43
2014,Apr,46
2014,May,43
2014,Jun,42
2014,Jul,41
2014,Aug,42
2014,Sep,40
2014,Oct,42
2014,Nov,37
2014,Dec,35
2015,Jan,42
2015,Feb,42
2015,Mar,45
2015,Apr,44
2015,May,43
2015,Jun,56
2015,Jul,47
2015,Aug,42
2015,Sep,41
2015,Oct,40
2015,Nov,46
2015,Dec,45
2016,Jan,35
2016,Feb,38
2016,Mar,39
2016,Apr,36
2016,May,38
2016,Jun,36
2016,Jul,38
2016,Aug,36
2016,Sep,37
2016,Oct,39
2016,Nov,36
2016,Dec,33
2017,Jan,36
2017,Feb,38
2017,Mar,42
2017,Apr,37
2017,May,37
2017,Jun,40
2017,Jul,38
2017,Aug,41
2017,Sep,39
2017,Oct,42
2017,Nov,37
2017,Dec,37
2018,Jan,45
2018,Feb,41
2018,Mar,43
2018,Apr,48
2018,May,47
2018,Jun,45
2018,Jul,46
2018,Aug,48
2018,Sep,41
2018,Oct,44
2018,Nov,41
2018,Dec,36
2019,Jan,39
2019,Feb,43
2019,Mar,42
2019,Apr,44
2019,May,46
2019,Jun,50
2019,Jul,46
2019,Aug,46
2019,Sep,42
2019,Oct,43
2019,Nov,45
2019,Dec,39
2020,Jan,43
2020,Feb,45
2020,Mar,43
2020,Apr,33
2020,May,34
2020,Jun,38
2020,Jul,38
2020,Aug,38
2020,Sep,38
2020,Oct,35
2020,Nov,31
2020,Dec,30
2021,Jan,39
2021,Feb,37
2021,Mar,35
2021,Apr,41
2021,May,36
2021,Jun,36
2021,Jul,37
2021,Aug,34
2021,Sep,35
2021,Oct,34
2021,Nov,33
2021,Dec,35
2022,Jan,35
2022,Feb,39
2022,Mar,38
