CNAME:,VIACELL INC
Google Trends Search Term:,viacell inc
Google Trends Suggestion:,biotechnology company
Google Trends URL:,/m/03p3gb0
Year,Month,SVI Data
2004,Jan,92
2004,Feb,43
2004,Mar,36
2004,Apr,23
2004,May,55
2004,Jun,77
2004,Jul,35
2004,Aug,60
2004,Sep,38
2004,Oct,59
2004,Nov,36
2004,Dec,32
2005,Jan,100
2005,Feb,62
2005,Mar,50
2005,Apr,55
2005,May,49
2005,Jun,68
2005,Jul,46
2005,Aug,55
2005,Sep,48
2005,Oct,54
2005,Nov,32
2005,Dec,46
2006,Jan,45
2006,Feb,51
2006,Mar,55
2006,Apr,44
2006,May,41
2006,Jun,49
2006,Jul,52
2006,Aug,48
2006,Sep,46
2006,Oct,28
2006,Nov,40
2006,Dec,32
2007,Jan,55
2007,Feb,40
2007,Mar,37
2007,Apr,41
2007,May,41
2007,Jun,45
2007,Jul,49
2007,Aug,34
2007,Sep,42
2007,Oct,57
2007,Nov,52
2007,Dec,35
2008,Jan,43
2008,Feb,31
2008,Mar,62
2008,Apr,49
2008,May,24
2008,Jun,45
2008,Jul,39
2008,Aug,41
2008,Sep,43
2008,Oct,32
2008,Nov,27
2008,Dec,32
2009,Jan,48
2009,Feb,35
2009,Mar,35
2009,Apr,38
2009,May,37
2009,Jun,43
2009,Jul,38
2009,Aug,32
2009,Sep,23
2009,Oct,28
2009,Nov,34
2009,Dec,30
2010,Jan,30
2010,Feb,40
2010,Mar,33
2010,Apr,30
2010,May,32
2010,Jun,32
2010,Jul,28
2010,Aug,31
2010,Sep,27
2010,Oct,22
2010,Nov,27
2010,Dec,24
2011,Jan,28
2011,Feb,31
2011,Mar,26
2011,Apr,32
2011,May,31
2011,Jun,28
2011,Jul,29
2011,Aug,24
2011,Sep,23
2011,Oct,29
2011,Nov,19
2011,Dec,24
2012,Jan,22
2012,Feb,24
2012,Mar,24
2012,Apr,22
2012,May,29
2012,Jun,25
2012,Jul,23
2012,Aug,28
2012,Sep,25
2012,Oct,25
2012,Nov,22
2012,Dec,20
2013,Jan,26
2013,Feb,23
2013,Mar,18
2013,Apr,15
2013,May,20
2013,Jun,22
2013,Jul,19
2013,Aug,25
2013,Sep,24
2013,Oct,18
2013,Nov,20
2013,Dec,16
2014,Jan,21
2014,Feb,17
2014,Mar,15
2014,Apr,16
2014,May,21
2014,Jun,17
2014,Jul,16
2014,Aug,17
2014,Sep,14
2014,Oct,14
2014,Nov,15
2014,Dec,14
2015,Jan,19
2015,Feb,16
2015,Mar,16
2015,Apr,16
2015,May,11
2015,Jun,14
2015,Jul,13
2015,Aug,12
2015,Sep,10
2015,Oct,10
2015,Nov,11
2015,Dec,16
2016,Jan,11
2016,Feb,12
2016,Mar,10
2016,Apr,10
2016,May,9
2016,Jun,10
2016,Jul,8
2016,Aug,8
2016,Sep,10
2016,Oct,10
2016,Nov,11
2016,Dec,8
2017,Jan,8
2017,Feb,8
2017,Mar,7
2017,Apr,7
2017,May,9
2017,Jun,6
2017,Jul,10
2017,Aug,7
2017,Sep,7
2017,Oct,9
2017,Nov,6
2017,Dec,8
2018,Jan,8
2018,Feb,8
2018,Mar,7
2018,Apr,6
2018,May,8
2018,Jun,8
2018,Jul,8
2018,Aug,5
2018,Sep,7
2018,Oct,5
2018,Nov,9
2018,Dec,4
2019,Jan,5
2019,Feb,7
2019,Mar,7
2019,Apr,8
2019,May,6
2019,Jun,6
2019,Jul,5
2019,Aug,9
2019,Sep,7
2019,Oct,5
2019,Nov,6
2019,Dec,5
2020,Jan,6
2020,Feb,8
2020,Mar,5
2020,Apr,5
2020,May,6
2020,Jun,7
2020,Jul,6
2020,Aug,6
2020,Sep,4
2020,Oct,4
2020,Nov,4
2020,Dec,5
2021,Jan,7
2021,Feb,6
2021,Mar,5
2021,Apr,4
2021,May,5
2021,Jun,4
2021,Jul,4
2021,Aug,6
2021,Sep,4
2021,Oct,5
2021,Nov,5
2021,Dec,2
2022,Jan,5
2022,Feb,3
2022,Mar,7
