CNAME:,KKR & CO L P
Google Trends Search Term:,kkr & co inc
Google Trends Suggestion:,private equity company
Google Trends URL:,/m/0286zt
Year,Month,SVI Data
2004,Jan,34
2004,Feb,21
2004,Mar,24
2004,Apr,53
2004,May,48
2004,Jun,43
2004,Jul,71
2004,Aug,60
2004,Sep,28
2004,Oct,27
2004,Nov,38
2004,Dec,18
2005,Jan,39
2005,Feb,26
2005,Mar,50
2005,Apr,46
2005,May,43
2005,Jun,37
2005,Jul,51
2005,Aug,56
2005,Sep,39
2005,Oct,57
2005,Nov,41
2005,Dec,37
2006,Jan,44
2006,Feb,35
2006,Mar,56
2006,Apr,52
2006,May,79
2006,Jun,52
2006,Jul,60
2006,Aug,61
2006,Sep,28
2006,Oct,49
2006,Nov,66
2006,Dec,49
2007,Jan,52
2007,Feb,85
2007,Mar,100
2007,Apr,96
2007,May,68
2007,Jun,79
2007,Jul,97
2007,Aug,83
2007,Sep,60
2007,Oct,50
2007,Nov,41
2007,Dec,35
2008,Jan,53
2008,Feb,45
2008,Mar,50
2008,Apr,54
2008,May,40
2008,Jun,51
2008,Jul,75
2008,Aug,43
2008,Sep,56
2008,Oct,39
2008,Nov,49
2008,Dec,36
2009,Jan,35
2009,Feb,39
2009,Mar,42
2009,Apr,38
2009,May,32
2009,Jun,45
2009,Jul,38
2009,Aug,43
2009,Sep,44
2009,Oct,47
2009,Nov,45
2009,Dec,31
2010,Jan,40
2010,Feb,41
2010,Mar,55
2010,Apr,48
2010,May,40
2010,Jun,39
2010,Jul,47
2010,Aug,39
2010,Sep,34
2010,Oct,47
2010,Nov,47
2010,Dec,41
2011,Jan,41
2011,Feb,38
2011,Mar,42
2011,Apr,54
2011,May,48
2011,Jun,48
2011,Jul,40
2011,Aug,37
2011,Sep,39
2011,Oct,37
2011,Nov,45
2011,Dec,31
2012,Jan,38
2012,Feb,37
2012,Mar,39
2012,Apr,43
2012,May,40
2012,Jun,38
2012,Jul,36
2012,Aug,27
2012,Sep,31
2012,Oct,31
2012,Nov,32
2012,Dec,23
2013,Jan,33
2013,Feb,37
2013,Mar,42
2013,Apr,42
2013,May,49
2013,Jun,33
2013,Jul,35
2013,Aug,28
2013,Sep,30
2013,Oct,40
2013,Nov,33
2013,Dec,30
2014,Jan,36
2014,Feb,40
2014,Mar,38
2014,Apr,44
2014,May,43
2014,Jun,43
2014,Jul,40
2014,Aug,35
2014,Sep,44
2014,Oct,42
2014,Nov,30
2014,Dec,35
2015,Jan,34
2015,Feb,39
2015,Mar,54
2015,Apr,63
2015,May,42
2015,Jun,36
2015,Jul,33
2015,Aug,37
2015,Sep,34
2015,Oct,40
2015,Nov,31
2015,Dec,27
2016,Jan,36
2016,Feb,34
2016,Mar,37
2016,Apr,38
2016,May,28
2016,Jun,33
2016,Jul,38
2016,Aug,26
2016,Sep,25
2016,Oct,33
2016,Nov,27
2016,Dec,31
2017,Jan,32
2017,Feb,34
2017,Mar,39
2017,Apr,42
2017,May,34
2017,Jun,33
2017,Jul,49
2017,Aug,34
2017,Sep,31
2017,Oct,32
2017,Nov,28
2017,Dec,30
2018,Jan,33
2018,Feb,29
2018,Mar,38
2018,Apr,40
2018,May,47
2018,Jun,45
2018,Jul,38
2018,Aug,32
2018,Sep,29
2018,Oct,42
2018,Nov,31
2018,Dec,27
2019,Jan,31
2019,Feb,34
2019,Mar,36
2019,Apr,39
2019,May,32
2019,Jun,35
2019,Jul,39
2019,Aug,31
2019,Sep,33
2019,Oct,37
2019,Nov,52
2019,Dec,27
2020,Jan,32
2020,Feb,36
2020,Mar,30
2020,Apr,32
2020,May,33
2020,Jun,31
2020,Jul,38
2020,Aug,28
2020,Sep,33
2020,Oct,31
2020,Nov,24
2020,Dec,17
2021,Jan,25
2021,Feb,30
2021,Mar,27
2021,Apr,38
2021,May,29
2021,Jun,35
2021,Jul,30
2021,Aug,30
2021,Sep,30
2021,Oct,40
2021,Nov,33
2021,Dec,31
2022,Jan,36
2022,Feb,36
2022,Mar,40
