CNAME:,ANSYS INC
Google Trends Search Term:,ansys
Google Trends Suggestion:,software company
Google Trends URL:,/m/06dplm
Year,Month,SVI Data
2004,Jan,73
2004,Feb,91
2004,Mar,71
2004,Apr,100
2004,May,83
2004,Jun,93
2004,Jul,92
2004,Aug,57
2004,Sep,54
2004,Oct,84
2004,Nov,91
2004,Dec,50
2005,Jan,53
2005,Feb,91
2005,Mar,70
2005,Apr,68
2005,May,77
2005,Jun,75
2005,Jul,68
2005,Aug,63
2005,Sep,61
2005,Oct,72
2005,Nov,71
2005,Dec,53
2006,Jan,61
2006,Feb,74
2006,Mar,72
2006,Apr,69
2006,May,65
2006,Jun,59
2006,Jul,42
2006,Aug,56
2006,Sep,46
2006,Oct,55
2006,Nov,57
2006,Dec,44
2007,Jan,46
2007,Feb,63
2007,Mar,52
2007,Apr,62
2007,May,61
2007,Jun,52
2007,Jul,53
2007,Aug,56
2007,Sep,55
2007,Oct,64
2007,Nov,57
2007,Dec,44
2008,Jan,47
2008,Feb,58
2008,Mar,59
2008,Apr,62
2008,May,55
2008,Jun,57
2008,Jul,55
2008,Aug,49
2008,Sep,51
2008,Oct,57
2008,Nov,57
2008,Dec,48
2009,Jan,44
2009,Feb,56
2009,Mar,63
2009,Apr,58
2009,May,55
2009,Jun,54
2009,Jul,52
2009,Aug,55
2009,Sep,50
2009,Oct,56
2009,Nov,60
2009,Dec,52
2010,Jan,49
2010,Feb,59
2010,Mar,59
2010,Apr,64
2010,May,55
2010,Jun,54
2010,Jul,46
2010,Aug,48
2010,Sep,52
2010,Oct,57
2010,Nov,52
2010,Dec,45
2011,Jan,42
2011,Feb,52
2011,Mar,47
2011,Apr,52
2011,May,51
2011,Jun,43
2011,Jul,43
2011,Aug,44
2011,Sep,41
2011,Oct,47
2011,Nov,46
2011,Dec,39
2012,Jan,42
2012,Feb,46
2012,Mar,44
2012,Apr,47
2012,May,42
2012,Jun,42
2012,Jul,42
2012,Aug,43
2012,Sep,37
2012,Oct,43
2012,Nov,45
2012,Dec,39
2013,Jan,39
2013,Feb,47
2013,Mar,42
2013,Apr,47
2013,May,44
2013,Jun,37
2013,Jul,37
2013,Aug,38
2013,Sep,40
2013,Oct,44
2013,Nov,44
2013,Dec,38
2014,Jan,39
2014,Feb,50
2014,Mar,42
2014,Apr,50
2014,May,47
2014,Jun,42
2014,Jul,44
2014,Aug,40
2014,Sep,43
2014,Oct,49
2014,Nov,47
2014,Dec,37
2015,Jan,46
2015,Feb,47
2015,Mar,54
2015,Apr,52
2015,May,45
2015,Jun,53
2015,Jul,45
2015,Aug,44
2015,Sep,47
2015,Oct,52
2015,Nov,52
2015,Dec,39
2016,Jan,35
2016,Feb,48
2016,Mar,44
2016,Apr,50
2016,May,46
2016,Jun,45
2016,Jul,41
2016,Aug,46
2016,Sep,41
2016,Oct,45
2016,Nov,43
2016,Dec,37
2017,Jan,40
2017,Feb,51
2017,Mar,47
2017,Apr,51
2017,May,41
2017,Jun,46
2017,Jul,43
2017,Aug,44
2017,Sep,48
2017,Oct,49
2017,Nov,48
2017,Dec,35
2018,Jan,43
2018,Feb,49
2018,Mar,46
2018,Apr,50
2018,May,43
2018,Jun,44
2018,Jul,42
2018,Aug,45
2018,Sep,46
2018,Oct,48
2018,Nov,47
2018,Dec,39
2019,Jan,45
2019,Feb,54
2019,Mar,53
2019,Apr,59
2019,May,48
2019,Jun,47
2019,Jul,46
2019,Aug,44
2019,Sep,50
2019,Oct,54
2019,Nov,52
2019,Dec,38
2020,Jan,47
2020,Feb,50
2020,Mar,50
2020,Apr,50
2020,May,44
2020,Jun,46
2020,Jul,46
2020,Aug,38
2020,Sep,45
2020,Oct,44
2020,Nov,37
2020,Dec,32
2021,Jan,34
2021,Feb,40
2021,Mar,41
2021,Apr,41
2021,May,36
2021,Jun,38
2021,Jul,36
2021,Aug,37
2021,Sep,40
2021,Oct,45
2021,Nov,40
2021,Dec,33
2022,Jan,38
2022,Feb,46
2022,Mar,46
