CNAME:,AMERISOURCEBERGEN CORP
Google Trends Search Term:,amerisourcebergen
Google Trends Suggestion:,wholesale company
Google Trends URL:,/m/0526bl
Year,Month,SVI Data
2004,Jan,64
2004,Feb,60
2004,Mar,64
2004,Apr,55
2004,May,78
2004,Jun,86
2004,Jul,100
2004,Aug,69
2004,Sep,53
2004,Oct,42
2004,Nov,51
2004,Dec,50
2005,Jan,62
2005,Feb,68
2005,Mar,89
2005,Apr,66
2005,May,61
2005,Jun,80
2005,Jul,58
2005,Aug,80
2005,Sep,64
2005,Oct,82
2005,Nov,60
2005,Dec,51
2006,Jan,63
2006,Feb,58
2006,Mar,54
2006,Apr,63
2006,May,80
2006,Jun,63
2006,Jul,58
2006,Aug,61
2006,Sep,64
2006,Oct,64
2006,Nov,67
2006,Dec,48
2007,Jan,57
2007,Feb,66
2007,Mar,59
2007,Apr,67
2007,May,64
2007,Jun,68
2007,Jul,58
2007,Aug,73
2007,Sep,59
2007,Oct,77
2007,Nov,52
2007,Dec,44
2008,Jan,56
2008,Feb,53
2008,Mar,56
2008,Apr,60
2008,May,61
2008,Jun,53
2008,Jul,55
2008,Aug,57
2008,Sep,57
2008,Oct,59
2008,Nov,45
2008,Dec,45
2009,Jan,57
2009,Feb,75
2009,Mar,55
2009,Apr,52
2009,May,61
2009,Jun,61
2009,Jul,56
2009,Aug,52
2009,Sep,52
2009,Oct,53
2009,Nov,41
2009,Dec,47
2010,Jan,51
2010,Feb,45
2010,Mar,55
2010,Apr,50
2010,May,52
2010,Jun,64
2010,Jul,57
2010,Aug,51
2010,Sep,62
2010,Oct,56
2010,Nov,47
2010,Dec,52
2011,Jan,56
2011,Feb,51
2011,Mar,52
2011,Apr,43
2011,May,51
2011,Jun,53
2011,Jul,52
2011,Aug,45
2011,Sep,46
2011,Oct,51
2011,Nov,46
2011,Dec,47
2012,Jan,46
2012,Feb,50
2012,Mar,56
2012,Apr,48
2012,May,56
2012,Jun,47
2012,Jul,45
2012,Aug,52
2012,Sep,41
2012,Oct,40
2012,Nov,40
2012,Dec,33
2013,Jan,39
2013,Feb,41
2013,Mar,49
2013,Apr,54
2013,May,47
2013,Jun,43
2013,Jul,52
2013,Aug,49
2013,Sep,50
2013,Oct,49
2013,Nov,39
2013,Dec,40
2014,Jan,53
2014,Feb,42
2014,Mar,49
2014,Apr,50
2014,May,49
2014,Jun,57
2014,Jul,55
2014,Aug,55
2014,Sep,58
2014,Oct,51
2014,Nov,46
2014,Dec,40
2015,Jan,54
2015,Feb,53
2015,Mar,56
2015,Apr,52
2015,May,56
2015,Jun,60
2015,Jul,63
2015,Aug,61
2015,Sep,58
2015,Oct,55
2015,Nov,48
2015,Dec,50
2016,Jan,45
2016,Feb,44
2016,Mar,44
2016,Apr,45
2016,May,40
2016,Jun,47
2016,Jul,48
2016,Aug,46
2016,Sep,43
2016,Oct,45
2016,Nov,41
2016,Dec,39
2017,Jan,53
2017,Feb,45
2017,Mar,46
2017,Apr,42
2017,May,55
2017,Jun,52
2017,Jul,54
2017,Aug,59
2017,Sep,52
2017,Oct,58
2017,Nov,64
2017,Dec,53
2018,Jan,62
2018,Feb,87
2018,Mar,56
2018,Apr,59
2018,May,58
2018,Jun,60
2018,Jul,58
2018,Aug,61
2018,Sep,53
2018,Oct,61
2018,Nov,50
2018,Dec,50
2019,Jan,66
2019,Feb,60
2019,Mar,52
2019,Apr,63
2019,May,60
2019,Jun,59
2019,Jul,64
2019,Aug,64
2019,Sep,57
2019,Oct,61
2019,Nov,57
2019,Dec,55
2020,Jan,60
2020,Feb,61
2020,Mar,59
2020,Apr,53
2020,May,55
2020,Jun,55
2020,Jul,56
2020,Aug,51
2020,Sep,54
2020,Oct,52
2020,Nov,54
2020,Dec,52
2021,Jan,60
2021,Feb,61
2021,Mar,56
2021,Apr,58
2021,May,57
2021,Jun,65
2021,Jul,54
2021,Aug,58
2021,Sep,56
2021,Oct,52
2021,Nov,58
2021,Dec,52
2022,Jan,62
2022,Feb,62
2022,Mar,63
