CNAME:,ECOLAB INC
Google Trends Search Term:,ecolab
Google Trends Suggestion:,food safety company
Google Trends URL:,/m/06nxh5
Year,Month,SVI Data
2004,Jan,30
2004,Feb,60
2004,Mar,53
2004,Apr,43
2004,May,37
2004,Jun,47
2004,Jul,47
2004,Aug,56
2004,Sep,50
2004,Oct,37
2004,Nov,50
2004,Dec,45
2005,Jan,57
2005,Feb,49
2005,Mar,53
2005,Apr,57
2005,May,55
2005,Jun,65
2005,Jul,52
2005,Aug,48
2005,Sep,45
2005,Oct,47
2005,Nov,52
2005,Dec,41
2006,Jan,51
2006,Feb,52
2006,Mar,60
2006,Apr,64
2006,May,56
2006,Jun,63
2006,Jul,62
2006,Aug,58
2006,Sep,51
2006,Oct,57
2006,Nov,53
2006,Dec,43
2007,Jan,60
2007,Feb,53
2007,Mar,63
2007,Apr,54
2007,May,57
2007,Jun,62
2007,Jul,56
2007,Aug,63
2007,Sep,58
2007,Oct,66
2007,Nov,61
2007,Dec,49
2008,Jan,66
2008,Feb,64
2008,Mar,57
2008,Apr,60
2008,May,60
2008,Jun,62
2008,Jul,53
2008,Aug,60
2008,Sep,61
2008,Oct,72
2008,Nov,65
2008,Dec,48
2009,Jan,59
2009,Feb,58
2009,Mar,54
2009,Apr,54
2009,May,49
2009,Jun,55
2009,Jul,63
2009,Aug,61
2009,Sep,57
2009,Oct,56
2009,Nov,49
2009,Dec,45
2010,Jan,58
2010,Feb,50
2010,Mar,53
2010,Apr,49
2010,May,49
2010,Jun,55
2010,Jul,50
2010,Aug,56
2010,Sep,55
2010,Oct,56
2010,Nov,47
2010,Dec,43
2011,Jan,53
2011,Feb,56
2011,Mar,51
2011,Apr,55
2011,May,49
2011,Jun,49
2011,Jul,65
2011,Aug,60
2011,Sep,59
2011,Oct,57
2011,Nov,47
2011,Dec,48
2012,Jan,57
2012,Feb,53
2012,Mar,48
2012,Apr,47
2012,May,54
2012,Jun,51
2012,Jul,51
2012,Aug,51
2012,Sep,51
2012,Oct,58
2012,Nov,47
2012,Dec,40
2013,Jan,53
2013,Feb,56
2013,Mar,50
2013,Apr,52
2013,May,51
2013,Jun,52
2013,Jul,54
2013,Aug,54
2013,Sep,52
2013,Oct,54
2013,Nov,50
2013,Dec,44
2014,Jan,52
2014,Feb,57
2014,Mar,53
2014,Apr,48
2014,May,52
2014,Jun,56
2014,Jul,60
2014,Aug,56
2014,Sep,53
2014,Oct,55
2014,Nov,48
2014,Dec,46
2015,Jan,52
2015,Feb,52
2015,Mar,52
2015,Apr,56
2015,May,63
2015,Jun,61
2015,Jul,61
2015,Aug,60
2015,Sep,66
2015,Oct,54
2015,Nov,47
2015,Dec,47
2016,Jan,53
2016,Feb,58
2016,Mar,54
2016,Apr,53
2016,May,56
2016,Jun,64
2016,Jul,50
2016,Aug,60
2016,Sep,58
2016,Oct,53
2016,Nov,52
2016,Dec,44
2017,Jan,55
2017,Feb,58
2017,Mar,59
2017,Apr,55
2017,May,57
2017,Jun,60
2017,Jul,55
2017,Aug,59
2017,Sep,59
2017,Oct,61
2017,Nov,53
2017,Dec,51
2018,Jan,56
2018,Feb,59
2018,Mar,58
2018,Apr,56
2018,May,57
2018,Jun,56
2018,Jul,57
2018,Aug,60
2018,Sep,55
2018,Oct,57
2018,Nov,52
2018,Dec,47
2019,Jan,56
2019,Feb,60
2019,Mar,55
2019,Apr,61
2019,May,55
2019,Jun,57
2019,Jul,62
2019,Aug,60
2019,Sep,57
2019,Oct,60
2019,Nov,49
2019,Dec,47
2020,Jan,58
2020,Feb,63
2020,Mar,100
2020,Apr,62
2020,May,57
2020,Jun,61
2020,Jul,55
2020,Aug,51
2020,Sep,51
2020,Oct,55
2020,Nov,47
2020,Dec,38
2021,Jan,46
2021,Feb,51
2021,Mar,50
2021,Apr,52
2021,May,48
2021,Jun,51
2021,Jul,53
2021,Aug,55
2021,Sep,51
2021,Oct,49
2021,Nov,48
2021,Dec,40
2022,Jan,53
2022,Feb,56
2022,Mar,53
