CNAME:,SPIRIT AIRLINES INC
Google Trends Search Term:,spirit airlines
Google Trends Suggestion:,passenger airline
Google Trends URL:,/m/029g4f
Year,Month,SVI Data
2004,Jan,64
2004,Feb,49
2004,Mar,47
2004,Apr,36
2004,May,35
2004,Jun,38
2004,Jul,42
2004,Aug,41
2004,Sep,37
2004,Oct,38
2004,Nov,32
2004,Dec,34
2005,Jan,43
2005,Feb,41
2005,Mar,39
2005,Apr,33
2005,May,36
2005,Jun,33
2005,Jul,33
2005,Aug,32
2005,Sep,31
2005,Oct,33
2005,Nov,47
2005,Dec,33
2006,Jan,47
2006,Feb,39
2006,Mar,37
2006,Apr,40
2006,May,31
2006,Jun,34
2006,Jul,41
2006,Aug,39
2006,Sep,40
2006,Oct,43
2006,Nov,37
2006,Dec,39
2007,Jan,51
2007,Feb,50
2007,Mar,50
2007,Apr,46
2007,May,50
2007,Jun,54
2007,Jul,50
2007,Aug,47
2007,Sep,44
2007,Oct,48
2007,Nov,39
2007,Dec,43
2008,Jan,53
2008,Feb,47
2008,Mar,49
2008,Apr,45
2008,May,50
2008,Jun,57
2008,Jul,52
2008,Aug,44
2008,Sep,41
2008,Oct,50
2008,Nov,37
2008,Dec,40
2009,Jan,49
2009,Feb,42
2009,Mar,46
2009,Apr,38
2009,May,35
2009,Jun,39
2009,Jul,44
2009,Aug,36
2009,Sep,35
2009,Oct,45
2009,Nov,34
2009,Dec,37
2010,Jan,45
2010,Feb,42
2010,Mar,47
2010,Apr,45
2010,May,48
2010,Jun,71
2010,Jul,57
2010,Aug,49
2010,Sep,53
2010,Oct,63
2010,Nov,47
2010,Dec,47
2011,Jan,63
2011,Feb,61
2011,Mar,60
2011,Apr,56
2011,May,60
2011,Jun,70
2011,Jul,69
2011,Aug,68
2011,Sep,72
2011,Oct,78
2011,Nov,62
2011,Dec,60
2012,Jan,70
2012,Feb,74
2012,Mar,73
2012,Apr,67
2012,May,71
2012,Jun,71
2012,Jul,75
2012,Aug,67
2012,Sep,68
2012,Oct,75
2012,Nov,62
2012,Dec,62
2013,Jan,72
2013,Feb,71
2013,Mar,71
2013,Apr,68
2013,May,72
2013,Jun,78
2013,Jul,78
2013,Aug,73
2013,Sep,71
2013,Oct,78
2013,Nov,65
2013,Dec,64
2014,Jan,79
2014,Feb,75
2014,Mar,73
2014,Apr,67
2014,May,74
2014,Jun,73
2014,Jul,74
2014,Aug,70
2014,Sep,71
2014,Oct,74
2014,Nov,66
2014,Dec,67
2015,Jan,77
2015,Feb,80
2015,Mar,89
2015,Apr,73
2015,May,78
2015,Jun,84
2015,Jul,83
2015,Aug,79
2015,Sep,78
2015,Oct,79
2015,Nov,69
2015,Dec,73
2016,Jan,80
2016,Feb,81
2016,Mar,83
2016,Apr,75
2016,May,83
2016,Jun,83
2016,Jul,87
2016,Aug,80
2016,Sep,72
2016,Oct,77
2016,Nov,69
2016,Dec,73
2017,Jan,84
2017,Feb,81
2017,Mar,87
2017,Apr,74
2017,May,95
2017,Jun,89
2017,Jul,91
2017,Aug,86
2017,Sep,78
2017,Oct,83
2017,Nov,75
2017,Dec,75
2018,Jan,81
2018,Feb,87
2018,Mar,92
2018,Apr,83
2018,May,89
2018,Jun,95
2018,Jul,97
2018,Aug,96
2018,Sep,85
2018,Oct,83
2018,Nov,84
2018,Dec,80
2019,Jan,88
2019,Feb,89
2019,Mar,96
2019,Apr,89
2019,May,93
2019,Jun,99
2019,Jul,100
2019,Aug,94
2019,Sep,84
2019,Oct,88
2019,Nov,81
2019,Dec,80
2020,Jan,90
2020,Feb,89
2020,Mar,82
2020,Apr,29
2020,May,33
2020,Jun,54
2020,Jul,50
2020,Aug,46
2020,Sep,51
2020,Oct,65
2020,Nov,50
2020,Dec,48
2021,Jan,49
2021,Feb,60
2021,Mar,76
2021,Apr,71
2021,May,74
2021,Jun,79
2021,Jul,84
2021,Aug,100
2021,Sep,68
2021,Oct,83
2021,Nov,72
2021,Dec,72
2022,Jan,72
2022,Feb,93
2022,Mar,94
