CNAME:,ALLIANCEBERNSTEIN HOLDING L P
Google Trends Search Term:,alliancebernstein
Google Trends Suggestion:,asset management company
Google Trends URL:,/m/06xfmc
Year,Month,SVI Data
2004,Jan,72
2004,Feb,39
2004,Mar,55
2004,Apr,42
2004,May,24
2004,Jun,41
2004,Jul,39
2004,Aug,30
2004,Sep,48
2004,Oct,31
2004,Nov,49
2004,Dec,51
2005,Jan,64
2005,Feb,57
2005,Mar,70
2005,Apr,57
2005,May,49
2005,Jun,49
2005,Jul,53
2005,Aug,35
2005,Sep,49
2005,Oct,52
2005,Nov,47
2005,Dec,61
2006,Jan,52
2006,Feb,54
2006,Mar,61
2006,Apr,85
2006,May,73
2006,Jun,78
2006,Jul,62
2006,Aug,84
2006,Sep,64
2006,Oct,81
2006,Nov,86
2006,Dec,75
2007,Jan,90
2007,Feb,84
2007,Mar,88
2007,Apr,94
2007,May,90
2007,Jun,77
2007,Jul,85
2007,Aug,91
2007,Sep,70
2007,Oct,87
2007,Nov,84
2007,Dec,67
2008,Jan,89
2008,Feb,77
2008,Mar,76
2008,Apr,100
2008,May,68
2008,Jun,63
2008,Jul,81
2008,Aug,62
2008,Sep,79
2008,Oct,94
2008,Nov,61
2008,Dec,73
2009,Jan,58
2009,Feb,61
2009,Mar,62
2009,Apr,67
2009,May,55
2009,Jun,65
2009,Jul,58
2009,Aug,62
2009,Sep,62
2009,Oct,68
2009,Nov,42
2009,Dec,49
2010,Jan,60
2010,Feb,53
2010,Mar,62
2010,Apr,61
2010,May,56
2010,Jun,51
2010,Jul,48
2010,Aug,47
2010,Sep,52
2010,Oct,55
2010,Nov,41
2010,Dec,38
2011,Jan,50
2011,Feb,55
2011,Mar,51
2011,Apr,51
2011,May,41
2011,Jun,46
2011,Jul,43
2011,Aug,48
2011,Sep,41
2011,Oct,41
2011,Nov,41
2011,Dec,42
2012,Jan,49
2012,Feb,46
2012,Mar,41
2012,Apr,39
2012,May,34
2012,Jun,34
2012,Jul,31
2012,Aug,36
2012,Sep,35
2012,Oct,32
2012,Nov,26
2012,Dec,29
2013,Jan,37
2013,Feb,37
2013,Mar,39
2013,Apr,31
2013,May,33
2013,Jun,30
2013,Jul,32
2013,Aug,29
2013,Sep,30
2013,Oct,29
2013,Nov,30
2013,Dec,32
2014,Jan,33
2014,Feb,35
2014,Mar,36
2014,Apr,31
2014,May,30
2014,Jun,33
2014,Jul,31
2014,Aug,29
2014,Sep,31
2014,Oct,31
2014,Nov,23
2014,Dec,28
2015,Jan,33
2015,Feb,33
2015,Mar,33
2015,Apr,32
2015,May,24
2015,Jun,22
2015,Jul,29
2015,Aug,29
2015,Sep,26
2015,Oct,27
2015,Nov,25
2015,Dec,24
2016,Jan,22
2016,Feb,25
2016,Mar,24
2016,Apr,22
2016,May,19
2016,Jun,20
2016,Jul,20
2016,Aug,20
2016,Sep,19
2016,Oct,19
2016,Nov,21
2016,Dec,16
2017,Jan,17
2017,Feb,20
2017,Mar,20
2017,Apr,17
2017,May,29
2017,Jun,16
2017,Jul,15
2017,Aug,17
2017,Sep,18
2017,Oct,23
2017,Nov,16
2017,Dec,14
2018,Jan,21
2018,Feb,19
2018,Mar,17
2018,Apr,20
2018,May,35
2018,Jun,20
2018,Jul,21
2018,Aug,23
2018,Sep,20
2018,Oct,26
2018,Nov,18
2018,Dec,16
2019,Jan,23
2019,Feb,25
2019,Mar,23
2019,Apr,22
2019,May,20
2019,Jun,20
2019,Jul,19
2019,Aug,21
2019,Sep,23
2019,Oct,23
2019,Nov,20
2019,Dec,17
2020,Jan,22
2020,Feb,21
2020,Mar,20
2020,Apr,17
2020,May,16
2020,Jun,19
2020,Jul,19
2020,Aug,19
2020,Sep,18
2020,Oct,18
2020,Nov,15
2020,Dec,14
2021,Jan,17
2021,Feb,24
2021,Mar,20
2021,Apr,19
2021,May,15
2021,Jun,17
2021,Jul,15
2021,Aug,17
2021,Sep,16
2021,Oct,17
2021,Nov,17
2021,Dec,12
2022,Jan,16
2022,Feb,18
2022,Mar,20
