CNAME:,GLOBAL CROSSING LTD
Google Trends Search Term:,global crossing
Google Trends Suggestion:,telecommunications company
Google Trends URL:,/m/0gw1h
Year,Month,SVI Data
2004,Jan,94
2004,Feb,75
2004,Mar,98
2004,Apr,99
2004,May,90
2004,Jun,73
2004,Jul,77
2004,Aug,100
2004,Sep,63
2004,Oct,90
2004,Nov,47
2004,Dec,59
2005,Jan,60
2005,Feb,45
2005,Mar,50
2005,Apr,46
2005,May,63
2005,Jun,60
2005,Jul,63
2005,Aug,68
2005,Sep,52
2005,Oct,47
2005,Nov,41
2005,Dec,48
2006,Jan,42
2006,Feb,61
2006,Mar,60
2006,Apr,46
2006,May,51
2006,Jun,51
2006,Jul,49
2006,Aug,54
2006,Sep,60
2006,Oct,42
2006,Nov,38
2006,Dec,37
2007,Jan,50
2007,Feb,37
2007,Mar,45
2007,Apr,45
2007,May,47
2007,Jun,37
2007,Jul,39
2007,Aug,37
2007,Sep,36
2007,Oct,40
2007,Nov,36
2007,Dec,28
2008,Jan,38
2008,Feb,43
2008,Mar,42
2008,Apr,46
2008,May,38
2008,Jun,36
2008,Jul,42
2008,Aug,38
2008,Sep,36
2008,Oct,36
2008,Nov,41
2008,Dec,36
2009,Jan,39
2009,Feb,37
2009,Mar,35
2009,Apr,38
2009,May,29
2009,Jun,33
2009,Jul,34
2009,Aug,29
2009,Sep,28
2009,Oct,33
2009,Nov,35
2009,Dec,27
2010,Jan,22
2010,Feb,26
2010,Mar,29
2010,Apr,33
2010,May,25
2010,Jun,29
2010,Jul,28
2010,Aug,21
2010,Sep,24
2010,Oct,25
2010,Nov,24
2010,Dec,23
2011,Jan,19
2011,Feb,22
2011,Mar,27
2011,Apr,50
2011,May,30
2011,Jun,25
2011,Jul,23
2011,Aug,22
2011,Sep,25
2011,Oct,26
2011,Nov,17
2011,Dec,15
2012,Jan,14
2012,Feb,16
2012,Mar,12
2012,Apr,13
2012,May,13
2012,Jun,13
2012,Jul,8
2012,Aug,11
2012,Sep,12
2012,Oct,13
2012,Nov,8
2012,Dec,7
2013,Jan,11
2013,Feb,12
2013,Mar,8
2013,Apr,8
2013,May,11
2013,Jun,8
2013,Jul,9
2013,Aug,5
2013,Sep,9
2013,Oct,6
2013,Nov,6
2013,Dec,6
2014,Jan,7
2014,Feb,6
2014,Mar,8
2014,Apr,7
2014,May,7
2014,Jun,9
2014,Jul,7
2014,Aug,7
2014,Sep,7
2014,Oct,8
2014,Nov,7
2014,Dec,5
2015,Jan,5
2015,Feb,4
2015,Mar,4
2015,Apr,6
2015,May,4
2015,Jun,6
2015,Jul,7
2015,Aug,6
2015,Sep,6
2015,Oct,6
2015,Nov,5
2015,Dec,6
2016,Jan,6
2016,Feb,5
2016,Mar,4
2016,Apr,5
2016,May,6
2016,Jun,5
2016,Jul,5
2016,Aug,4
2016,Sep,6
2016,Oct,4
2016,Nov,3
2016,Dec,3
2017,Jan,6
2017,Feb,5
2017,Mar,5
2017,Apr,4
2017,May,4
2017,Jun,6
2017,Jul,3
2017,Aug,5
2017,Sep,4
2017,Oct,3
2017,Nov,4
2017,Dec,4
2018,Jan,5
2018,Feb,4
2018,Mar,4
2018,Apr,4
2018,May,3
2018,Jun,3
2018,Jul,4
2018,Aug,4
2018,Sep,3
2018,Oct,3
2018,Nov,3
2018,Dec,3
2019,Jan,4
2019,Feb,4
2019,Mar,2
2019,Apr,4
2019,May,4
2019,Jun,4
2019,Jul,3
2019,Aug,4
2019,Sep,3
2019,Oct,3
2019,Nov,2
2019,Dec,2
2020,Jan,2
2020,Feb,3
2020,Mar,2
2020,Apr,2
2020,May,2
2020,Jun,2
2020,Jul,2
2020,Aug,2
2020,Sep,2
2020,Oct,3
2020,Nov,2
2020,Dec,1
2021,Jan,1
2021,Feb,1
2021,Mar,1
2021,Apr,2
2021,May,2
2021,Jun,2
2021,Jul,1
2021,Aug,1
2021,Sep,2
2021,Oct,1
2021,Nov,1
2021,Dec,1
2022,Jan,1
2022,Feb,1
2022,Mar,1
