CNAME:,FIRST DATA CORP
Google Trends Search Term:,first data
Google Trends Suggestion:,credit card service company
Google Trends URL:,/m/0b720y
Year,Month,SVI Data
2004,Jan,74
2004,Feb,63
2004,Mar,48
2004,Apr,63
2004,May,72
2004,Jun,58
2004,Jul,74
2004,Aug,70
2004,Sep,71
2004,Oct,50
2004,Nov,41
2004,Dec,45
2005,Jan,57
2005,Feb,68
2005,Mar,65
2005,Apr,54
2005,May,48
2005,Jun,56
2005,Jul,53
2005,Aug,65
2005,Sep,62
2005,Oct,64
2005,Nov,45
2005,Dec,49
2006,Jan,55
2006,Feb,57
2006,Mar,50
2006,Apr,51
2006,May,57
2006,Jun,51
2006,Jul,54
2006,Aug,52
2006,Sep,50
2006,Oct,61
2006,Nov,42
2006,Dec,38
2007,Jan,45
2007,Feb,44
2007,Mar,50
2007,Apr,88
2007,May,47
2007,Jun,59
2007,Jul,53
2007,Aug,54
2007,Sep,64
2007,Oct,50
2007,Nov,51
2007,Dec,38
2008,Jan,43
2008,Feb,46
2008,Mar,47
2008,Apr,53
2008,May,47
2008,Jun,47
2008,Jul,48
2008,Aug,43
2008,Sep,49
2008,Oct,47
2008,Nov,45
2008,Dec,41
2009,Jan,52
2009,Feb,53
2009,Mar,45
2009,Apr,49
2009,May,42
2009,Jun,57
2009,Jul,51
2009,Aug,55
2009,Sep,48
2009,Oct,56
2009,Nov,49
2009,Dec,44
2010,Jan,48
2010,Feb,48
2010,Mar,55
2010,Apr,49
2010,May,52
2010,Jun,55
2010,Jul,50
2010,Aug,48
2010,Sep,52
2010,Oct,52
2010,Nov,44
2010,Dec,41
2011,Jan,47
2011,Feb,55
2011,Mar,50
2011,Apr,44
2011,May,41
2011,Jun,43
2011,Jul,46
2011,Aug,46
2011,Sep,42
2011,Oct,38
2011,Nov,40
2011,Dec,34
2012,Jan,42
2012,Feb,44
2012,Mar,39
2012,Apr,43
2012,May,47
2012,Jun,41
2012,Jul,47
2012,Aug,45
2012,Sep,44
2012,Oct,43
2012,Nov,42
2012,Dec,33
2013,Jan,44
2013,Feb,42
2013,Mar,42
2013,Apr,49
2013,May,43
2013,Jun,43
2013,Jul,44
2013,Aug,48
2013,Sep,42
2013,Oct,46
2013,Nov,40
2013,Dec,42
2014,Jan,49
2014,Feb,50
2014,Mar,45
2014,Apr,50
2014,May,51
2014,Jun,52
2014,Jul,57
2014,Aug,52
2014,Sep,54
2014,Oct,52
2014,Nov,46
2014,Dec,48
2015,Jan,55
2015,Feb,53
2015,Mar,56
2015,Apr,56
2015,May,54
2015,Jun,57
2015,Jul,60
2015,Aug,55
2015,Sep,55
2015,Oct,100
2015,Nov,49
2015,Dec,46
2016,Jan,44
2016,Feb,49
2016,Mar,49
2016,Apr,46
2016,May,46
2016,Jun,46
2016,Jul,40
2016,Aug,46
2016,Sep,45
2016,Oct,40
2016,Nov,40
2016,Dec,38
2017,Jan,37
2017,Feb,41
2017,Mar,38
2017,Apr,37
2017,May,42
2017,Jun,42
2017,Jul,37
2017,Aug,43
2017,Sep,33
2017,Oct,42
2017,Nov,35
2017,Dec,31
2018,Jan,34
2018,Feb,41
2018,Mar,38
2018,Apr,40
2018,May,39
2018,Jun,39
2018,Jul,37
2018,Aug,37
2018,Sep,33
2018,Oct,37
2018,Nov,31
2018,Dec,27
2019,Jan,65
2019,Feb,38
2019,Mar,35
2019,Apr,36
2019,May,32
2019,Jun,33
2019,Jul,39
2019,Aug,33
2019,Sep,28
2019,Oct,28
2019,Nov,23
2019,Dec,22
2020,Jan,25
2020,Feb,24
2020,Mar,22
2020,Apr,18
2020,May,19
2020,Jun,21
2020,Jul,20
2020,Aug,20
2020,Sep,18
2020,Oct,17
2020,Nov,14
2020,Dec,14
2021,Jan,16
2021,Feb,19
2021,Mar,17
2021,Apr,13
2021,May,15
2021,Jun,15
2021,Jul,13
2021,Aug,11
2021,Sep,12
2021,Oct,12
2021,Nov,11
2021,Dec,9
2022,Jan,10
2022,Feb,11
2022,Mar,12
