CNAME:,THE KROGER CO
Google Trends Search Term:,kroger
Google Trends Suggestion:,retail company
Google Trends URL:,/m/0204w9
Year,Month,SVI Data
2004,Jan,7
2004,Feb,8
2004,Mar,7
2004,Apr,7
2004,May,7
2004,Jun,7
2004,Jul,8
2004,Aug,8
2004,Sep,8
2004,Oct,9
2004,Nov,9
2004,Dec,7
2005,Jan,7
2005,Feb,8
2005,Mar,7
2005,Apr,8
2005,May,9
2005,Jun,9
2005,Jul,9
2005,Aug,9
2005,Sep,10
2005,Oct,10
2005,Nov,11
2005,Dec,9
2006,Jan,10
2006,Feb,10
2006,Mar,9
2006,Apr,10
2006,May,11
2006,Jun,12
2006,Jul,13
2006,Aug,12
2006,Sep,11
2006,Oct,12
2006,Nov,13
2006,Dec,12
2007,Jan,11
2007,Feb,12
2007,Mar,11
2007,Apr,12
2007,May,13
2007,Jun,14
2007,Jul,14
2007,Aug,13
2007,Sep,13
2007,Oct,13
2007,Nov,15
2007,Dec,15
2008,Jan,13
2008,Feb,14
2008,Mar,14
2008,Apr,14
2008,May,16
2008,Jun,17
2008,Jul,18
2008,Aug,16
2008,Sep,15
2008,Oct,17
2008,Nov,19
2008,Dec,18
2009,Jan,16
2009,Feb,16
2009,Mar,16
2009,Apr,16
2009,May,17
2009,Jun,18
2009,Jul,19
2009,Aug,19
2009,Sep,19
2009,Oct,20
2009,Nov,22
2009,Dec,21
2010,Jan,21
2010,Feb,18
2010,Mar,19
2010,Apr,19
2010,May,21
2010,Jun,20
2010,Jul,23
2010,Aug,23
2010,Sep,22
2010,Oct,23
2010,Nov,26
2010,Dec,27
2011,Jan,29
2011,Feb,27
2011,Mar,29
2011,Apr,34
2011,May,39
2011,Jun,38
2011,Jul,36
2011,Aug,36
2011,Sep,35
2011,Oct,34
2011,Nov,38
2011,Dec,36
2012,Jan,34
2012,Feb,30
2012,Mar,28
2012,Apr,31
2012,May,34
2012,Jun,34
2012,Jul,34
2012,Aug,33
2012,Sep,33
2012,Oct,32
2012,Nov,36
2012,Dec,38
2013,Jan,35
2013,Feb,33
2013,Mar,32
2013,Apr,32
2013,May,36
2013,Jun,38
2013,Jul,41
2013,Aug,41
2013,Sep,39
2013,Oct,36
2013,Nov,42
2013,Dec,43
2014,Jan,40
2014,Feb,40
2014,Mar,37
2014,Apr,40
2014,May,44
2014,Jun,41
2014,Jul,45
2014,Aug,44
2014,Sep,42
2014,Oct,41
2014,Nov,48
2014,Dec,49
2015,Jan,43
2015,Feb,40
2015,Mar,41
2015,Apr,43
2015,May,47
2015,Jun,46
2015,Jul,51
2015,Aug,47
2015,Sep,45
2015,Oct,41
2015,Nov,48
2015,Dec,53
2016,Jan,48
2016,Feb,43
2016,Mar,44
2016,Apr,46
2016,May,52
2016,Jun,52
2016,Jul,53
2016,Aug,53
2016,Sep,51
2016,Oct,49
2016,Nov,56
2016,Dec,65
2017,Jan,52
2017,Feb,50
2017,Mar,51
2017,Apr,53
2017,May,58
2017,Jun,63
2017,Jul,62
2017,Aug,64
2017,Sep,56
2017,Oct,53
2017,Nov,65
2017,Dec,71
2018,Jan,61
2018,Feb,55
2018,Mar,56
2018,Apr,57
2018,May,63
2018,Jun,63
2018,Jul,65
2018,Aug,64
2018,Sep,61
2018,Oct,61
2018,Nov,67
2018,Dec,78
2019,Jan,62
2019,Feb,59
2019,Mar,61
2019,Apr,63
2019,May,65
2019,Jun,67
2019,Jul,67
2019,Aug,66
2019,Sep,63
2019,Oct,60
2019,Nov,72
2019,Dec,78
2020,Jan,64
2020,Feb,63
2020,Mar,99
2020,Apr,100
2020,May,79
2020,Jun,75
2020,Jul,77
2020,Aug,70
2020,Sep,63
2020,Oct,66
2020,Nov,76
2020,Dec,85
2021,Jan,75
2021,Feb,81
2021,Mar,75
2021,Apr,68
2021,May,69
2021,Jun,69
2021,Jul,71
2021,Aug,72
2021,Sep,73
2021,Oct,65
2021,Nov,82
2021,Dec,91
2022,Jan,74
2022,Feb,64
2022,Mar,65
