CNAME:,SKILLZ INC
Google Trends Search Term:,skillz
Google Trends Suggestion:,company
Google Trends URL:,/m/010rz81l
Year,Month,SVI Data
2004,Jan,19
2004,Feb,22
2004,Mar,14
2004,Apr,16
2004,May,20
2004,Jun,25
2004,Jul,30
2004,Aug,17
2004,Sep,19
2004,Oct,18
2004,Nov,9
2004,Dec,18
2005,Jan,20
2005,Feb,27
2005,Mar,12
2005,Apr,15
2005,May,20
2005,Jun,12
2005,Jul,19
2005,Aug,21
2005,Sep,15
2005,Oct,11
2005,Nov,18
2005,Dec,20
2006,Jan,27
2006,Feb,16
2006,Mar,14
2006,Apr,20
2006,May,15
2006,Jun,16
2006,Jul,20
2006,Aug,13
2006,Sep,15
2006,Oct,18
2006,Nov,11
2006,Dec,30
2007,Jan,29
2007,Feb,20
2007,Mar,17
2007,Apr,11
2007,May,16
2007,Jun,20
2007,Jul,20
2007,Aug,25
2007,Sep,24
2007,Oct,17
2007,Nov,19
2007,Dec,36
2008,Jan,48
2008,Feb,22
2008,Mar,21
2008,Apr,23
2008,May,27
2008,Jun,23
2008,Jul,35
2008,Aug,27
2008,Sep,25
2008,Oct,17
2008,Nov,14
2008,Dec,34
2009,Jan,51
2009,Feb,18
2009,Mar,19
2009,Apr,18
2009,May,16
2009,Jun,19
2009,Jul,17
2009,Aug,15
2009,Sep,16
2009,Oct,12
2009,Nov,13
2009,Dec,23
2010,Jan,38
2010,Feb,13
2010,Mar,10
2010,Apr,15
2010,May,12
2010,Jun,10
2010,Jul,11
2010,Aug,12
2010,Sep,10
2010,Oct,12
2010,Nov,9
2010,Dec,18
2011,Jan,32
2011,Feb,12
2011,Mar,11
2011,Apr,9
2011,May,10
2011,Jun,9
2011,Jul,10
2011,Aug,9
2011,Sep,8
2011,Oct,11
2011,Nov,10
2011,Dec,16
2012,Jan,18
2012,Feb,10
2012,Mar,10
2012,Apr,10
2012,May,13
2012,Jun,10
2012,Jul,10
2012,Aug,9
2012,Sep,8
2012,Oct,7
2012,Nov,6
2012,Dec,10
2013,Jan,11
2013,Feb,6
2013,Mar,8
2013,Apr,10
2013,May,13
2013,Jun,10
2013,Jul,11
2013,Aug,10
2013,Sep,7
2013,Oct,7
2013,Nov,8
2013,Dec,10
2014,Jan,15
2014,Feb,8
2014,Mar,8
2014,Apr,9
2014,May,8
2014,Jun,9
2014,Jul,10
2014,Aug,8
2014,Sep,8
2014,Oct,11
2014,Nov,10
2014,Dec,13
2015,Jan,16
2015,Feb,12
2015,Mar,10
2015,Apr,12
2015,May,17
2015,Jun,13
2015,Jul,12
2015,Aug,12
2015,Sep,10
2015,Oct,11
2015,Nov,11
2015,Dec,12
2016,Jan,17
2016,Feb,13
2016,Mar,13
2016,Apr,13
2016,May,15
2016,Jun,14
2016,Jul,13
2016,Aug,14
2016,Sep,12
2016,Oct,12
2016,Nov,13
2016,Dec,14
2017,Jan,15
2017,Feb,15
2017,Mar,14
2017,Apr,13
2017,May,16
2017,Jun,17
2017,Jul,13
2017,Aug,15
2017,Sep,13
2017,Oct,12
2017,Nov,13
2017,Dec,14
2018,Jan,18
2018,Feb,18
2018,Mar,16
2018,Apr,15
2018,May,15
2018,Jun,19
2018,Jul,18
2018,Aug,19
2018,Sep,19
2018,Oct,18
2018,Nov,19
2018,Dec,19
2019,Jan,22
2019,Feb,23
2019,Mar,20
2019,Apr,23
2019,May,23
2019,Jun,22
2019,Jul,25
2019,Aug,23
2019,Sep,20
2019,Oct,19
2019,Nov,19
2019,Dec,17
2020,Jan,23
2020,Feb,27
2020,Mar,24
2020,Apr,23
2020,May,21
2020,Jun,24
2020,Jul,36
2020,Aug,38
2020,Sep,45
2020,Oct,35
2020,Nov,34
2020,Dec,51
2021,Jan,67
2021,Feb,70
2021,Mar,82
2021,Apr,100
2021,May,71
2021,Jun,63
2021,Jul,50
2021,Aug,67
2021,Sep,53
2021,Oct,67
2021,Nov,60
2021,Dec,45
2022,Jan,45
2022,Feb,51
2022,Mar,37
