CNAME:,WARNER MUSIC GROUP CORP
Google Trends Search Term:,warner music group
Google Trends Suggestion:,entertainment company
Google Trends URL:,/m/02bh8z
Year,Month,SVI Data
2004,Jan,66
2004,Feb,38
2004,Mar,88
2004,Apr,58
2004,May,47
2004,Jun,69
2004,Jul,51
2004,Aug,60
2004,Sep,38
2004,Oct,51
2004,Nov,50
2004,Dec,63
2005,Jan,44
2005,Feb,43
2005,Mar,68
2005,Apr,66
2005,May,93
2005,Jun,55
2005,Jul,47
2005,Aug,41
2005,Sep,60
2005,Oct,57
2005,Nov,44
2005,Dec,39
2006,Jan,65
2006,Feb,43
2006,Mar,52
2006,Apr,51
2006,May,52
2006,Jun,46
2006,Jul,35
2006,Aug,37
2006,Sep,38
2006,Oct,38
2006,Nov,37
2006,Dec,33
2007,Jan,48
2007,Feb,38
2007,Mar,40
2007,Apr,45
2007,May,45
2007,Jun,44
2007,Jul,44
2007,Aug,44
2007,Sep,40
2007,Oct,35
2007,Nov,37
2007,Dec,32
2008,Jan,41
2008,Feb,45
2008,Mar,37
2008,Apr,43
2008,May,41
2008,Jun,26
2008,Jul,46
2008,Aug,37
2008,Sep,26
2008,Oct,38
2008,Nov,31
2008,Dec,37
2009,Jan,52
2009,Feb,60
2009,Mar,51
2009,Apr,42
2009,May,53
2009,Jun,50
2009,Jul,41
2009,Aug,52
2009,Sep,47
2009,Oct,46
2009,Nov,36
2009,Dec,36
2010,Jan,39
2010,Feb,46
2010,Mar,37
2010,Apr,38
2010,May,34
2010,Jun,39
2010,Jul,35
2010,Aug,36
2010,Sep,27
2010,Oct,31
2010,Nov,31
2010,Dec,24
2011,Jan,40
2011,Feb,37
2011,Mar,35
2011,Apr,49
2011,May,54
2011,Jun,31
2011,Jul,32
2011,Aug,29
2011,Sep,27
2011,Oct,32
2011,Nov,29
2011,Dec,27
2012,Jan,31
2012,Feb,30
2012,Mar,31
2012,Apr,32
2012,May,26
2012,Jun,28
2012,Jul,28
2012,Aug,24
2012,Sep,23
2012,Oct,23
2012,Nov,19
2012,Dec,20
2013,Jan,24
2013,Feb,30
2013,Mar,26
2013,Apr,31
2013,May,30
2013,Jun,28
2013,Jul,25
2013,Aug,22
2013,Sep,25
2013,Oct,22
2013,Nov,23
2013,Dec,19
2014,Jan,25
2014,Feb,25
2014,Mar,23
2014,Apr,26
2014,May,24
2014,Jun,24
2014,Jul,24
2014,Aug,24
2014,Sep,30
2014,Oct,25
2014,Nov,24
2014,Dec,20
2015,Jan,23
2015,Feb,25
2015,Mar,25
2015,Apr,23
2015,May,22
2015,Jun,20
2015,Jul,24
2015,Aug,23
2015,Sep,21
2015,Oct,18
2015,Nov,21
2015,Dec,16
2016,Jan,18
2016,Feb,21
2016,Mar,16
2016,Apr,15
2016,May,18
2016,Jun,17
2016,Jul,18
2016,Aug,17
2016,Sep,16
2016,Oct,21
2016,Nov,20
2016,Dec,17
2017,Jan,17
2017,Feb,18
2017,Mar,21
2017,Apr,24
2017,May,20
2017,Jun,19
2017,Jul,18
2017,Aug,17
2017,Sep,16
2017,Oct,21
2017,Nov,15
2017,Dec,17
2018,Jan,21
2018,Feb,18
2018,Mar,21
2018,Apr,21
2018,May,16
2018,Jun,18
2018,Jul,18
2018,Aug,20
2018,Sep,16
2018,Oct,18
2018,Nov,18
2018,Dec,16
2019,Jan,19
2019,Feb,17
2019,Mar,21
2019,Apr,23
2019,May,20
2019,Jun,22
2019,Jul,23
2019,Aug,19
2019,Sep,21
2019,Oct,19
2019,Nov,18
2019,Dec,16
2020,Jan,17
2020,Feb,29
2020,Mar,16
2020,Apr,18
2020,May,24
2020,Jun,100
2020,Jul,26
2020,Aug,23
2020,Sep,29
2020,Oct,20
2020,Nov,15
2020,Dec,17
2021,Jan,16
2021,Feb,20
2021,Mar,17
2021,Apr,16
2021,May,17
2021,Jun,16
2021,Jul,13
2021,Aug,19
2021,Sep,18
2021,Oct,15
2021,Nov,15
2021,Dec,14
2022,Jan,18
2022,Feb,17
2022,Mar,19
