CNAME:,BEBE STORES INC
Google Trends Search Term:,bebe stores
Google Trends Suggestion:,retail company
Google Trends URL:,/m/0b2fjv
Year,Month,SVI Data
2004,Jan,38
2004,Feb,46
2004,Mar,40
2004,Apr,45
2004,May,48
2004,Jun,42
2004,Jul,41
2004,Aug,46
2004,Sep,45
2004,Oct,44
2004,Nov,57
2004,Dec,66
2005,Jan,51
2005,Feb,55
2005,Mar,58
2005,Apr,59
2005,May,65
2005,Jun,55
2005,Jul,55
2005,Aug,58
2005,Sep,58
2005,Oct,56
2005,Nov,65
2005,Dec,71
2006,Jan,58
2006,Feb,58
2006,Mar,64
2006,Apr,58
2006,May,56
2006,Jun,58
2006,Jul,57
2006,Aug,64
2006,Sep,65
2006,Oct,63
2006,Nov,74
2006,Dec,90
2007,Jan,60
2007,Feb,58
2007,Mar,69
2007,Apr,66
2007,May,67
2007,Jun,60
2007,Jul,60
2007,Aug,68
2007,Sep,70
2007,Oct,66
2007,Nov,81
2007,Dec,93
2008,Jan,65
2008,Feb,70
2008,Mar,74
2008,Apr,77
2008,May,74
2008,Jun,68
2008,Jul,68
2008,Aug,69
2008,Sep,66
2008,Oct,71
2008,Nov,82
2008,Dec,96
2009,Jan,71
2009,Feb,74
2009,Mar,73
2009,Apr,72
2009,May,71
2009,Jun,58
2009,Jul,60
2009,Aug,57
2009,Sep,58
2009,Oct,57
2009,Nov,69
2009,Dec,74
2010,Jan,56
2010,Feb,66
2010,Mar,62
2010,Apr,64
2010,May,65
2010,Jun,67
2010,Jul,66
2010,Aug,68
2010,Sep,70
2010,Oct,66
2010,Nov,74
2010,Dec,77
2011,Jan,61
2011,Feb,69
2011,Mar,69
2011,Apr,71
2011,May,71
2011,Jun,65
2011,Jul,63
2011,Aug,65
2011,Sep,70
2011,Oct,69
2011,Nov,88
2011,Dec,100
2012,Jan,71
2012,Feb,80
2012,Mar,81
2012,Apr,77
2012,May,79
2012,Jun,62
2012,Jul,58
2012,Aug,52
2012,Sep,56
2012,Oct,56
2012,Nov,73
2012,Dec,72
2013,Jan,52
2013,Feb,54
2013,Mar,54
2013,Apr,58
2013,May,57
2013,Jun,51
2013,Jul,46
2013,Aug,46
2013,Sep,47
2013,Oct,45
2013,Nov,55
2013,Dec,63
2014,Jan,42
2014,Feb,43
2014,Mar,51
2014,Apr,50
2014,May,50
2014,Jun,44
2014,Jul,41
2014,Aug,40
2014,Sep,41
2014,Oct,37
2014,Nov,44
2014,Dec,47
2015,Jan,36
2015,Feb,37
2015,Mar,37
2015,Apr,38
2015,May,36
2015,Jun,33
2015,Jul,32
2015,Aug,34
2015,Sep,36
2015,Oct,35
2015,Nov,42
2015,Dec,43
2016,Jan,33
2016,Feb,33
2016,Mar,33
2016,Apr,35
2016,May,37
2016,Jun,33
2016,Jul,31
2016,Aug,30
2016,Sep,33
2016,Oct,32
2016,Nov,36
2016,Dec,35
2017,Jan,26
2017,Feb,26
2017,Mar,29
2017,Apr,40
2017,May,31
2017,Jun,23
2017,Jul,20
2017,Aug,19
2017,Sep,19
2017,Oct,20
2017,Nov,23
2017,Dec,23
2018,Jan,18
2018,Feb,17
2018,Mar,18
2018,Apr,17
2018,May,17
2018,Jun,16
2018,Jul,15
2018,Aug,16
2018,Sep,18
2018,Oct,15
2018,Nov,18
2018,Dec,18
2019,Jan,14
2019,Feb,14
2019,Mar,14
2019,Apr,13
2019,May,12
2019,Jun,12
2019,Jul,10
2019,Aug,10
2019,Sep,10
2019,Oct,10
2019,Nov,11
2019,Dec,11
2020,Jan,9
2020,Feb,9
2020,Mar,6
2020,Apr,6
2020,May,6
2020,Jun,7
2020,Jul,7
2020,Aug,6
2020,Sep,6
2020,Oct,7
2020,Nov,7
2020,Dec,8
2021,Jan,6
2021,Feb,6
2021,Mar,7
2021,Apr,8
2021,May,8
2021,Jun,8
2021,Jul,9
2021,Aug,7
2021,Sep,8
2021,Oct,7
2021,Nov,8
2021,Dec,8
2022,Jan,8
2022,Feb,7
2022,Mar,6
