CNAME:,BIOGEN INC
Google Trends Search Term:,biogen
Google Trends Suggestion:,biotechnology company
Google Trends URL:,/m/021jg2
Year,Month,SVI Data
2004,Jan,23
2004,Feb,33
2004,Mar,27
2004,Apr,29
2004,May,31
2004,Jun,33
2004,Jul,31
2004,Aug,34
2004,Sep,31
2004,Oct,33
2004,Nov,42
2004,Dec,23
2005,Jan,41
2005,Feb,40
2005,Mar,60
2005,Apr,29
2005,May,25
2005,Jun,34
2005,Jul,28
2005,Aug,23
2005,Sep,29
2005,Oct,22
2005,Nov,21
2005,Dec,15
2006,Jan,21
2006,Feb,24
2006,Mar,23
2006,Apr,19
2006,May,20
2006,Jun,24
2006,Jul,20
2006,Aug,18
2006,Sep,23
2006,Oct,20
2006,Nov,17
2006,Dec,15
2007,Jan,21
2007,Feb,20
2007,Mar,23
2007,Apr,25
2007,May,20
2007,Jun,21
2007,Jul,25
2007,Aug,21
2007,Sep,18
2007,Oct,32
2007,Nov,20
2007,Dec,15
2008,Jan,18
2008,Feb,21
2008,Mar,17
2008,Apr,18
2008,May,15
2008,Jun,16
2008,Jul,17
2008,Aug,18
2008,Sep,18
2008,Oct,20
2008,Nov,16
2008,Dec,14
2009,Jan,16
2009,Feb,18
2009,Mar,18
2009,Apr,17
2009,May,14
2009,Jun,18
2009,Jul,14
2009,Aug,13
2009,Sep,18
2009,Oct,17
2009,Nov,12
2009,Dec,10
2010,Jan,15
2010,Feb,13
2010,Mar,17
2010,Apr,15
2010,May,12
2010,Jun,13
2010,Jul,14
2010,Aug,13
2010,Sep,13
2010,Oct,15
2010,Nov,17
2010,Dec,13
2011,Jan,15
2011,Feb,16
2011,Mar,17
2011,Apr,19
2011,May,15
2011,Jun,16
2011,Jul,15
2011,Aug,13
2011,Sep,14
2011,Oct,15
2011,Nov,12
2011,Dec,12
2012,Jan,15
2012,Feb,15
2012,Mar,15
2012,Apr,13
2012,May,12
2012,Jun,12
2012,Jul,14
2012,Aug,13
2012,Sep,12
2012,Oct,13
2012,Nov,12
2012,Dec,10
2013,Jan,16
2013,Feb,16
2013,Mar,19
2013,Apr,17
2013,May,16
2013,Jun,15
2013,Jul,17
2013,Aug,13
2013,Sep,14
2013,Oct,14
2013,Nov,15
2013,Dec,13
2014,Jan,17
2014,Feb,16
2014,Mar,17
2014,Apr,18
2014,May,13
2014,Jun,14
2014,Jul,17
2014,Aug,14
2014,Sep,14
2014,Oct,15
2014,Nov,14
2014,Dec,16
2015,Jan,17
2015,Feb,16
2015,Mar,30
2015,Apr,23
2015,May,18
2015,Jun,18
2015,Jul,25
2015,Aug,19
2015,Sep,19
2015,Oct,27
2015,Nov,16
2015,Dec,14
2016,Jan,15
2016,Feb,16
2016,Mar,16
2016,Apr,17
2016,May,17
2016,Jun,17
2016,Jul,16
2016,Aug,20
2016,Sep,18
2016,Oct,14
2016,Nov,15
2016,Dec,16
2017,Jan,17
2017,Feb,17
2017,Mar,15
2017,Apr,13
2017,May,13
2017,Jun,13
2017,Jul,12
2017,Aug,12
2017,Sep,13
2017,Oct,14
2017,Nov,12
2017,Dec,9
2018,Jan,15
2018,Feb,14
2018,Mar,13
2018,Apr,13
2018,May,12
2018,Jun,12
2018,Jul,28
2018,Aug,12
2018,Sep,11
2018,Oct,12
2018,Nov,10
2018,Dec,8
2019,Jan,12
2019,Feb,13
2019,Mar,31
2019,Apr,16
2019,May,12
2019,Jun,11
2019,Jul,12
2019,Aug,11
2019,Sep,11
2019,Oct,36
2019,Nov,14
2019,Dec,15
2020,Jan,15
2020,Feb,21
2020,Mar,100
2020,Apr,23
2020,May,15
2020,Jun,15
2020,Jul,16
2020,Aug,18
2020,Sep,13
2020,Oct,12
2020,Nov,29
2020,Dec,13
2021,Jan,14
2021,Feb,14
2021,Mar,12
2021,Apr,12
2021,May,13
2021,Jun,77
2021,Jul,19
2021,Aug,12
2021,Sep,13
2021,Oct,13
2021,Nov,13
2021,Dec,20
2022,Jan,16
2022,Feb,12
2022,Mar,13
