CNAME:,BED BATH & BEYOND INC
Google Trends Search Term:,bed bath & beyond
Google Trends Suggestion:,retail-store company
Google Trends URL:,/m/02kpnw
Year,Month,SVI Data
2004,Jan,35
2004,Feb,31
2004,Mar,37
2004,Apr,37
2004,May,42
2004,Jun,45
2004,Jul,52
2004,Aug,49
2004,Sep,39
2004,Oct,36
2004,Nov,47
2004,Dec,67
2005,Jan,37
2005,Feb,34
2005,Mar,39
2005,Apr,39
2005,May,47
2005,Jun,48
2005,Jul,65
2005,Aug,63
2005,Sep,42
2005,Oct,45
2005,Nov,61
2005,Dec,83
2006,Jan,50
2006,Feb,44
2006,Mar,54
2006,Apr,56
2006,May,59
2006,Jun,65
2006,Jul,79
2006,Aug,72
2006,Sep,59
2006,Oct,57
2006,Nov,75
2006,Dec,95
2007,Jan,59
2007,Feb,53
2007,Mar,59
2007,Apr,61
2007,May,66
2007,Jun,73
2007,Jul,80
2007,Aug,77
2007,Sep,63
2007,Oct,54
2007,Nov,79
2007,Dec,100
2008,Jan,58
2008,Feb,53
2008,Mar,61
2008,Apr,60
2008,May,70
2008,Jun,68
2008,Jul,75
2008,Aug,70
2008,Sep,51
2008,Oct,50
2008,Nov,66
2008,Dec,82
2009,Jan,53
2009,Feb,47
2009,Mar,52
2009,Apr,52
2009,May,53
2009,Jun,54
2009,Jul,67
2009,Aug,62
2009,Sep,53
2009,Oct,49
2009,Nov,65
2009,Dec,86
2010,Jan,54
2010,Feb,49
2010,Mar,50
2010,Apr,54
2010,May,56
2010,Jun,50
2010,Jul,55
2010,Aug,53
2010,Sep,43
2010,Oct,41
2010,Nov,59
2010,Dec,73
2011,Jan,55
2011,Feb,49
2011,Mar,53
2011,Apr,54
2011,May,58
2011,Jun,59
2011,Jul,69
2011,Aug,65
2011,Sep,53
2011,Oct,50
2011,Nov,72
2011,Dec,89
2012,Jan,56
2012,Feb,49
2012,Mar,51
2012,Apr,53
2012,May,56
2012,Jun,58
2012,Jul,67
2012,Aug,61
2012,Sep,54
2012,Oct,48
2012,Nov,69
2012,Dec,86
2013,Jan,54
2013,Feb,47
2013,Mar,53
2013,Apr,53
2013,May,54
2013,Jun,57
2013,Jul,65
2013,Aug,63
2013,Sep,51
2013,Oct,47
2013,Nov,69
2013,Dec,92
2014,Jan,54
2014,Feb,48
2014,Mar,52
2014,Apr,51
2014,May,57
2014,Jun,59
2014,Jul,66
2014,Aug,62
2014,Sep,53
2014,Oct,45
2014,Nov,69
2014,Dec,87
2015,Jan,53
2015,Feb,45
2015,Mar,50
2015,Apr,50
2015,May,52
2015,Jun,56
2015,Jul,61
2015,Aug,61
2015,Sep,49
2015,Oct,46
2015,Nov,69
2015,Dec,87
2016,Jan,50
2016,Feb,43
2016,Mar,44
2016,Apr,47
2016,May,51
2016,Jun,51
2016,Jul,58
2016,Aug,52
2016,Sep,43
2016,Oct,40
2016,Nov,60
2016,Dec,79
2017,Jan,46
2017,Feb,38
2017,Mar,43
2017,Apr,42
2017,May,45
2017,Jun,46
2017,Jul,53
2017,Aug,51
2017,Sep,41
2017,Oct,40
2017,Nov,65
2017,Dec,79
2018,Jan,48
2018,Feb,41
2018,Mar,43
2018,Apr,44
2018,May,42
2018,Jun,46
2018,Jul,52
2018,Aug,48
2018,Sep,43
2018,Oct,40
2018,Nov,65
2018,Dec,79
2019,Jan,47
2019,Feb,42
2019,Mar,43
2019,Apr,43
2019,May,45
2019,Jun,44
2019,Jul,50
2019,Aug,47
2019,Sep,39
2019,Oct,37
2019,Nov,56
2019,Dec,72
2020,Jan,39
2020,Feb,36
2020,Mar,37
2020,Apr,36
2020,May,50
2020,Jun,50
2020,Jul,51
2020,Aug,49
2020,Sep,41
2020,Oct,43
2020,Nov,59
2020,Dec,72
2021,Jan,48
2021,Feb,37
2021,Mar,37
2021,Apr,36
2021,May,35
2021,Jun,35
2021,Jul,36
2021,Aug,36
2021,Sep,30
2021,Oct,30
2021,Nov,48
2021,Dec,54
2022,Jan,35
2022,Feb,30
2022,Mar,26
