CNAME:,LAZARD LTD
Google Trends Search Term:,lazard
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/03qv0v
Year,Month,SVI Data
2004,Jan,89
2004,Feb,80
2004,Mar,65
2004,Apr,68
2004,May,47
2004,Jun,64
2004,Jul,58
2004,Aug,65
2004,Sep,78
2004,Oct,87
2004,Nov,69
2004,Dec,78
2005,Jan,77
2005,Feb,71
2005,Mar,57
2005,Apr,78
2005,May,85
2005,Jun,65
2005,Jul,64
2005,Aug,50
2005,Sep,63
2005,Oct,55
2005,Nov,54
2005,Dec,50
2006,Jan,85
2006,Feb,87
2006,Mar,64
2006,Apr,40
2006,May,45
2006,Jun,49
2006,Jul,53
2006,Aug,40
2006,Sep,51
2006,Oct,55
2006,Nov,58
2006,Dec,40
2007,Jan,63
2007,Feb,57
2007,Mar,45
2007,Apr,57
2007,May,45
2007,Jun,51
2007,Jul,52
2007,Aug,51
2007,Sep,64
2007,Oct,63
2007,Nov,61
2007,Dec,55
2008,Jan,61
2008,Feb,53
2008,Mar,57
2008,Apr,64
2008,May,51
2008,Jun,48
2008,Jul,46
2008,Aug,56
2008,Sep,65
2008,Oct,55
2008,Nov,50
2008,Dec,60
2009,Jan,61
2009,Feb,59
2009,Mar,50
2009,Apr,47
2009,May,46
2009,Jun,52
2009,Jul,49
2009,Aug,48
2009,Sep,51
2009,Oct,100
2009,Nov,62
2009,Dec,57
2010,Jan,53
2010,Feb,53
2010,Mar,61
2010,Apr,46
2010,May,47
2010,Jun,47
2010,Jul,43
2010,Aug,45
2010,Sep,53
2010,Oct,46
2010,Nov,43
2010,Dec,33
2011,Jan,44
2011,Feb,46
2011,Mar,42
2011,Apr,34
2011,May,35
2011,Jun,40
2011,Jul,38
2011,Aug,38
2011,Sep,41
2011,Oct,37
2011,Nov,34
2011,Dec,30
2012,Jan,39
2012,Feb,40
2012,Mar,33
2012,Apr,31
2012,May,26
2012,Jun,37
2012,Jul,30
2012,Aug,27
2012,Sep,34
2012,Oct,34
2012,Nov,34
2012,Dec,25
2013,Jan,32
2013,Feb,24
2013,Mar,25
2013,Apr,27
2013,May,29
2013,Jun,24
2013,Jul,31
2013,Aug,28
2013,Sep,31
2013,Oct,36
2013,Nov,28
2013,Dec,25
2014,Jan,31
2014,Feb,25
2014,Mar,23
2014,Apr,27
2014,May,28
2014,Jun,27
2014,Jul,27
2014,Aug,28
2014,Sep,29
2014,Oct,29
2014,Nov,29
2014,Dec,24
2015,Jan,36
2015,Feb,32
2015,Mar,30
2015,Apr,29
2015,May,24
2015,Jun,30
2015,Jul,28
2015,Aug,28
2015,Sep,28
2015,Oct,30
2015,Nov,27
2015,Dec,24
2016,Jan,26
2016,Feb,28
2016,Mar,26
2016,Apr,28
2016,May,23
2016,Jun,26
2016,Jul,21
2016,Aug,23
2016,Sep,37
2016,Oct,33
2016,Nov,26
2016,Dec,21
2017,Jan,24
2017,Feb,26
2017,Mar,26
2017,Apr,23
2017,May,25
2017,Jun,23
2017,Jul,22
2017,Aug,24
2017,Sep,29
2017,Oct,27
2017,Nov,26
2017,Dec,20
2018,Jan,26
2018,Feb,25
2018,Mar,27
2018,Apr,27
2018,May,21
2018,Jun,24
2018,Jul,23
2018,Aug,26
2018,Sep,25
2018,Oct,25
2018,Nov,21
2018,Dec,20
2019,Jan,21
2019,Feb,26
2019,Mar,26
2019,Apr,28
2019,May,23
2019,Jun,22
2019,Jul,26
2019,Aug,27
2019,Sep,27
2019,Oct,37
2019,Nov,25
2019,Dec,22
2020,Jan,26
2020,Feb,22
2020,Mar,19
2020,Apr,19
2020,May,19
2020,Jun,19
2020,Jul,24
2020,Aug,18
2020,Sep,26
2020,Oct,34
2020,Nov,23
2020,Dec,18
2021,Jan,22
2021,Feb,16
2021,Mar,17
2021,Apr,18
2021,May,17
2021,Jun,17
2021,Jul,19
2021,Aug,19
2021,Sep,20
2021,Oct,22
2021,Nov,23
2021,Dec,20
2022,Jan,24
2022,Feb,22
2022,Mar,27
