CNAME:,CARIBOU COFFEE CO INC
Google Trends Search Term:,caribou coffee
Google Trends Suggestion:,company
Google Trends URL:,/m/03p1q_2
Year,Month,SVI Data
2004,Jan,43
2004,Feb,30
2004,Mar,35
2004,Apr,30
2004,May,43
2004,Jun,35
2004,Jul,39
2004,Aug,29
2004,Sep,42
2004,Oct,38
2004,Nov,72
2004,Dec,61
2005,Jan,66
2005,Feb,50
2005,Mar,50
2005,Apr,41
2005,May,44
2005,Jun,59
2005,Jul,59
2005,Aug,52
2005,Sep,57
2005,Oct,50
2005,Nov,64
2005,Dec,68
2006,Jan,63
2006,Feb,64
2006,Mar,100
2006,Apr,50
2006,May,49
2006,Jun,70
2006,Jul,55
2006,Aug,53
2006,Sep,68
2006,Oct,64
2006,Nov,67
2006,Dec,64
2007,Jan,61
2007,Feb,58
2007,Mar,69
2007,Apr,80
2007,May,56
2007,Jun,72
2007,Jul,56
2007,Aug,55
2007,Sep,54
2007,Oct,54
2007,Nov,61
2007,Dec,65
2008,Jan,57
2008,Feb,62
2008,Mar,56
2008,Apr,51
2008,May,50
2008,Jun,54
2008,Jul,57
2008,Aug,46
2008,Sep,48
2008,Oct,54
2008,Nov,61
2008,Dec,62
2009,Jan,49
2009,Feb,47
2009,Mar,55
2009,Apr,46
2009,May,45
2009,Jun,50
2009,Jul,51
2009,Aug,45
2009,Sep,53
2009,Oct,53
2009,Nov,64
2009,Dec,61
2010,Jan,62
2010,Feb,50
2010,Mar,59
2010,Apr,56
2010,May,52
2010,Jun,51
2010,Jul,48
2010,Aug,52
2010,Sep,53
2010,Oct,52
2010,Nov,58
2010,Dec,60
2011,Jan,65
2011,Feb,58
2011,Mar,59
2011,Apr,69
2011,May,62
2011,Jun,67
2011,Jul,65
2011,Aug,66
2011,Sep,66
2011,Oct,59
2011,Nov,67
2011,Dec,79
2012,Jan,68
2012,Feb,66
2012,Mar,59
2012,Apr,59
2012,May,59
2012,Jun,61
2012,Jul,59
2012,Aug,57
2012,Sep,66
2012,Oct,70
2012,Nov,69
2012,Dec,81
2013,Jan,61
2013,Feb,61
2013,Mar,63
2013,Apr,99
2013,May,60
2013,Jun,55
2013,Jul,55
2013,Aug,55
2013,Sep,59
2013,Oct,58
2013,Nov,58
2013,Dec,61
2014,Jan,58
2014,Feb,56
2014,Mar,54
2014,Apr,52
2014,May,51
2014,Jun,47
2014,Jul,48
2014,Aug,42
2014,Sep,47
2014,Oct,45
2014,Nov,50
2014,Dec,57
2015,Jan,45
2015,Feb,44
2015,Mar,43
2015,Apr,43
2015,May,45
2015,Jun,45
2015,Jul,42
2015,Aug,48
2015,Sep,46
2015,Oct,43
2015,Nov,50
2015,Dec,54
2016,Jan,47
2016,Feb,44
2016,Mar,45
2016,Apr,47
2016,May,50
2016,Jun,47
2016,Jul,47
2016,Aug,44
2016,Sep,47
2016,Oct,47
2016,Nov,51
2016,Dec,54
2017,Jan,42
2017,Feb,40
2017,Mar,42
2017,Apr,45
2017,May,46
2017,Jun,48
2017,Jul,47
2017,Aug,50
2017,Sep,50
2017,Oct,48
2017,Nov,51
2017,Dec,54
2018,Jan,44
2018,Feb,41
2018,Mar,42
2018,Apr,42
2018,May,39
2018,Jun,37
2018,Jul,42
2018,Aug,39
2018,Sep,42
2018,Oct,40
2018,Nov,44
2018,Dec,48
2019,Jan,41
2019,Feb,33
2019,Mar,36
2019,Apr,38
2019,May,41
2019,Jun,41
2019,Jul,43
2019,Aug,40
2019,Sep,41
2019,Oct,40
2019,Nov,42
2019,Dec,45
2020,Jan,36
2020,Feb,33
2020,Mar,33
2020,Apr,27
2020,May,34
2020,Jun,34
2020,Jul,36
2020,Aug,36
2020,Sep,35
2020,Oct,35
2020,Nov,36
2020,Dec,38
2021,Jan,31
2021,Feb,29
2021,Mar,31
2021,Apr,31
2021,May,36
2021,Jun,36
2021,Jul,34
2021,Aug,36
2021,Sep,36
2021,Oct,38
2021,Nov,42
2021,Dec,40
2022,Jan,34
2022,Feb,30
2022,Mar,30
