CNAME:,AMTRUST FINANCIAL SERVICES INC
Google Trends Search Term:,amtrust financial services
Google Trends Suggestion:,insurance company
Google Trends URL:,/m/03p1hcj
Year,Month,SVI Data
2004,Jan,5
2004,Feb,11
2004,Mar,17
2004,Apr,11
2004,May,12
2004,Jun,23
2004,Jul,6
2004,Aug,17
2004,Sep,16
2004,Oct,7
2004,Nov,8
2004,Dec,17
2005,Jan,15
2005,Feb,17
2005,Mar,16
2005,Apr,15
2005,May,21
2005,Jun,13
2005,Jul,35
2005,Aug,22
2005,Sep,25
2005,Oct,21
2005,Nov,19
2005,Dec,22
2006,Jan,24
2006,Feb,32
2006,Mar,23
2006,Apr,27
2006,May,29
2006,Jun,18
2006,Jul,28
2006,Aug,25
2006,Sep,41
2006,Oct,39
2006,Nov,34
2006,Dec,37
2007,Jan,38
2007,Feb,34
2007,Mar,43
2007,Apr,46
2007,May,63
2007,Jun,72
2007,Jul,84
2007,Aug,100
2007,Sep,94
2007,Oct,85
2007,Nov,88
2007,Dec,92
2008,Jan,88
2008,Feb,98
2008,Mar,84
2008,Apr,82
2008,May,88
2008,Jun,79
2008,Jul,93
2008,Aug,85
2008,Sep,77
2008,Oct,86
2008,Nov,65
2008,Dec,85
2009,Jan,76
2009,Feb,64
2009,Mar,71
2009,Apr,65
2009,May,73
2009,Jun,62
2009,Jul,70
2009,Aug,53
2009,Sep,50
2009,Oct,54
2009,Nov,43
2009,Dec,84
2010,Jan,53
2010,Feb,47
2010,Mar,44
2010,Apr,42
2010,May,42
2010,Jun,43
2010,Jul,37
2010,Aug,40
2010,Sep,36
2010,Oct,35
2010,Nov,31
2010,Dec,37
2011,Jan,44
2011,Feb,48
2011,Mar,47
2011,Apr,44
2011,May,37
2011,Jun,43
2011,Jul,46
2011,Aug,42
2011,Sep,36
2011,Oct,37
2011,Nov,33
2011,Dec,43
2012,Jan,46
2012,Feb,37
2012,Mar,39
2012,Apr,40
2012,May,40
2012,Jun,43
2012,Jul,39
2012,Aug,38
2012,Sep,40
2012,Oct,44
2012,Nov,39
2012,Dec,36
2013,Jan,37
2013,Feb,39
2013,Mar,33
2013,Apr,35
2013,May,31
2013,Jun,34
2013,Jul,35
2013,Aug,31
2013,Sep,32
2013,Oct,32
2013,Nov,26
2013,Dec,33
2014,Jan,34
2014,Feb,31
2014,Mar,30
2014,Apr,30
2014,May,32
2014,Jun,33
2014,Jul,35
2014,Aug,35
2014,Sep,32
2014,Oct,34
2014,Nov,28
2014,Dec,27
2015,Jan,30
2015,Feb,30
2015,Mar,31
2015,Apr,34
2015,May,27
2015,Jun,33
2015,Jul,32
2015,Aug,31
2015,Sep,29
2015,Oct,31
2015,Nov,26
2015,Dec,26
2016,Jan,21
2016,Feb,22
2016,Mar,22
2016,Apr,26
2016,May,24
2016,Jun,23
2016,Jul,22
2016,Aug,27
2016,Sep,23
2016,Oct,19
2016,Nov,21
2016,Dec,21
2017,Jan,19
2017,Feb,25
2017,Mar,33
2017,Apr,41
2017,May,36
2017,Jun,34
2017,Jul,26
2017,Aug,31
2017,Sep,29
2017,Oct,29
2017,Nov,29
2017,Dec,25
2018,Jan,33
2018,Feb,27
2018,Mar,28
2018,Apr,25
2018,May,28
2018,Jun,31
2018,Jul,31
2018,Aug,31
2018,Sep,24
2018,Oct,31
2018,Nov,24
2018,Dec,25
2019,Jan,30
2019,Feb,26
2019,Mar,28
2019,Apr,24
2019,May,21
2019,Jun,22
2019,Jul,25
2019,Aug,22
2019,Sep,20
2019,Oct,20
2019,Nov,19
2019,Dec,19
2020,Jan,21
2020,Feb,24
2020,Mar,19
2020,Apr,20
2020,May,17
2020,Jun,22
2020,Jul,21
2020,Aug,18
2020,Sep,20
2020,Oct,18
2020,Nov,18
2020,Dec,18
2021,Jan,19
2021,Feb,19
2021,Mar,20
2021,Apr,22
2021,May,18
2021,Jun,25
2021,Jul,21
2021,Aug,24
2021,Sep,21
2021,Oct,20
2021,Nov,21
2021,Dec,21
2022,Jan,23
2022,Feb,25
2022,Mar,25
