CNAME:,SCOTTS MIRACLE GRO CO
Google Trends Search Term:,scottsmiracle-gro
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/02rkffn
Year,Month,SVI Data
2004,Jan,44
2004,Feb,43
2004,Mar,100
2004,Apr,42
2004,May,70
2004,Jun,79
2004,Jul,41
2004,Aug,88
2004,Sep,28
2004,Oct,29
2004,Nov,37
2004,Dec,59
2005,Jan,40
2005,Feb,79
2005,Mar,67
2005,Apr,95
2005,May,63
2005,Jun,54
2005,Jul,27
2005,Aug,50
2005,Sep,56
2005,Oct,57
2005,Nov,36
2005,Dec,72
2006,Jan,45
2006,Feb,54
2006,Mar,38
2006,Apr,51
2006,May,48
2006,Jun,47
2006,Jul,25
2006,Aug,52
2006,Sep,46
2006,Oct,36
2006,Nov,44
2006,Dec,56
2007,Jan,44
2007,Feb,72
2007,Mar,57
2007,Apr,53
2007,May,62
2007,Jun,22
2007,Jul,55
2007,Aug,24
2007,Sep,35
2007,Oct,30
2007,Nov,22
2007,Dec,27
2008,Jan,49
2008,Feb,34
2008,Mar,46
2008,Apr,79
2008,May,58
2008,Jun,35
2008,Jul,55
2008,Aug,53
2008,Sep,33
2008,Oct,40
2008,Nov,46
2008,Dec,45
2009,Jan,57
2009,Feb,58
2009,Mar,77
2009,Apr,41
2009,May,68
2009,Jun,63
2009,Jul,62
2009,Aug,41
2009,Sep,57
2009,Oct,42
2009,Nov,33
2009,Dec,41
2010,Jan,59
2010,Feb,43
2010,Mar,68
2010,Apr,60
2010,May,56
2010,Jun,54
2010,Jul,43
2010,Aug,37
2010,Sep,37
2010,Oct,28
2010,Nov,54
2010,Dec,45
2011,Jan,58
2011,Feb,69
2011,Mar,63
2011,Apr,62
2011,May,50
2011,Jun,75
2011,Jul,44
2011,Aug,46
2011,Sep,37
2011,Oct,43
2011,Nov,43
2011,Dec,29
2012,Jan,57
2012,Feb,52
2012,Mar,59
2012,Apr,49
2012,May,54
2012,Jun,41
2012,Jul,39
2012,Aug,34
2012,Sep,48
2012,Oct,35
2012,Nov,36
2012,Dec,33
2013,Jan,44
2013,Feb,44
2013,Mar,52
2013,Apr,87
2013,May,72
2013,Jun,42
2013,Jul,42
2013,Aug,33
2013,Sep,30
2013,Oct,45
2013,Nov,34
2013,Dec,32
2014,Jan,41
2014,Feb,48
2014,Mar,44
2014,Apr,59
2014,May,63
2014,Jun,38
2014,Jul,37
2014,Aug,38
2014,Sep,23
2014,Oct,34
2014,Nov,31
2014,Dec,35
2015,Jan,46
2015,Feb,52
2015,Mar,47
2015,Apr,69
2015,May,52
2015,Jun,43
2015,Jul,29
2015,Aug,35
2015,Sep,39
2015,Oct,36
2015,Nov,37
2015,Dec,43
2016,Jan,34
2016,Feb,46
2016,Mar,38
2016,Apr,38
2016,May,42
2016,Jun,31
2016,Jul,42
2016,Aug,39
2016,Sep,27
2016,Oct,44
2016,Nov,65
2016,Dec,51
2017,Jan,64
2017,Feb,60
2017,Mar,55
2017,Apr,58
2017,May,56
2017,Jun,49
2017,Jul,50
2017,Aug,48
2017,Sep,36
2017,Oct,45
2017,Nov,43
2017,Dec,42
2018,Jan,78
2018,Feb,66
2018,Mar,45
2018,Apr,65
2018,May,54
2018,Jun,59
2018,Jul,64
2018,Aug,64
2018,Sep,60
2018,Oct,60
2018,Nov,46
2018,Dec,45
2019,Jan,62
2019,Feb,63
2019,Mar,59
2019,Apr,62
2019,May,57
2019,Jun,49
2019,Jul,44
2019,Aug,49
2019,Sep,41
2019,Oct,37
2019,Nov,40
2019,Dec,36
2020,Jan,50
2020,Feb,47
2020,Mar,64
2020,Apr,54
2020,May,63
2020,Jun,52
2020,Jul,53
2020,Aug,44
2020,Sep,42
2020,Oct,47
2020,Nov,41
2020,Dec,44
2021,Jan,56
2021,Feb,99
2021,Mar,55
2021,Apr,63
2021,May,54
2021,Jun,44
2021,Jul,39
2021,Aug,48
2021,Sep,40
2021,Oct,31
2021,Nov,40
2021,Dec,35
2022,Jan,39
2022,Feb,51
2022,Mar,48
