CNAME:,WALGREEN CO
Google Trends Search Term:,walgreens
Google Trends Suggestion:,company
Google Trends URL:,/m/02rx2k
Year,Month,SVI Data
2004,Jan,5
2004,Feb,4
2004,Mar,5
2004,Apr,5
2004,May,5
2004,Jun,6
2004,Jul,5
2004,Aug,5
2004,Sep,5
2004,Oct,6
2004,Nov,6
2004,Dec,7
2005,Jan,6
2005,Feb,6
2005,Mar,6
2005,Apr,6
2005,May,6
2005,Jun,7
2005,Jul,7
2005,Aug,7
2005,Sep,7
2005,Oct,8
2005,Nov,8
2005,Dec,10
2006,Jan,8
2006,Feb,8
2006,Mar,8
2006,Apr,8
2006,May,8
2006,Jun,9
2006,Jul,9
2006,Aug,9
2006,Sep,9
2006,Oct,11
2006,Nov,11
2006,Dec,16
2007,Jan,11
2007,Feb,11
2007,Mar,11
2007,Apr,11
2007,May,12
2007,Jun,14
2007,Jul,14
2007,Aug,14
2007,Sep,14
2007,Oct,15
2007,Nov,15
2007,Dec,21
2008,Jan,14
2008,Feb,14
2008,Mar,14
2008,Apr,14
2008,May,15
2008,Jun,16
2008,Jul,16
2008,Aug,16
2008,Sep,15
2008,Oct,17
2008,Nov,19
2008,Dec,26
2009,Jan,17
2009,Feb,17
2009,Mar,16
2009,Apr,16
2009,May,17
2009,Jun,16
2009,Jul,16
2009,Aug,17
2009,Sep,18
2009,Oct,19
2009,Nov,19
2009,Dec,24
2010,Jan,17
2010,Feb,16
2010,Mar,15
2010,Apr,16
2010,May,18
2010,Jun,20
2010,Jul,19
2010,Aug,21
2010,Sep,19
2010,Oct,21
2010,Nov,21
2010,Dec,28
2011,Jan,24
2011,Feb,23
2011,Mar,23
2011,Apr,25
2011,May,26
2011,Jun,28
2011,Jul,28
2011,Aug,28
2011,Sep,26
2011,Oct,26
2011,Nov,28
2011,Dec,37
2012,Jan,26
2012,Feb,25
2012,Mar,25
2012,Apr,27
2012,May,27
2012,Jun,28
2012,Jul,28
2012,Aug,29
2012,Sep,28
2012,Oct,28
2012,Nov,30
2012,Dec,42
2013,Jan,31
2013,Feb,27
2013,Mar,27
2013,Apr,28
2013,May,30
2013,Jun,31
2013,Jul,31
2013,Aug,32
2013,Sep,31
2013,Oct,30
2013,Nov,33
2013,Dec,46
2014,Jan,34
2014,Feb,30
2014,Mar,29
2014,Apr,30
2014,May,32
2014,Jun,32
2014,Jul,33
2014,Aug,33
2014,Sep,32
2014,Oct,31
2014,Nov,32
2014,Dec,45
2015,Jan,32
2015,Feb,30
2015,Mar,30
2015,Apr,30
2015,May,32
2015,Jun,33
2015,Jul,35
2015,Aug,35
2015,Sep,31
2015,Oct,32
2015,Nov,33
2015,Dec,45
2016,Jan,32
2016,Feb,33
2016,Mar,33
2016,Apr,32
2016,May,37
2016,Jun,37
2016,Jul,36
2016,Aug,35
2016,Sep,33
2016,Oct,33
2016,Nov,35
2016,Dec,50
2017,Jan,34
2017,Feb,33
2017,Mar,33
2017,Apr,35
2017,May,36
2017,Jun,37
2017,Jul,36
2017,Aug,36
2017,Sep,34
2017,Oct,33
2017,Nov,36
2017,Dec,51
2018,Jan,37
2018,Feb,35
2018,Mar,34
2018,Apr,35
2018,May,36
2018,Jun,38
2018,Jul,38
2018,Aug,38
2018,Sep,36
2018,Oct,37
2018,Nov,38
2018,Dec,53
2019,Jan,39
2019,Feb,37
2019,Mar,38
2019,Apr,38
2019,May,40
2019,Jun,40
2019,Jul,40
2019,Aug,40
2019,Sep,38
2019,Oct,39
2019,Nov,41
2019,Dec,57
2020,Jan,39
2020,Feb,38
2020,Mar,47
2020,Apr,44
2020,May,43
2020,Jun,45
2020,Jul,44
2020,Aug,42
2020,Sep,39
2020,Oct,44
2020,Nov,48
2020,Dec,63
2021,Jan,48
2021,Feb,64
2021,Mar,68
2021,Apr,59
2021,May,53
2021,Jun,49
2021,Jul,53
2021,Aug,68
2021,Sep,62
2021,Oct,59
2021,Nov,68
2021,Dec,100
2022,Jan,79
2022,Feb,50
2022,Mar,46
