CNAME:,SUPER MICRO COMPUTER INC
Google Trends Search Term:,supermicro
Google Trends Suggestion:,information technology company
Google Trends URL:,/m/03p3m28
Year,Month,SVI Data
2004,Jan,59
2004,Feb,66
2004,Mar,54
2004,Apr,66
2004,May,83
2004,Jun,60
2004,Jul,61
2004,Aug,59
2004,Sep,79
2004,Oct,64
2004,Nov,56
2004,Dec,64
2005,Jan,55
2005,Feb,59
2005,Mar,46
2005,Apr,45
2005,May,59
2005,Jun,43
2005,Jul,56
2005,Aug,46
2005,Sep,45
2005,Oct,55
2005,Nov,57
2005,Dec,54
2006,Jan,62
2006,Feb,45
2006,Mar,53
2006,Apr,47
2006,May,48
2006,Jun,44
2006,Jul,49
2006,Aug,47
2006,Sep,42
2006,Oct,46
2006,Nov,37
2006,Dec,39
2007,Jan,45
2007,Feb,43
2007,Mar,49
2007,Apr,42
2007,May,42
2007,Jun,46
2007,Jul,33
2007,Aug,46
2007,Sep,33
2007,Oct,38
2007,Nov,33
2007,Dec,38
2008,Jan,34
2008,Feb,33
2008,Mar,41
2008,Apr,30
2008,May,28
2008,Jun,32
2008,Jul,35
2008,Aug,36
2008,Sep,31
2008,Oct,32
2008,Nov,36
2008,Dec,27
2009,Jan,33
2009,Feb,28
2009,Mar,35
2009,Apr,32
2009,May,31
2009,Jun,27
2009,Jul,31
2009,Aug,27
2009,Sep,27
2009,Oct,32
2009,Nov,24
2009,Dec,23
2010,Jan,27
2010,Feb,27
2010,Mar,31
2010,Apr,27
2010,May,27
2010,Jun,35
2010,Jul,24
2010,Aug,30
2010,Sep,25
2010,Oct,22
2010,Nov,26
2010,Dec,24
2011,Jan,28
2011,Feb,29
2011,Mar,29
2011,Apr,27
2011,May,26
2011,Jun,27
2011,Jul,26
2011,Aug,29
2011,Sep,25
2011,Oct,26
2011,Nov,26
2011,Dec,22
2012,Jan,23
2012,Feb,25
2012,Mar,24
2012,Apr,22
2012,May,25
2012,Jun,21
2012,Jul,21
2012,Aug,25
2012,Sep,22
2012,Oct,25
2012,Nov,25
2012,Dec,19
2013,Jan,22
2013,Feb,22
2013,Mar,24
2013,Apr,24
2013,May,21
2013,Jun,20
2013,Jul,22
2013,Aug,23
2013,Sep,21
2013,Oct,23
2013,Nov,24
2013,Dec,21
2014,Jan,26
2014,Feb,27
2014,Mar,27
2014,Apr,27
2014,May,25
2014,Jun,25
2014,Jul,24
2014,Aug,25
2014,Sep,22
2014,Oct,25
2014,Nov,24
2014,Dec,20
2015,Jan,23
2015,Feb,23
2015,Mar,26
2015,Apr,24
2015,May,23
2015,Jun,28
2015,Jul,27
2015,Aug,25
2015,Sep,25
2015,Oct,25
2015,Nov,25
2015,Dec,26
2016,Jan,22
2016,Feb,23
2016,Mar,24
2016,Apr,25
2016,May,22
2016,Jun,23
2016,Jul,21
2016,Aug,21
2016,Sep,22
2016,Oct,21
2016,Nov,21
2016,Dec,20
2017,Jan,22
2017,Feb,24
2017,Mar,26
2017,Apr,25
2017,May,23
2017,Jun,25
2017,Jul,25
2017,Aug,25
2017,Sep,25
2017,Oct,22
2017,Nov,19
2017,Dec,18
2018,Jan,23
2018,Feb,23
2018,Mar,22
2018,Apr,23
2018,May,22
2018,Jun,22
2018,Jul,20
2018,Aug,26
2018,Sep,22
2018,Oct,100
2018,Nov,25
2018,Dec,21
2019,Jan,21
2019,Feb,24
2019,Mar,22
2019,Apr,22
2019,May,22
2019,Jun,20
2019,Jul,22
2019,Aug,19
2019,Sep,21
2019,Oct,20
2019,Nov,20
2019,Dec,18
2020,Jan,22
2020,Feb,24
2020,Mar,19
2020,Apr,16
2020,May,20
2020,Jun,20
2020,Jul,20
2020,Aug,18
2020,Sep,18
2020,Oct,17
2020,Nov,14
2020,Dec,15
2021,Jan,15
2021,Feb,19
2021,Mar,17
2021,Apr,17
2021,May,14
2021,Jun,12
2021,Jul,16
2021,Aug,16
2021,Sep,16
2021,Oct,14
2021,Nov,12
2021,Dec,13
2022,Jan,13
2022,Feb,16
2022,Mar,15
