CNAME:,PRICELINE GROUP INC
Google Trends Search Term:,priceline
Google Trends Suggestion:,retail company
Google Trends URL:,/m/0g50v9
Year,Month,SVI Data
2004,Jan,25
2004,Feb,21
2004,Mar,26
2004,Apr,12
2004,May,18
2004,Jun,57
2004,Jul,19
2004,Aug,24
2004,Sep,20
2004,Oct,10
2004,Nov,39
2004,Dec,19
2005,Jan,11
2005,Feb,17
2005,Mar,39
2005,Apr,25
2005,May,18
2005,Jun,31
2005,Jul,51
2005,Aug,22
2005,Sep,16
2005,Oct,44
2005,Nov,17
2005,Dec,20
2006,Jan,20
2006,Feb,26
2006,Mar,22
2006,Apr,21
2006,May,34
2006,Jun,33
2006,Jul,15
2006,Aug,32
2006,Sep,17
2006,Oct,34
2006,Nov,18
2006,Dec,31
2007,Jan,17
2007,Feb,16
2007,Mar,25
2007,Apr,32
2007,May,22
2007,Jun,30
2007,Jul,34
2007,Aug,37
2007,Sep,25
2007,Oct,24
2007,Nov,22
2007,Dec,22
2008,Jan,21
2008,Feb,21
2008,Mar,25
2008,Apr,31
2008,May,37
2008,Jun,40
2008,Jul,46
2008,Aug,38
2008,Sep,32
2008,Oct,20
2008,Nov,29
2008,Dec,34
2009,Jan,44
2009,Feb,40
2009,Mar,47
2009,Apr,40
2009,May,38
2009,Jun,34
2009,Jul,44
2009,Aug,48
2009,Sep,35
2009,Oct,44
2009,Nov,41
2009,Dec,38
2010,Jan,37
2010,Feb,40
2010,Mar,46
2010,Apr,42
2010,May,44
2010,Jun,53
2010,Jul,48
2010,Aug,43
2010,Sep,49
2010,Oct,42
2010,Nov,36
2010,Dec,39
2011,Jan,43
2011,Feb,57
2011,Mar,54
2011,Apr,52
2011,May,73
2011,Jun,57
2011,Jul,70
2011,Aug,60
2011,Sep,61
2011,Oct,54
2011,Nov,51
2011,Dec,59
2012,Jan,53
2012,Feb,61
2012,Mar,66
2012,Apr,66
2012,May,61
2012,Jun,57
2012,Jul,70
2012,Aug,81
2012,Sep,61
2012,Oct,62
2012,Nov,69
2012,Dec,61
2013,Jan,65
2013,Feb,74
2013,Mar,67
2013,Apr,67
2013,May,84
2013,Jun,73
2013,Jul,81
2013,Aug,81
2013,Sep,66
2013,Oct,74
2013,Nov,70
2013,Dec,70
2014,Jan,64
2014,Feb,68
2014,Mar,76
2014,Apr,76
2014,May,80
2014,Jun,93
2014,Jul,92
2014,Aug,80
2014,Sep,71
2014,Oct,75
2014,Nov,74
2014,Dec,66
2015,Jan,75
2015,Feb,73
2015,Mar,73
2015,Apr,77
2015,May,77
2015,Jun,80
2015,Jul,100
2015,Aug,86
2015,Sep,68
2015,Oct,77
2015,Nov,76
2015,Dec,72
2016,Jan,61
2016,Feb,64
2016,Mar,58
2016,Apr,54
2016,May,60
2016,Jun,71
2016,Jul,65
2016,Aug,64
2016,Sep,54
2016,Oct,52
2016,Nov,52
2016,Dec,63
2017,Jan,56
2017,Feb,69
2017,Mar,68
2017,Apr,62
2017,May,68
2017,Jun,73
2017,Jul,68
2017,Aug,72
2017,Sep,63
2017,Oct,64
2017,Nov,64
2017,Dec,63
2018,Jan,59
2018,Feb,67
2018,Mar,64
2018,Apr,66
2018,May,67
2018,Jun,71
2018,Jul,75
2018,Aug,62
2018,Sep,56
2018,Oct,56
2018,Nov,59
2018,Dec,55
2019,Jan,56
2019,Feb,52
2019,Mar,54
2019,Apr,57
2019,May,57
2019,Jun,68
2019,Jul,63
2019,Aug,62
2019,Sep,49
2019,Oct,52
2019,Nov,65
2019,Dec,58
2020,Jan,54
2020,Feb,58
2020,Mar,45
2020,Apr,42
2020,May,39
2020,Jun,50
2020,Jul,51
2020,Aug,43
2020,Sep,40
2020,Oct,43
2020,Nov,43
2020,Dec,45
2021,Jan,36
2021,Feb,49
2021,Mar,52
2021,Apr,56
2021,May,62
2021,Jun,63
2021,Jul,67
2021,Aug,55
2021,Sep,53
2021,Oct,50
2021,Nov,61
2021,Dec,56
2022,Jan,51
2022,Feb,57
2022,Mar,61
