CNAME:,ROKU INC
Google Trends Search Term:,roku inc
Google Trends Suggestion:,publicly traded company
Google Trends URL:,/m/084s0s
Year,Month,SVI Data
2004,Jan,1
2004,Feb,1
2004,Mar,2
2004,Apr,1
2004,May,1
2004,Jun,2
2004,Jul,1
2004,Aug,1
2004,Sep,1
2004,Oct,1
2004,Nov,2
2004,Dec,3
2005,Jan,2
2005,Feb,2
2005,Mar,1
2005,Apr,1
2005,May,2
2005,Jun,2
2005,Jul,2
2005,Aug,2
2005,Sep,3
2005,Oct,2
2005,Nov,2
2005,Dec,3
2006,Jan,2
2006,Feb,1
2006,Mar,2
2006,Apr,2
2006,May,2
2006,Jun,2
2006,Jul,2
2006,Aug,1
2006,Sep,2
2006,Oct,2
2006,Nov,2
2006,Dec,2
2007,Jan,1
2007,Feb,1
2007,Mar,1
2007,Apr,1
2007,May,1
2007,Jun,1
2007,Jul,1
2007,Aug,1
2007,Sep,1
2007,Oct,1
2007,Nov,1
2007,Dec,1
2008,Jan,1
2008,Feb,1
2008,Mar,1
2008,Apr,1
2008,May,4
2008,Jun,4
2008,Jul,4
2008,Aug,3
2008,Sep,2
2008,Oct,3
2008,Nov,4
2008,Dec,7
2009,Jan,7
2009,Feb,4
2009,Mar,5
2009,Apr,4
2009,May,4
2009,Jun,4
2009,Jul,4
2009,Aug,5
2009,Sep,5
2009,Oct,5
2009,Nov,8
2009,Dec,12
2010,Jan,9
2010,Feb,6
2010,Mar,6
2010,Apr,6
2010,May,6
2010,Jun,6
2010,Jul,6
2010,Aug,7
2010,Sep,12
2010,Oct,12
2010,Nov,16
2010,Dec,20
2011,Jan,18
2011,Feb,16
2011,Mar,15
2011,Apr,14
2011,May,13
2011,Jun,15
2011,Jul,19
2011,Aug,18
2011,Sep,18
2011,Oct,19
2011,Nov,30
2011,Dec,46
2012,Jan,35
2012,Feb,26
2012,Mar,26
2012,Apr,24
2012,May,22
2012,Jun,25
2012,Jul,26
2012,Aug,23
2012,Sep,24
2012,Oct,23
2012,Nov,34
2012,Dec,47
2013,Jan,37
2013,Feb,29
2013,Mar,35
2013,Apr,31
2013,May,28
2013,Jun,31
2013,Jul,31
2013,Aug,33
2013,Sep,31
2013,Oct,29
2013,Nov,40
2013,Dec,62
2014,Jan,48
2014,Feb,39
2014,Mar,41
2014,Apr,38
2014,May,32
2014,Jun,36
2014,Jul,38
2014,Aug,39
2014,Sep,34
2014,Oct,34
2014,Nov,44
2014,Dec,58
2015,Jan,48
2015,Feb,41
2015,Mar,39
2015,Apr,37
2015,May,34
2015,Jun,37
2015,Jul,40
2015,Aug,44
2015,Sep,43
2015,Oct,42
2015,Nov,54
2015,Dec,58
2016,Jan,49
2016,Feb,41
2016,Mar,38
2016,Apr,39
2016,May,39
2016,Jun,39
2016,Jul,43
2016,Aug,42
2016,Sep,47
2016,Oct,49
2016,Nov,58
2016,Dec,64
2017,Jan,59
2017,Feb,49
2017,Mar,48
2017,Apr,45
2017,May,44
2017,Jun,48
2017,Jul,53
2017,Aug,57
2017,Sep,64
2017,Oct,59
2017,Nov,69
2017,Dec,70
2018,Jan,65
2018,Feb,59
2018,Mar,54
2018,Apr,52
2018,May,53
2018,Jun,56
2018,Jul,57
2018,Aug,60
2018,Sep,63
2018,Oct,55
2018,Nov,74
2018,Dec,74
2019,Jan,72
2019,Feb,60
2019,Mar,61
2019,Apr,55
2019,May,57
2019,Jun,59
2019,Jul,60
2019,Aug,70
2019,Sep,72
2019,Oct,64
2019,Nov,100
2019,Dec,93
2020,Jan,75
2020,Feb,70
2020,Mar,72
2020,Apr,82
2020,May,80
2020,Jun,77
2020,Jul,86
2020,Aug,84
2020,Sep,82
2020,Oct,82
2020,Nov,92
2020,Dec,99
2021,Jan,86
2021,Feb,76
2021,Mar,69
2021,Apr,63
2021,May,67
2021,Jun,69
2021,Jul,64
2021,Aug,67
2021,Sep,64
2021,Oct,66
2021,Nov,81
2021,Dec,76
2022,Jan,74
2022,Feb,67
2022,Mar,58
