CNAME:,NORDSTROM INC
Google Trends Search Term:,nordstrom
Google Trends Suggestion:,department store company
Google Trends URL:,/m/01fc_q
Year,Month,SVI Data
2004,Jan,19
2004,Feb,19
2004,Mar,21
2004,Apr,20
2004,May,23
2004,Jun,21
2004,Jul,24
2004,Aug,21
2004,Sep,22
2004,Oct,24
2004,Nov,29
2004,Dec,34
2005,Jan,23
2005,Feb,24
2005,Mar,24
2005,Apr,26
2005,May,25
2005,Jun,26
2005,Jul,29
2005,Aug,26
2005,Sep,25
2005,Oct,27
2005,Nov,33
2005,Dec,47
2006,Jan,26
2006,Feb,25
2006,Mar,28
2006,Apr,31
2006,May,32
2006,Jun,30
2006,Jul,38
2006,Aug,33
2006,Sep,36
2006,Oct,37
2006,Nov,43
2006,Dec,57
2007,Jan,37
2007,Feb,38
2007,Mar,39
2007,Apr,39
2007,May,39
2007,Jun,39
2007,Jul,41
2007,Aug,39
2007,Sep,41
2007,Oct,41
2007,Nov,53
2007,Dec,64
2008,Jan,40
2008,Feb,37
2008,Mar,41
2008,Apr,41
2008,May,40
2008,Jun,36
2008,Jul,43
2008,Aug,37
2008,Sep,38
2008,Oct,40
2008,Nov,53
2008,Dec,62
2009,Jan,41
2009,Feb,37
2009,Mar,40
2009,Apr,38
2009,May,40
2009,Jun,35
2009,Jul,43
2009,Aug,39
2009,Sep,42
2009,Oct,45
2009,Nov,54
2009,Dec,64
2010,Jan,44
2010,Feb,40
2010,Mar,44
2010,Apr,43
2010,May,47
2010,Jun,39
2010,Jul,44
2010,Aug,40
2010,Sep,42
2010,Oct,44
2010,Nov,59
2010,Dec,69
2011,Jan,54
2011,Feb,53
2011,Mar,53
2011,Apr,54
2011,May,56
2011,Jun,52
2011,Jul,62
2011,Aug,52
2011,Sep,57
2011,Oct,57
2011,Nov,77
2011,Dec,90
2012,Jan,60
2012,Feb,58
2012,Mar,60
2012,Apr,60
2012,May,64
2012,Jun,56
2012,Jul,68
2012,Aug,57
2012,Sep,59
2012,Oct,62
2012,Nov,78
2012,Dec,90
2013,Jan,65
2013,Feb,59
2013,Mar,64
2013,Apr,62
2013,May,65
2013,Jun,58
2013,Jul,67
2013,Aug,59
2013,Sep,57
2013,Oct,61
2013,Nov,80
2013,Dec,100
2014,Jan,66
2014,Feb,62
2014,Mar,65
2014,Apr,66
2014,May,71
2014,Jun,61
2014,Jul,72
2014,Aug,61
2014,Sep,63
2014,Oct,64
2014,Nov,85
2014,Dec,99
2015,Jan,63
2015,Feb,61
2015,Mar,61
2015,Apr,62
2015,May,66
2015,Jun,59
2015,Jul,69
2015,Aug,60
2015,Sep,61
2015,Oct,59
2015,Nov,82
2015,Dec,93
2016,Jan,61
2016,Feb,60
2016,Mar,61
2016,Apr,61
2016,May,68
2016,Jun,61
2016,Jul,72
2016,Aug,61
2016,Sep,62
2016,Oct,62
2016,Nov,81
2016,Dec,92
2017,Jan,59
2017,Feb,65
2017,Mar,58
2017,Apr,60
2017,May,65
2017,Jun,59
2017,Jul,72
2017,Aug,61
2017,Sep,60
2017,Oct,60
2017,Nov,85
2017,Dec,92
2018,Jan,62
2018,Feb,60
2018,Mar,63
2018,Apr,61
2018,May,65
2018,Jun,60
2018,Jul,77
2018,Aug,58
2018,Sep,58
2018,Oct,61
2018,Nov,86
2018,Dec,89
2019,Jan,62
2019,Feb,56
2019,Mar,59
2019,Apr,59
2019,May,63
2019,Jun,58
2019,Jul,73
2019,Aug,60
2019,Sep,59
2019,Oct,64
2019,Nov,78
2019,Dec,91
2020,Jan,56
2020,Feb,54
2020,Mar,45
2020,Apr,49
2020,May,61
2020,Jun,61
2020,Jul,52
2020,Aug,55
2020,Sep,42
2020,Oct,46
2020,Nov,57
2020,Dec,67
2021,Jan,45
2021,Feb,43
2021,Mar,48
2021,Apr,49
2021,May,51
2021,Jun,46
2021,Jul,54
2021,Aug,46
2021,Sep,47
2021,Oct,50
2021,Nov,68
2021,Dec,70
2022,Jan,47
2022,Feb,48
2022,Mar,48
