CNAME:,CLAYTON WILLIAMS ENERGY INC
Google Trends Search Term:,clayton williams energy inc
Google Trends Suggestion:,company
Google Trends URL:,/m/03p1tk6
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,63
2004,Apr,0
2004,May,0
2004,Jun,45
2004,Jul,0
2004,Aug,41
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,37
2005,Jan,0
2005,Feb,34
2005,Mar,58
2005,Apr,33
2005,May,60
2005,Jun,61
2005,Jul,30
2005,Aug,0
2005,Sep,26
2005,Oct,25
2005,Nov,0
2005,Dec,48
2006,Jan,21
2006,Feb,44
2006,Mar,39
2006,Apr,41
2006,May,19
2006,Jun,20
2006,Jul,0
2006,Aug,0
2006,Sep,37
2006,Oct,17
2006,Nov,17
2006,Dec,0
2007,Jan,59
2007,Feb,16
2007,Mar,14
2007,Apr,28
2007,May,26
2007,Jun,14
2007,Jul,26
2007,Aug,25
2007,Sep,25
2007,Oct,45
2007,Nov,45
2007,Dec,0
2008,Jan,0
2008,Feb,11
2008,Mar,31
2008,Apr,20
2008,May,10
2008,Jun,11
2008,Jul,73
2008,Aug,0
2008,Sep,9
2008,Oct,26
2008,Nov,10
2008,Dec,19
2009,Jan,36
2009,Feb,47
2009,Mar,42
2009,Apr,34
2009,May,26
2009,Jun,53
2009,Jul,26
2009,Aug,26
2009,Sep,0
2009,Oct,39
2009,Nov,32
2009,Dec,8
2010,Jan,0
2010,Feb,15
2010,Mar,14
2010,Apr,58
2010,May,15
2010,Jun,23
2010,Jul,7
2010,Aug,26
2010,Sep,18
2010,Oct,36
2010,Nov,36
2010,Dec,24
2011,Jan,23
2011,Feb,15
2011,Mar,18
2011,Apr,47
2011,May,14
2011,Jun,28
2011,Jul,14
2011,Aug,30
2011,Sep,30
2011,Oct,32
2011,Nov,37
2011,Dec,16
2012,Jan,4
2012,Feb,30
2012,Mar,21
2012,Apr,26
2012,May,39
2012,Jun,30
2012,Jul,22
2012,Aug,28
2012,Sep,32
2012,Oct,20
2012,Nov,7
2012,Dec,13
2013,Jan,18
2013,Feb,29
2013,Mar,29
2013,Apr,15
2013,May,15
2013,Jun,22
2013,Jul,28
2013,Aug,27
2013,Sep,30
2013,Oct,57
2013,Nov,44
2013,Dec,15
2014,Jan,28
2014,Feb,36
2014,Mar,36
2014,Apr,34
2014,May,37
2014,Jun,27
2014,Jul,20
2014,Aug,10
2014,Sep,25
2014,Oct,33
2014,Nov,13
2014,Dec,22
2015,Jan,21
2015,Feb,22
2015,Mar,27
2015,Apr,28
2015,May,32
2015,Jun,30
2015,Jul,29
2015,Aug,22
2015,Sep,22
2015,Oct,41
2015,Nov,37
2015,Dec,18
2016,Jan,27
2016,Feb,15
2016,Mar,46
2016,Apr,17
2016,May,18
2016,Jun,21
2016,Jul,24
2016,Aug,18
2016,Sep,28
2016,Oct,29
2016,Nov,32
2016,Dec,42
2017,Jan,100
2017,Feb,21
2017,Mar,21
2017,Apr,25
2017,May,19
2017,Jun,15
2017,Jul,15
2017,Aug,5
2017,Sep,9
2017,Oct,13
2017,Nov,4
2017,Dec,2
2018,Jan,15
2018,Feb,9
2018,Mar,9
2018,Apr,4
2018,May,2
2018,Jun,9
2018,Jul,14
2018,Aug,13
2018,Sep,5
2018,Oct,0
2018,Nov,2
2018,Dec,7
2019,Jan,0
2019,Feb,2
2019,Mar,13
2019,Apr,4
2019,May,4
2019,Jun,5
2019,Jul,7
2019,Aug,4
2019,Sep,2
2019,Oct,4
2019,Nov,0
2019,Dec,0
2020,Jan,8
2020,Feb,8
2020,Mar,0
2020,Apr,2
2020,May,5
2020,Jun,2
2020,Jul,0
2020,Aug,2
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,0
2021,Jan,2
2021,Feb,2
2021,Mar,2
2021,Apr,2
2021,May,0
2021,Jun,2
2021,Jul,0
2021,Aug,0
2021,Sep,2
2021,Oct,2
2021,Nov,5
2021,Dec,0
2022,Jan,2
2022,Feb,0
2022,Mar,2
