CNAME:,TRUMP ENTERTAINMENT RESORTS IN
Google Trends Search Term:,trump entertainment resorts
Google Trends Suggestion:,gambling company
Google Trends URL:,/m/046slw
Year,Month,SVI Data
2004,Jan,32
2004,Feb,48
2004,Mar,0
2004,Apr,31
2004,May,28
2004,Jun,14
2004,Jul,30
2004,Aug,13
2004,Sep,26
2004,Oct,26
2004,Nov,0
2004,Dec,72
2005,Jan,52
2005,Feb,11
2005,Mar,28
2005,Apr,43
2005,May,58
2005,Jun,69
2005,Jul,39
2005,Aug,55
2005,Sep,59
2005,Oct,16
2005,Nov,33
2005,Dec,39
2006,Jan,34
2006,Feb,64
2006,Mar,38
2006,Apr,20
2006,May,19
2006,Jun,53
2006,Jul,26
2006,Aug,24
2006,Sep,0
2006,Oct,33
2006,Nov,48
2006,Dec,22
2007,Jan,24
2007,Feb,15
2007,Mar,32
2007,Apr,27
2007,May,29
2007,Jun,9
2007,Jul,25
2007,Aug,28
2007,Sep,20
2007,Oct,25
2007,Nov,33
2007,Dec,4
2008,Jan,40
2008,Feb,14
2008,Mar,17
2008,Apr,20
2008,May,17
2008,Jun,25
2008,Jul,13
2008,Aug,13
2008,Sep,21
2008,Oct,14
2008,Nov,6
2008,Dec,34
2009,Jan,12
2009,Feb,100
2009,Mar,25
2009,Apr,33
2009,May,11
2009,Jun,17
2009,Jul,8
2009,Aug,25
2009,Sep,24
2009,Oct,23
2009,Nov,13
2009,Dec,18
2010,Jan,22
2010,Feb,15
2010,Mar,33
2010,Apr,18
2010,May,2
2010,Jun,19
2010,Jul,40
2010,Aug,24
2010,Sep,17
2010,Oct,17
2010,Nov,7
2010,Dec,15
2011,Jan,12
2011,Feb,11
2011,Mar,7
2011,Apr,22
2011,May,14
2011,Jun,7
2011,Jul,7
2011,Aug,19
2011,Sep,12
2011,Oct,8
2011,Nov,8
2011,Dec,4
2012,Jan,8
2012,Feb,5
2012,Mar,6
2012,Apr,6
2012,May,6
2012,Jun,7
2012,Jul,2
2012,Aug,1
2012,Sep,6
2012,Oct,3
2012,Nov,5
2012,Dec,3
2013,Jan,4
2013,Feb,8
2013,Mar,8
2013,Apr,4
2013,May,6
2013,Jun,1
2013,Jul,4
2013,Aug,4
2013,Sep,6
2013,Oct,3
2013,Nov,4
2013,Dec,2
2014,Jan,4
2014,Feb,1
2014,Mar,2
2014,Apr,4
2014,May,5
2014,Jun,1
2014,Jul,8
2014,Aug,6
2014,Sep,56
2014,Oct,9
2014,Nov,14
2014,Dec,11
2015,Jan,9
2015,Feb,6
2015,Mar,6
2015,Apr,3
2015,May,3
2015,Jun,8
2015,Jul,13
2015,Aug,16
2015,Sep,49
2015,Oct,14
2015,Nov,5
2015,Dec,10
2016,Jan,8
2016,Feb,33
2016,Mar,24
2016,Apr,11
2016,May,16
2016,Jun,11
2016,Jul,21
2016,Aug,16
2016,Sep,13
2016,Oct,21
2016,Nov,36
2016,Dec,16
2017,Jan,31
2017,Feb,8
2017,Mar,7
2017,Apr,6
2017,May,10
2017,Jun,8
2017,Jul,5
2017,Aug,7
2017,Sep,4
2017,Oct,7
2017,Nov,4
2017,Dec,4
2018,Jan,7
2018,Feb,9
2018,Mar,7
2018,Apr,11
2018,May,5
2018,Jun,5
2018,Jul,4
2018,Aug,6
2018,Sep,6
2018,Oct,3
2018,Nov,6
2018,Dec,5
2019,Jan,5
2019,Feb,4
2019,Mar,3
2019,Apr,6
2019,May,11
2019,Jun,4
2019,Jul,6
2019,Aug,6
2019,Sep,5
2019,Oct,6
2019,Nov,3
2019,Dec,6
2020,Jan,2
2020,Feb,6
2020,Mar,6
2020,Apr,10
2020,May,6
2020,Jun,7
2020,Jul,12
2020,Aug,9
2020,Sep,9
2020,Oct,9
2020,Nov,7
2020,Dec,2
2021,Jan,4
2021,Feb,7
2021,Mar,3
2021,Apr,3
2021,May,4
2021,Jun,2
2021,Jul,3
2021,Aug,4
2021,Sep,3
2021,Oct,2
2021,Nov,3
2021,Dec,1
2022,Jan,2
2022,Feb,2
2022,Mar,3
