CNAME:,EXPEDIA INC
Google Trends Search Term:,expedia group
Google Trends Suggestion:,engineering company
Google Trends URL:,/m/03gq420
Year,Month,SVI Data
2004,Jan,66
2004,Feb,70
2004,Mar,73
2004,Apr,67
2004,May,71
2004,Jun,83
2004,Jul,81
2004,Aug,73
2004,Sep,66
2004,Oct,63
2004,Nov,60
2004,Dec,57
2005,Jan,86
2005,Feb,95
2005,Mar,95
2005,Apr,83
2005,May,97
2005,Jun,100
2005,Jul,97
2005,Aug,94
2005,Sep,79
2005,Oct,82
2005,Nov,76
2005,Dec,66
2006,Jan,95
2006,Feb,98
2006,Mar,95
2006,Apr,94
2006,May,90
2006,Jun,94
2006,Jul,93
2006,Aug,90
2006,Sep,82
2006,Oct,78
2006,Nov,70
2006,Dec,64
2007,Jan,86
2007,Feb,86
2007,Mar,95
2007,Apr,89
2007,May,89
2007,Jun,95
2007,Jul,94
2007,Aug,88
2007,Sep,76
2007,Oct,74
2007,Nov,68
2007,Dec,60
2008,Jan,86
2008,Feb,90
2008,Mar,88
2008,Apr,86
2008,May,88
2008,Jun,92
2008,Jul,89
2008,Aug,80
2008,Sep,68
2008,Oct,66
2008,Nov,65
2008,Dec,65
2009,Jan,88
2009,Feb,87
2009,Mar,92
2009,Apr,87
2009,May,85
2009,Jun,88
2009,Jul,94
2009,Aug,79
2009,Sep,69
2009,Oct,69
2009,Nov,61
2009,Dec,60
2010,Jan,82
2010,Feb,82
2010,Mar,82
2010,Apr,75
2010,May,76
2010,Jun,79
2010,Jul,77
2010,Aug,72
2010,Sep,66
2010,Oct,63
2010,Nov,58
2010,Dec,58
2011,Jan,80
2011,Feb,85
2011,Mar,81
2011,Apr,77
2011,May,76
2011,Jun,84
2011,Jul,86
2011,Aug,76
2011,Sep,69
2011,Oct,64
2011,Nov,60
2011,Dec,58
2012,Jan,76
2012,Feb,75
2012,Mar,73
2012,Apr,70
2012,May,72
2012,Jun,76
2012,Jul,74
2012,Aug,66
2012,Sep,61
2012,Oct,58
2012,Nov,54
2012,Dec,51
2013,Jan,70
2013,Feb,69
2013,Mar,70
2013,Apr,68
2013,May,66
2013,Jun,72
2013,Jul,72
2013,Aug,67
2013,Sep,56
2013,Oct,52
2013,Nov,50
2013,Dec,50
2014,Jan,63
2014,Feb,65
2014,Mar,63
2014,Apr,59
2014,May,61
2014,Jun,64
2014,Jul,66
2014,Aug,59
2014,Sep,54
2014,Oct,47
2014,Nov,45
2014,Dec,45
2015,Jan,59
2015,Feb,63
2015,Mar,62
2015,Apr,58
2015,May,60
2015,Jun,68
2015,Jul,67
2015,Aug,64
2015,Sep,56
2015,Oct,53
2015,Nov,47
2015,Dec,47
2016,Jan,53
2016,Feb,54
2016,Mar,53
2016,Apr,47
2016,May,52
2016,Jun,55
2016,Jul,55
2016,Aug,48
2016,Sep,41
2016,Oct,40
2016,Nov,39
2016,Dec,38
2017,Jan,50
2017,Feb,50
2017,Mar,50
2017,Apr,50
2017,May,50
2017,Jun,55
2017,Jul,55
2017,Aug,51
2017,Sep,45
2017,Oct,42
2017,Nov,38
2017,Dec,36
2018,Jan,45
2018,Feb,47
2018,Mar,48
2018,Apr,45
2018,May,43
2018,Jun,47
2018,Jul,52
2018,Aug,42
2018,Sep,37
2018,Oct,35
2018,Nov,34
2018,Dec,32
2019,Jan,44
2019,Feb,44
2019,Mar,46
2019,Apr,45
2019,May,46
2019,Jun,50
2019,Jul,49
2019,Aug,44
2019,Sep,37
2019,Oct,37
2019,Nov,35
2019,Dec,37
2020,Jan,44
2020,Feb,44
2020,Mar,36
2020,Apr,12
2020,May,17
2020,Jun,24
2020,Jul,20
2020,Aug,21
2020,Sep,21
2020,Oct,21
2020,Nov,17
2020,Dec,17
2021,Jan,21
2021,Feb,25
2021,Mar,35
2021,Apr,33
2021,May,37
2021,Jun,42
2021,Jul,37
2021,Aug,26
2021,Sep,26
2021,Oct,26
2021,Nov,26
2021,Dec,24
2022,Jan,27
2022,Feb,35
2022,Mar,37
