CNAME:,IBERIABANK CORP
Google Trends Search Term:,iberiabank
Google Trends Suggestion:,financial company
Google Trends URL:,/m/0gjds7_
Year,Month,SVI Data
2004,Jan,13
2004,Feb,2
2004,Mar,16
2004,Apr,9
2004,May,3
2004,Jun,6
2004,Jul,19
2004,Aug,10
2004,Sep,9
2004,Oct,6
2004,Nov,8
2004,Dec,8
2005,Jan,11
2005,Feb,10
2005,Mar,14
2005,Apr,12
2005,May,13
2005,Jun,12
2005,Jul,12
2005,Aug,20
2005,Sep,18
2005,Oct,15
2005,Nov,14
2005,Dec,11
2006,Jan,13
2006,Feb,14
2006,Mar,10
2006,Apr,14
2006,May,13
2006,Jun,14
2006,Jul,15
2006,Aug,18
2006,Sep,15
2006,Oct,18
2006,Nov,12
2006,Dec,16
2007,Jan,14
2007,Feb,15
2007,Mar,21
2007,Apr,17
2007,May,19
2007,Jun,24
2007,Jul,19
2007,Aug,14
2007,Sep,14
2007,Oct,16
2007,Nov,21
2007,Dec,15
2008,Jan,20
2008,Feb,22
2008,Mar,22
2008,Apr,19
2008,May,26
2008,Jun,22
2008,Jul,25
2008,Aug,24
2008,Sep,25
2008,Oct,27
2008,Nov,24
2008,Dec,32
2009,Jan,30
2009,Feb,36
2009,Mar,35
2009,Apr,31
2009,May,32
2009,Jun,37
2009,Jul,34
2009,Aug,37
2009,Sep,32
2009,Oct,36
2009,Nov,41
2009,Dec,38
2010,Jan,33
2010,Feb,35
2010,Mar,39
2010,Apr,41
2010,May,44
2010,Jun,44
2010,Jul,46
2010,Aug,46
2010,Sep,44
2010,Oct,46
2010,Nov,45
2010,Dec,43
2011,Jan,48
2011,Feb,53
2011,Mar,58
2011,Apr,57
2011,May,60
2011,Jun,72
2011,Jul,82
2011,Aug,89
2011,Sep,76
2011,Oct,75
2011,Nov,83
2011,Dec,84
2012,Jan,90
2012,Feb,81
2012,Mar,96
2012,Apr,89
2012,May,90
2012,Jun,78
2012,Jul,77
2012,Aug,75
2012,Sep,72
2012,Oct,72
2012,Nov,77
2012,Dec,80
2013,Jan,83
2013,Feb,74
2013,Mar,76
2013,Apr,80
2013,May,78
2013,Jun,83
2013,Jul,83
2013,Aug,84
2013,Sep,73
2013,Oct,72
2013,Nov,66
2013,Dec,76
2014,Jan,74
2014,Feb,80
2014,Mar,71
2014,Apr,67
2014,May,67
2014,Jun,70
2014,Jul,92
2014,Aug,85
2014,Sep,78
2014,Oct,81
2014,Nov,76
2014,Dec,80
2015,Jan,78
2015,Feb,85
2015,Mar,82
2015,Apr,78
2015,May,85
2015,Jun,96
2015,Jul,97
2015,Aug,100
2015,Sep,89
2015,Oct,89
2015,Nov,80
2015,Dec,84
2016,Jan,77
2016,Feb,81
2016,Mar,79
2016,Apr,76
2016,May,77
2016,Jun,79
2016,Jul,82
2016,Aug,79
2016,Sep,75
2016,Oct,70
2016,Nov,67
2016,Dec,69
2017,Jan,71
2017,Feb,69
2017,Mar,72
2017,Apr,71
2017,May,71
2017,Jun,70
2017,Jul,72
2017,Aug,76
2017,Sep,72
2017,Oct,83
2017,Nov,71
2017,Dec,76
2018,Jan,72
2018,Feb,76
2018,Mar,80
2018,Apr,72
2018,May,72
2018,Jun,77
2018,Jul,73
2018,Aug,67
2018,Sep,67
2018,Oct,69
2018,Nov,65
2018,Dec,70
2019,Jan,66
2019,Feb,62
2019,Mar,61
2019,Apr,64
2019,May,59
2019,Jun,64
2019,Jul,64
2019,Aug,59
2019,Sep,56
2019,Oct,58
2019,Nov,68
2019,Dec,57
2020,Jan,53
2020,Feb,54
2020,Mar,54
2020,Apr,66
2020,May,50
2020,Jun,54
2020,Jul,54
2020,Aug,51
2020,Sep,47
2020,Oct,45
2020,Nov,40
2020,Dec,44
2021,Jan,51
2021,Feb,43
2021,Mar,51
2021,Apr,45
2021,May,43
2021,Jun,45
2021,Jul,42
2021,Aug,42
2021,Sep,46
2021,Oct,40
2021,Nov,41
2021,Dec,42
2022,Jan,41
2022,Feb,50
2022,Mar,24
