CNAME:,PERINI CORP
Google Trends Search Term:,tutor perini
Google Trends Suggestion:,construction company
Google Trends URL:,/m/0bx782
Year,Month,SVI Data
2004,Jan,62
2004,Feb,41
2004,Mar,78
2004,Apr,79
2004,May,90
2004,Jun,37
2004,Jul,19
2004,Aug,69
2004,Sep,49
2004,Oct,50
2004,Nov,52
2004,Dec,77
2005,Jan,81
2005,Feb,71
2005,Mar,12
2005,Apr,14
2005,May,12
2005,Jun,63
2005,Jul,63
2005,Aug,82
2005,Sep,33
2005,Oct,10
2005,Nov,42
2005,Dec,20
2006,Jan,27
2006,Feb,27
2006,Mar,41
2006,Apr,43
2006,May,48
2006,Jun,8
2006,Jul,33
2006,Aug,15
2006,Sep,61
2006,Oct,35
2006,Nov,14
2006,Dec,28
2007,Jan,43
2007,Feb,45
2007,Mar,82
2007,Apr,18
2007,May,49
2007,Jun,63
2007,Jul,54
2007,Aug,57
2007,Sep,47
2007,Oct,70
2007,Nov,60
2007,Dec,68
2008,Jan,64
2008,Feb,53
2008,Mar,56
2008,Apr,71
2008,May,59
2008,Jun,54
2008,Jul,56
2008,Aug,38
2008,Sep,63
2008,Oct,47
2008,Nov,28
2008,Dec,31
2009,Jan,52
2009,Feb,43
2009,Mar,70
2009,Apr,50
2009,May,62
2009,Jun,81
2009,Jul,36
2009,Aug,56
2009,Sep,38
2009,Oct,68
2009,Nov,87
2009,Dec,49
2010,Jan,68
2010,Feb,84
2010,Mar,47
2010,Apr,73
2010,May,99
2010,Jun,52
2010,Jul,39
2010,Aug,64
2010,Sep,59
2010,Oct,41
2010,Nov,35
2010,Dec,49
2011,Jan,60
2011,Feb,71
2011,Mar,66
2011,Apr,98
2011,May,57
2011,Jun,88
2011,Jul,73
2011,Aug,92
2011,Sep,66
2011,Oct,66
2011,Nov,57
2011,Dec,46
2012,Jan,71
2012,Feb,73
2012,Mar,57
2012,Apr,66
2012,May,75
2012,Jun,72
2012,Jul,57
2012,Aug,73
2012,Sep,60
2012,Oct,53
2012,Nov,61
2012,Dec,42
2013,Jan,60
2013,Feb,60
2013,Mar,58
2013,Apr,100
2013,May,74
2013,Jun,75
2013,Jul,63
2013,Aug,68
2013,Sep,53
2013,Oct,65
2013,Nov,65
2013,Dec,41
2014,Jan,58
2014,Feb,63
2014,Mar,64
2014,Apr,58
2014,May,61
2014,Jun,78
2014,Jul,83
2014,Aug,72
2014,Sep,67
2014,Oct,67
2014,Nov,71
2014,Dec,60
2015,Jan,58
2015,Feb,63
2015,Mar,66
2015,Apr,59
2015,May,50
2015,Jun,64
2015,Jul,61
2015,Aug,61
2015,Sep,53
2015,Oct,36
2015,Nov,56
2015,Dec,53
2016,Jan,69
2016,Feb,49
2016,Mar,62
2016,Apr,63
2016,May,49
2016,Jun,65
2016,Jul,39
2016,Aug,47
2016,Sep,29
2016,Oct,39
2016,Nov,46
2016,Dec,40
2017,Jan,42
2017,Feb,55
2017,Mar,53
2017,Apr,54
2017,May,47
2017,Jun,49
2017,Jul,44
2017,Aug,56
2017,Sep,46
2017,Oct,63
2017,Nov,49
2017,Dec,36
2018,Jan,46
2018,Feb,50
2018,Mar,48
2018,Apr,53
2018,May,55
2018,Jun,48
2018,Jul,56
2018,Aug,60
2018,Sep,48
2018,Oct,47
2018,Nov,36
2018,Dec,46
2019,Jan,50
2019,Feb,65
2019,Mar,38
2019,Apr,45
2019,May,49
2019,Jun,44
2019,Jul,41
2019,Aug,62
2019,Sep,49
2019,Oct,44
2019,Nov,43
2019,Dec,44
2020,Jan,37
2020,Feb,61
2020,Mar,93
2020,Apr,62
2020,May,43
2020,Jun,52
2020,Jul,51
2020,Aug,49
2020,Sep,37
2020,Oct,39
2020,Nov,20
2020,Dec,27
2021,Jan,51
2021,Feb,37
2021,Mar,47
2021,Apr,40
2021,May,27
2021,Jun,52
2021,Jul,31
2021,Aug,36
2021,Sep,41
2021,Oct,39
2021,Nov,33
2021,Dec,42
2022,Jan,33
2022,Feb,43
2022,Mar,47
