CNAME:,ARIBA INC
Google Trends Search Term:,sap ariba
Google Trends Suggestion:,information technology company
Google Trends URL:,/m/0240kd
Year,Month,SVI Data
2004,Jan,55
2004,Feb,78
2004,Mar,72
2004,Apr,72
2004,May,60
2004,Jun,71
2004,Jul,94
2004,Aug,73
2004,Sep,82
2004,Oct,50
2004,Nov,54
2004,Dec,57
2005,Jan,64
2005,Feb,88
2005,Mar,85
2005,Apr,69
2005,May,55
2005,Jun,71
2005,Jul,62
2005,Aug,65
2005,Sep,39
2005,Oct,59
2005,Nov,53
2005,Dec,50
2006,Jan,58
2006,Feb,64
2006,Mar,50
2006,Apr,67
2006,May,68
2006,Jun,60
2006,Jul,47
2006,Aug,58
2006,Sep,55
2006,Oct,54
2006,Nov,43
2006,Dec,42
2007,Jan,48
2007,Feb,48
2007,Mar,50
2007,Apr,50
2007,May,58
2007,Jun,47
2007,Jul,55
2007,Aug,51
2007,Sep,60
2007,Oct,54
2007,Nov,51
2007,Dec,45
2008,Jan,47
2008,Feb,63
2008,Mar,52
2008,Apr,60
2008,May,56
2008,Jun,51
2008,Jul,50
2008,Aug,54
2008,Sep,43
2008,Oct,53
2008,Nov,42
2008,Dec,37
2009,Jan,51
2009,Feb,49
2009,Mar,53
2009,Apr,52
2009,May,47
2009,Jun,47
2009,Jul,56
2009,Aug,50
2009,Sep,50
2009,Oct,47
2009,Nov,45
2009,Dec,47
2010,Jan,47
2010,Feb,40
2010,Mar,50
2010,Apr,55
2010,May,63
2010,Jun,59
2010,Jul,48
2010,Aug,63
2010,Sep,54
2010,Oct,57
2010,Nov,61
2010,Dec,48
2011,Jan,48
2011,Feb,52
2011,Mar,63
2011,Apr,51
2011,May,61
2011,Jun,51
2011,Jul,50
2011,Aug,46
2011,Sep,47
2011,Oct,44
2011,Nov,46
2011,Dec,41
2012,Jan,42
2012,Feb,45
2012,Mar,49
2012,Apr,56
2012,May,77
2012,Jun,55
2012,Jul,50
2012,Aug,41
2012,Sep,44
2012,Oct,57
2012,Nov,47
2012,Dec,42
2013,Jan,44
2013,Feb,50
2013,Mar,48
2013,Apr,55
2013,May,55
2013,Jun,44
2013,Jul,46
2013,Aug,48
2013,Sep,44
2013,Oct,49
2013,Nov,46
2013,Dec,42
2014,Jan,47
2014,Feb,51
2014,Mar,57
2014,Apr,54
2014,May,57
2014,Jun,56
2014,Jul,55
2014,Aug,55
2014,Sep,56
2014,Oct,51
2014,Nov,52
2014,Dec,51
2015,Jan,56
2015,Feb,59
2015,Mar,63
2015,Apr,63
2015,May,59
2015,Jun,66
2015,Jul,67
2015,Aug,58
2015,Sep,63
2015,Oct,64
2015,Nov,59
2015,Dec,58
2016,Jan,49
2016,Feb,53
2016,Mar,59
2016,Apr,56
2016,May,57
2016,Jun,59
2016,Jul,56
2016,Aug,61
2016,Sep,59
2016,Oct,60
2016,Nov,52
2016,Dec,52
2017,Jan,58
2017,Feb,65
2017,Mar,71
2017,Apr,59
2017,May,68
2017,Jun,66
2017,Jul,68
2017,Aug,75
2017,Sep,69
2017,Oct,66
2017,Nov,67
2017,Dec,60
2018,Jan,76
2018,Feb,79
2018,Mar,84
2018,Apr,67
2018,May,72
2018,Jun,67
2018,Jul,67
2018,Aug,66
2018,Sep,58
2018,Oct,66
2018,Nov,57
2018,Dec,52
2019,Jan,61
2019,Feb,68
2019,Mar,73
2019,Apr,63
2019,May,66
2019,Jun,74
2019,Jul,75
2019,Aug,74
2019,Sep,70
2019,Oct,74
2019,Nov,62
2019,Dec,67
2020,Jan,88
2020,Feb,100
2020,Mar,79
2020,Apr,74
2020,May,73
2020,Jun,74
2020,Jul,72
2020,Aug,68
2020,Sep,68
2020,Oct,74
2020,Nov,57
2020,Dec,58
2021,Jan,57
2021,Feb,63
2021,Mar,70
2021,Apr,61
2021,May,68
2021,Jun,65
2021,Jul,70
2021,Aug,63
2021,Sep,71
2021,Oct,63
2021,Nov,60
2021,Dec,62
2022,Jan,62
2022,Feb,72
2022,Mar,82
