CNAME:,COMSCORE INC
Google Trends Search Term:,comscore
Google Trends Suggestion:,company
Google Trends URL:,/m/0kqsh1
Year,Month,SVI Data
2004,Jan,43
2004,Feb,49
2004,Mar,49
2004,Apr,48
2004,May,31
2004,Jun,44
2004,Jul,52
2004,Aug,38
2004,Sep,36
2004,Oct,35
2004,Nov,44
2004,Dec,32
2005,Jan,35
2005,Feb,29
2005,Mar,50
2005,Apr,24
2005,May,34
2005,Jun,43
2005,Jul,39
2005,Aug,38
2005,Sep,35
2005,Oct,40
2005,Nov,38
2005,Dec,39
2006,Jan,62
2006,Feb,34
2006,Mar,50
2006,Apr,62
2006,May,51
2006,Jun,71
2006,Jul,53
2006,Aug,55
2006,Sep,42
2006,Oct,48
2006,Nov,52
2006,Dec,68
2007,Jan,48
2007,Feb,53
2007,Mar,57
2007,Apr,60
2007,May,74
2007,Jun,87
2007,Jul,66
2007,Aug,89
2007,Sep,58
2007,Oct,95
2007,Nov,84
2007,Dec,55
2008,Jan,85
2008,Feb,92
2008,Mar,74
2008,Apr,100
2008,May,82
2008,Jun,83
2008,Jul,63
2008,Aug,56
2008,Sep,66
2008,Oct,68
2008,Nov,70
2008,Dec,69
2009,Jan,58
2009,Feb,73
2009,Mar,70
2009,Apr,64
2009,May,67
2009,Jun,70
2009,Jul,74
2009,Aug,56
2009,Sep,72
2009,Oct,75
2009,Nov,56
2009,Dec,56
2010,Jan,71
2010,Feb,68
2010,Mar,69
2010,Apr,61
2010,May,54
2010,Jun,65
2010,Jul,61
2010,Aug,58
2010,Sep,61
2010,Oct,56
2010,Nov,63
2010,Dec,59
2011,Jan,60
2011,Feb,70
2011,Mar,63
2011,Apr,65
2011,May,57
2011,Jun,72
2011,Jul,64
2011,Aug,76
2011,Sep,60
2011,Oct,68
2011,Nov,64
2011,Dec,58
2012,Jan,64
2012,Feb,65
2012,Mar,70
2012,Apr,62
2012,May,57
2012,Jun,69
2012,Jul,64
2012,Aug,54
2012,Sep,59
2012,Oct,61
2012,Nov,55
2012,Dec,42
2013,Jan,51
2013,Feb,55
2013,Mar,46
2013,Apr,53
2013,May,44
2013,Jun,51
2013,Jul,47
2013,Aug,48
2013,Sep,50
2013,Oct,53
2013,Nov,42
2013,Dec,37
2014,Jan,45
2014,Feb,58
2014,Mar,42
2014,Apr,54
2014,May,42
2014,Jun,48
2014,Jul,47
2014,Aug,53
2014,Sep,45
2014,Oct,52
2014,Nov,42
2014,Dec,35
2015,Jan,44
2015,Feb,53
2015,Mar,42
2015,Apr,47
2015,May,45
2015,Jun,43
2015,Jul,44
2015,Aug,42
2015,Sep,47
2015,Oct,44
2015,Nov,43
2015,Dec,33
2016,Jan,38
2016,Feb,42
2016,Mar,48
2016,Apr,39
2016,May,36
2016,Jun,45
2016,Jul,38
2016,Aug,44
2016,Sep,41
2016,Oct,36
2016,Nov,37
2016,Dec,30
2017,Jan,35
2017,Feb,44
2017,Mar,41
2017,Apr,43
2017,May,38
2017,Jun,38
2017,Jul,36
2017,Aug,34
2017,Sep,33
2017,Oct,34
2017,Nov,30
2017,Dec,28
2018,Jan,33
2018,Feb,38
2018,Mar,34
2018,Apr,29
2018,May,29
2018,Jun,27
2018,Jul,31
2018,Aug,33
2018,Sep,27
2018,Oct,29
2018,Nov,25
2018,Dec,17
2019,Jan,27
2019,Feb,28
2019,Mar,23
2019,Apr,38
2019,May,31
2019,Jun,30
2019,Jul,31
2019,Aug,41
2019,Sep,39
2019,Oct,29
2019,Nov,26
2019,Dec,17
2020,Jan,20
2020,Feb,23
2020,Mar,20
2020,Apr,15
2020,May,15
2020,Jun,13
2020,Jul,15
2020,Aug,14
2020,Sep,15
2020,Oct,10
2020,Nov,8
2020,Dec,8
2021,Jan,10
2021,Feb,11
2021,Mar,13
2021,Apr,12
2021,May,7
2021,Jun,13
2021,Jul,9
2021,Aug,10
2021,Sep,9
2021,Oct,7
2021,Nov,8
2021,Dec,6
2022,Jan,6
2022,Feb,11
2022,Mar,9
