CNAME:,MACY'S INC
Google Trends Search Term:,macy's
Google Trends Suggestion:,department store company
Google Trends URL:,/m/01pkxd
Year,Month,SVI Data
2004,Jan,7
2004,Feb,7
2004,Mar,7
2004,Apr,7
2004,May,8
2004,Jun,9
2004,Jul,8
2004,Aug,9
2004,Sep,9
2004,Oct,9
2004,Nov,12
2004,Dec,15
2005,Jan,9
2005,Feb,10
2005,Mar,11
2005,Apr,11
2005,May,11
2005,Jun,11
2005,Jul,12
2005,Aug,12
2005,Sep,11
2005,Oct,11
2005,Nov,14
2005,Dec,21
2006,Jan,11
2006,Feb,11
2006,Mar,10
2006,Apr,11
2006,May,12
2006,Jun,12
2006,Jul,14
2006,Aug,16
2006,Sep,20
2006,Oct,21
2006,Nov,30
2006,Dec,41
2007,Jan,23
2007,Feb,24
2007,Mar,23
2007,Apr,26
2007,May,26
2007,Jun,25
2007,Jul,25
2007,Aug,25
2007,Sep,27
2007,Oct,27
2007,Nov,38
2007,Dec,50
2008,Jan,25
2008,Feb,25
2008,Mar,26
2008,Apr,26
2008,May,29
2008,Jun,28
2008,Jul,29
2008,Aug,28
2008,Sep,29
2008,Oct,32
2008,Nov,44
2008,Dec,58
2009,Jan,35
2009,Feb,30
2009,Mar,30
2009,Apr,30
2009,May,29
2009,Jun,26
2009,Jul,26
2009,Aug,25
2009,Sep,25
2009,Oct,26
2009,Nov,38
2009,Dec,51
2010,Jan,29
2010,Feb,27
2010,Mar,27
2010,Apr,28
2010,May,29
2010,Jun,25
2010,Jul,20
2010,Aug,20
2010,Sep,20
2010,Oct,21
2010,Nov,34
2010,Dec,49
2011,Jan,35
2011,Feb,35
2011,Mar,33
2011,Apr,36
2011,May,36
2011,Jun,35
2011,Jul,35
2011,Aug,36
2011,Sep,39
2011,Oct,39
2011,Nov,65
2011,Dec,79
2012,Jan,35
2012,Feb,25
2012,Mar,26
2012,Apr,27
2012,May,28
2012,Jun,25
2012,Jul,25
2012,Aug,24
2012,Sep,25
2012,Oct,25
2012,Nov,42
2012,Dec,47
2013,Jan,26
2013,Feb,24
2013,Mar,24
2013,Apr,26
2013,May,25
2013,Jun,24
2013,Jul,23
2013,Aug,24
2013,Sep,24
2013,Oct,27
2013,Nov,41
2013,Dec,53
2014,Jan,28
2014,Feb,26
2014,Mar,26
2014,Apr,27
2014,May,30
2014,Jun,26
2014,Jul,27
2014,Aug,27
2014,Sep,26
2014,Oct,28
2014,Nov,45
2014,Dec,57
2015,Jan,29
2015,Feb,26
2015,Mar,26
2015,Apr,27
2015,May,28
2015,Jun,26
2015,Jul,28
2015,Aug,27
2015,Sep,28
2015,Oct,30
2015,Nov,47
2015,Dec,56
2016,Jan,56
2016,Feb,51
2016,Mar,49
2016,Apr,49
2016,May,56
2016,Jun,49
2016,Jul,50
2016,Aug,46
2016,Sep,50
2016,Oct,51
2016,Nov,88
2016,Dec,100
2017,Jan,53
2017,Feb,48
2017,Mar,48
2017,Apr,46
2017,May,51
2017,Jun,46
2017,Jul,47
2017,Aug,43
2017,Sep,44
2017,Oct,46
2017,Nov,85
2017,Dec,91
2018,Jan,45
2018,Feb,42
2018,Mar,44
2018,Apr,44
2018,May,46
2018,Jun,43
2018,Jul,45
2018,Aug,40
2018,Sep,41
2018,Oct,42
2018,Nov,80
2018,Dec,83
2019,Jan,42
2019,Feb,43
2019,Mar,44
2019,Apr,42
2019,May,45
2019,Jun,43
2019,Jul,43
2019,Aug,40
2019,Sep,41
2019,Oct,41
2019,Nov,70
2019,Dec,83
2020,Jan,41
2020,Feb,39
2020,Mar,29
2020,Apr,28
2020,May,40
2020,Jun,46
2020,Jul,40
2020,Aug,33
2020,Sep,32
2020,Oct,37
2020,Nov,61
2020,Dec,70
2021,Jan,39
2021,Feb,35
2021,Mar,36
2021,Apr,39
2021,May,42
2021,Jun,42
2021,Jul,41
2021,Aug,35
2021,Sep,39
2021,Oct,41
2021,Nov,76
2021,Dec,76
2022,Jan,41
2022,Feb,38
2022,Mar,37
