CNAME:,HCA HEALTHCARE INC
Google Trends Search Term:,hca healthcare
Google Trends Suggestion:,healthcare company
Google Trends URL:,/m/03z257
Year,Month,SVI Data
2004,Jan,65
2004,Feb,51
2004,Mar,58
2004,Apr,67
2004,May,45
2004,Jun,61
2004,Jul,56
2004,Aug,61
2004,Sep,63
2004,Oct,59
2004,Nov,51
2004,Dec,50
2005,Jan,48
2005,Feb,61
2005,Mar,62
2005,Apr,56
2005,May,52
2005,Jun,72
2005,Jul,58
2005,Aug,63
2005,Sep,74
2005,Oct,75
2005,Nov,60
2005,Dec,49
2006,Jan,57
2006,Feb,54
2006,Mar,58
2006,Apr,56
2006,May,64
2006,Jun,61
2006,Jul,100
2006,Aug,77
2006,Sep,62
2006,Oct,65
2006,Nov,65
2006,Dec,46
2007,Jan,56
2007,Feb,47
2007,Mar,55
2007,Apr,51
2007,May,50
2007,Jun,51
2007,Jul,52
2007,Aug,54
2007,Sep,52
2007,Oct,53
2007,Nov,50
2007,Dec,44
2008,Jan,49
2008,Feb,54
2008,Mar,54
2008,Apr,52
2008,May,53
2008,Jun,51
2008,Jul,54
2008,Aug,52
2008,Sep,52
2008,Oct,50
2008,Nov,50
2008,Dec,43
2009,Jan,47
2009,Feb,48
2009,Mar,49
2009,Apr,51
2009,May,50
2009,Jun,53
2009,Jul,51
2009,Aug,54
2009,Sep,51
2009,Oct,61
2009,Nov,68
2009,Dec,57
2010,Jan,57
2010,Feb,56
2010,Mar,54
2010,Apr,63
2010,May,64
2010,Jun,63
2010,Jul,56
2010,Aug,56
2010,Sep,52
2010,Oct,53
2010,Nov,62
2010,Dec,50
2011,Jan,66
2011,Feb,67
2011,Mar,80
2011,Apr,75
2011,May,66
2011,Jun,69
2011,Jul,65
2011,Aug,63
2011,Sep,63
2011,Oct,61
2011,Nov,62
2011,Dec,50
2012,Jan,64
2012,Feb,58
2012,Mar,55
2012,Apr,53
2012,May,55
2012,Jun,55
2012,Jul,55
2012,Aug,71
2012,Sep,56
2012,Oct,61
2012,Nov,61
2012,Dec,46
2013,Jan,61
2013,Feb,60
2013,Mar,55
2013,Apr,60
2013,May,59
2013,Jun,56
2013,Jul,63
2013,Aug,66
2013,Sep,65
2013,Oct,71
2013,Nov,67
2013,Dec,51
2014,Jan,72
2014,Feb,65
2014,Mar,68
2014,Apr,72
2014,May,66
2014,Jun,68
2014,Jul,69
2014,Aug,68
2014,Sep,66
2014,Oct,68
2014,Nov,68
2014,Dec,55
2015,Jan,67
2015,Feb,66
2015,Mar,68
2015,Apr,66
2015,May,68
2015,Jun,77
2015,Jul,69
2015,Aug,71
2015,Sep,67
2015,Oct,67
2015,Nov,69
2015,Dec,62
2016,Jan,66
2016,Feb,65
2016,Mar,66
2016,Apr,67
2016,May,67
2016,Jun,66
2016,Jul,66
2016,Aug,69
2016,Sep,66
2016,Oct,67
2016,Nov,71
2016,Dec,60
2017,Jan,74
2017,Feb,68
2017,Mar,71
2017,Apr,65
2017,May,72
2017,Jun,71
2017,Jul,70
2017,Aug,77
2017,Sep,70
2017,Oct,77
2017,Nov,75
2017,Dec,66
2018,Jan,79
2018,Feb,77
2018,Mar,77
2018,Apr,75
2018,May,77
2018,Jun,75
2018,Jul,78
2018,Aug,83
2018,Sep,78
2018,Oct,78
2018,Nov,77
2018,Dec,65
2019,Jan,83
2019,Feb,80
2019,Mar,76
2019,Apr,79
2019,May,79
2019,Jun,81
2019,Jul,84
2019,Aug,80
2019,Sep,75
2019,Oct,80
2019,Nov,80
2019,Dec,70
2020,Jan,85
2020,Feb,85
2020,Mar,86
2020,Apr,73
2020,May,65
2020,Jun,73
2020,Jul,75
2020,Aug,74
2020,Sep,70
2020,Oct,80
2020,Nov,73
2020,Dec,75
2021,Jan,76
2021,Feb,81
2021,Mar,77
2021,Apr,78
2021,May,76
2021,Jun,79
2021,Jul,83
2021,Aug,82
2021,Sep,83
2021,Oct,85
2021,Nov,92
2021,Dec,81
2022,Jan,88
2022,Feb,89
2022,Mar,96
