CNAME:,NAVTEQ CORP
Google Trends Search Term:,navteq
Google Trends Suggestion:,company
Google Trends URL:,/m/09pmmc
Year,Month,SVI Data
2004,Jan,8
2004,Feb,14
2004,Mar,30
2004,Apr,19
2004,May,37
2004,Jun,33
2004,Jul,34
2004,Aug,55
2004,Sep,26
2004,Oct,34
2004,Nov,22
2004,Dec,36
2005,Jan,37
2005,Feb,50
2005,Mar,51
2005,Apr,41
2005,May,47
2005,Jun,58
2005,Jul,43
2005,Aug,51
2005,Sep,53
2005,Oct,49
2005,Nov,40
2005,Dec,54
2006,Jan,50
2006,Feb,53
2006,Mar,48
2006,Apr,51
2006,May,47
2006,Jun,44
2006,Jul,54
2006,Aug,41
2006,Sep,47
2006,Oct,40
2006,Nov,52
2006,Dec,54
2007,Jan,48
2007,Feb,47
2007,Mar,45
2007,Apr,45
2007,May,50
2007,Jun,75
2007,Jul,65
2007,Aug,68
2007,Sep,52
2007,Oct,100
2007,Nov,68
2007,Dec,76
2008,Jan,56
2008,Feb,52
2008,Mar,48
2008,Apr,45
2008,May,61
2008,Jun,55
2008,Jul,58
2008,Aug,46
2008,Sep,47
2008,Oct,36
2008,Nov,43
2008,Dec,50
2009,Jan,41
2009,Feb,37
2009,Mar,41
2009,Apr,42
2009,May,42
2009,Jun,46
2009,Jul,46
2009,Aug,42
2009,Sep,45
2009,Oct,34
2009,Nov,48
2009,Dec,56
2010,Jan,36
2010,Feb,41
2010,Mar,41
2010,Apr,43
2010,May,44
2010,Jun,45
2010,Jul,39
2010,Aug,38
2010,Sep,36
2010,Oct,41
2010,Nov,39
2010,Dec,37
2011,Jan,36
2011,Feb,36
2011,Mar,29
2011,Apr,33
2011,May,32
2011,Jun,38
2011,Jul,34
2011,Aug,31
2011,Sep,33
2011,Oct,26
2011,Nov,27
2011,Dec,26
2012,Jan,23
2012,Feb,21
2012,Mar,25
2012,Apr,26
2012,May,25
2012,Jun,27
2012,Jul,23
2012,Aug,20
2012,Sep,21
2012,Oct,19
2012,Nov,17
2012,Dec,17
2013,Jan,14
2013,Feb,14
2013,Mar,14
2013,Apr,15
2013,May,16
2013,Jun,16
2013,Jul,15
2013,Aug,12
2013,Sep,12
2013,Oct,10
2013,Nov,9
2013,Dec,10
2014,Jan,10
2014,Feb,10
2014,Mar,8
2014,Apr,10
2014,May,9
2014,Jun,8
2014,Jul,8
2014,Aug,8
2014,Sep,7
2014,Oct,7
2014,Nov,6
2014,Dec,6
2015,Jan,6
2015,Feb,6
2015,Mar,6
2015,Apr,7
2015,May,6
2015,Jun,7
2015,Jul,6
2015,Aug,5
2015,Sep,5
2015,Oct,4
2015,Nov,3
2015,Dec,3
2016,Jan,3
2016,Feb,5
2016,Mar,4
2016,Apr,2
2016,May,3
2016,Jun,2
2016,Jul,3
2016,Aug,2
2016,Sep,3
2016,Oct,2
2016,Nov,3
2016,Dec,3
2017,Jan,2
2017,Feb,2
2017,Mar,3
2017,Apr,2
2017,May,2
2017,Jun,3
2017,Jul,3
2017,Aug,2
2017,Sep,3
2017,Oct,2
2017,Nov,1
2017,Dec,2
2018,Jan,2
2018,Feb,1
2018,Mar,2
2018,Apr,1
2018,May,2
2018,Jun,2
2018,Jul,1
2018,Aug,1
2018,Sep,1
2018,Oct,1
2018,Nov,1
2018,Dec,1
2019,Jan,1
2019,Feb,1
2019,Mar,1
2019,Apr,1
2019,May,2
2019,Jun,1
2019,Jul,2
2019,Aug,1
2019,Sep,1
2019,Oct,1
2019,Nov,1
2019,Dec,1
2020,Jan,1
2020,Feb,1
2020,Mar,1
2020,Apr,1
2020,May,0
2020,Jun,1
2020,Jul,1
2020,Aug,1
2020,Sep,1
2020,Oct,1
2020,Nov,1
2020,Dec,1
2021,Jan,1
2021,Feb,1
2021,Mar,1
2021,Apr,2
2021,May,1
2021,Jun,1
2021,Jul,1
2021,Aug,0
2021,Sep,1
2021,Oct,0
2021,Nov,1
2021,Dec,1
2022,Jan,1
2022,Feb,0
2022,Mar,1
