CNAME:,PATHMARK STORES INC
Google Trends Search Term:,pathmark
Google Trends Suggestion:,supermarket company
Google Trends URL:,/m/03g70h
Year,Month,SVI Data
2004,Jan,43
2004,Feb,38
2004,Mar,43
2004,Apr,49
2004,May,37
2004,Jun,44
2004,Jul,50
2004,Aug,46
2004,Sep,48
2004,Oct,45
2004,Nov,43
2004,Dec,53
2005,Jan,50
2005,Feb,42
2005,Mar,57
2005,Apr,53
2005,May,47
2005,Jun,66
2005,Jul,63
2005,Aug,58
2005,Sep,48
2005,Oct,55
2005,Nov,59
2005,Dec,57
2006,Jan,55
2006,Feb,50
2006,Mar,57
2006,Apr,58
2006,May,58
2006,Jun,71
2006,Jul,74
2006,Aug,69
2006,Sep,71
2006,Oct,65
2006,Nov,71
2006,Dec,70
2007,Jan,56
2007,Feb,76
2007,Mar,79
2007,Apr,71
2007,May,75
2007,Jun,83
2007,Jul,84
2007,Aug,76
2007,Sep,77
2007,Oct,73
2007,Nov,90
2007,Dec,80
2008,Jan,78
2008,Feb,74
2008,Mar,85
2008,Apr,84
2008,May,94
2008,Jun,100
2008,Jul,92
2008,Aug,93
2008,Sep,91
2008,Oct,86
2008,Nov,100
2008,Dec,98
2009,Jan,91
2009,Feb,84
2009,Mar,82
2009,Apr,83
2009,May,86
2009,Jun,85
2009,Jul,96
2009,Aug,87
2009,Sep,79
2009,Oct,91
2009,Nov,99
2009,Dec,92
2010,Jan,90
2010,Feb,78
2010,Mar,72
2010,Apr,75
2010,May,87
2010,Jun,73
2010,Jul,77
2010,Aug,75
2010,Sep,71
2010,Oct,74
2010,Nov,73
2010,Dec,87
2011,Jan,81
2011,Feb,77
2011,Mar,69
2011,Apr,74
2011,May,84
2011,Jun,83
2011,Jul,93
2011,Aug,81
2011,Sep,75
2011,Oct,77
2011,Nov,89
2011,Dec,89
2012,Jan,80
2012,Feb,70
2012,Mar,68
2012,Apr,70
2012,May,70
2012,Jun,78
2012,Jul,82
2012,Aug,97
2012,Sep,85
2012,Oct,78
2012,Nov,83
2012,Dec,76
2013,Jan,66
2013,Feb,63
2013,Mar,68
2013,Apr,63
2013,May,68
2013,Jun,68
2013,Jul,73
2013,Aug,69
2013,Sep,62
2013,Oct,60
2013,Nov,73
2013,Dec,72
2014,Jan,69
2014,Feb,61
2014,Mar,62
2014,Apr,59
2014,May,62
2014,Jun,68
2014,Jul,70
2014,Aug,63
2014,Sep,54
2014,Oct,54
2014,Nov,67
2014,Dec,67
2015,Jan,59
2015,Feb,44
2015,Mar,50
2015,Apr,49
2015,May,57
2015,Jun,57
2015,Jul,70
2015,Aug,59
2015,Sep,56
2015,Oct,53
2015,Nov,42
2015,Dec,18
2016,Jan,11
2016,Feb,8
2016,Mar,8
2016,Apr,6
2016,May,7
2016,Jun,6
2016,Jul,6
2016,Aug,5
2016,Sep,6
2016,Oct,4
2016,Nov,5
2016,Dec,5
2017,Jan,3
2017,Feb,3
2017,Mar,4
2017,Apr,3
2017,May,4
2017,Jun,3
2017,Jul,3
2017,Aug,3
2017,Sep,3
2017,Oct,3
2017,Nov,2
2017,Dec,2
2018,Jan,3
2018,Feb,2
2018,Mar,2
2018,Apr,2
2018,May,2
2018,Jun,2
2018,Jul,3
2018,Aug,3
2018,Sep,2
2018,Oct,2
2018,Nov,2
2018,Dec,2
2019,Jan,2
2019,Feb,3
2019,Mar,2
2019,Apr,5
2019,May,4
2019,Jun,3
2019,Jul,3
2019,Aug,3
2019,Sep,3
2019,Oct,2
2019,Nov,3
2019,Dec,3
2020,Jan,3
2020,Feb,2
2020,Mar,3
2020,Apr,3
2020,May,2
2020,Jun,3
2020,Jul,2
2020,Aug,2
2020,Sep,2
2020,Oct,2
2020,Nov,2
2020,Dec,2
2021,Jan,2
2021,Feb,2
2021,Mar,2
2021,Apr,2
2021,May,2
2021,Jun,2
2021,Jul,2
2021,Aug,2
2021,Sep,2
2021,Oct,2
2021,Nov,2
2021,Dec,2
2022,Jan,2
2022,Feb,3
2022,Mar,2
