CNAME:,REALPAGE INC
Google Trends Search Term:,realpage
Google Trends Suggestion:,software company
Google Trends URL:,/m/0_g9cmk
Year,Month,SVI Data
2004,Jan,72
2004,Feb,62
2004,Mar,51
2004,Apr,72
2004,May,67
2004,Jun,72
2004,Jul,87
2004,Aug,86
2004,Sep,73
2004,Oct,50
2004,Nov,64
2004,Dec,83
2005,Jan,84
2005,Feb,85
2005,Mar,95
2005,Apr,98
2005,May,100
2005,Jun,80
2005,Jul,94
2005,Aug,84
2005,Sep,77
2005,Oct,63
2005,Nov,93
2005,Dec,72
2006,Jan,72
2006,Feb,69
2006,Mar,63
2006,Apr,67
2006,May,52
2006,Jun,50
2006,Jul,41
2006,Aug,66
2006,Sep,46
2006,Oct,43
2006,Nov,39
2006,Dec,27
2007,Jan,38
2007,Feb,32
2007,Mar,34
2007,Apr,37
2007,May,44
2007,Jun,37
2007,Jul,35
2007,Aug,36
2007,Sep,37
2007,Oct,25
2007,Nov,31
2007,Dec,32
2008,Jan,30
2008,Feb,24
2008,Mar,23
2008,Apr,29
2008,May,26
2008,Jun,24
2008,Jul,32
2008,Aug,29
2008,Sep,21
2008,Oct,24
2008,Nov,17
2008,Dec,23
2009,Jan,20
2009,Feb,21
2009,Mar,13
2009,Apr,24
2009,May,21
2009,Jun,19
2009,Jul,27
2009,Aug,18
2009,Sep,18
2009,Oct,17
2009,Nov,19
2009,Dec,18
2010,Jan,20
2010,Feb,17
2010,Mar,23
2010,Apr,19
2010,May,19
2010,Jun,22
2010,Jul,16
2010,Aug,24
2010,Sep,19
2010,Oct,16
2010,Nov,14
2010,Dec,12
2011,Jan,22
2011,Feb,18
2011,Mar,16
2011,Apr,18
2011,May,20
2011,Jun,12
2011,Jul,20
2011,Aug,17
2011,Sep,17
2011,Oct,15
2011,Nov,14
2011,Dec,14
2012,Jan,14
2012,Feb,17
2012,Mar,19
2012,Apr,18
2012,May,18
2012,Jun,16
2012,Jul,18
2012,Aug,20
2012,Sep,18
2012,Oct,15
2012,Nov,18
2012,Dec,14
2013,Jan,17
2013,Feb,14
2013,Mar,15
2013,Apr,16
2013,May,20
2013,Jun,16
2013,Jul,20
2013,Aug,17
2013,Sep,16
2013,Oct,17
2013,Nov,16
2013,Dec,14
2014,Jan,19
2014,Feb,18
2014,Mar,18
2014,Apr,20
2014,May,20
2014,Jun,21
2014,Jul,23
2014,Aug,21
2014,Sep,19
2014,Oct,20
2014,Nov,16
2014,Dec,12
2015,Jan,13
2015,Feb,19
2015,Mar,18
2015,Apr,19
2015,May,20
2015,Jun,23
2015,Jul,24
2015,Aug,23
2015,Sep,20
2015,Oct,17
2015,Nov,16
2015,Dec,16
2016,Jan,18
2016,Feb,16
2016,Mar,22
2016,Apr,23
2016,May,20
2016,Jun,24
2016,Jul,22
2016,Aug,23
2016,Sep,19
2016,Oct,20
2016,Nov,18
2016,Dec,17
2017,Jan,20
2017,Feb,21
2017,Mar,24
2017,Apr,19
2017,May,20
2017,Jun,19
2017,Jul,17
2017,Aug,20
2017,Sep,16
2017,Oct,17
2017,Nov,19
2017,Dec,16
2018,Jan,21
2018,Feb,19
2018,Mar,19
2018,Apr,22
2018,May,21
2018,Jun,22
2018,Jul,22
2018,Aug,26
2018,Sep,21
2018,Oct,25
2018,Nov,24
2018,Dec,19
2019,Jan,23
2019,Feb,23
2019,Mar,26
2019,Apr,27
2019,May,27
2019,Jun,25
2019,Jul,29
2019,Aug,29
2019,Sep,26
2019,Oct,27
2019,Nov,28
2019,Dec,27
2020,Jan,31
2020,Feb,31
2020,Mar,29
2020,Apr,27
2020,May,30
2020,Jun,30
2020,Jul,33
2020,Aug,32
2020,Sep,29
2020,Oct,33
2020,Nov,25
2020,Dec,36
2021,Jan,30
2021,Feb,32
2021,Mar,32
2021,Apr,33
2021,May,28
2021,Jun,33
2021,Jul,32
2021,Aug,33
2021,Sep,30
2021,Oct,30
2021,Nov,31
2021,Dec,29
2022,Jan,31
2022,Feb,33
2022,Mar,33
